method_id,method_name,method_family,seed,fold,split_id,n_train,n_val,n_test,topk,random_repeats,runtime_seconds,original_pearson,original_rmse,original_mae,random_pearson_mean,random_pearson_std,top_pearson,delta_pearson_top,bottom_pearson,delta_pearson_bottom,prior_true_top_pearson,delta_pearson_prior_true_top,prior_random_top_pearson,delta_pearson_prior_random_top,delta_pearson_random,gap_pearson_top_vs_random,gap_pearson_top_vs_bottom,gap_pearson_prior_true_vs_random,gap_pearson_prior_true_vs_prior_random,random_rmse_mean,random_rmse_std,top_rmse,delta_rmse_top,bottom_rmse,delta_rmse_bottom,prior_true_top_rmse,delta_rmse_prior_true_top,prior_random_top_rmse,delta_rmse_prior_random_top,delta_rmse_random,gap_rmse_top_vs_random,gap_rmse_top_vs_bottom,gap_rmse_prior_true_vs_random,gap_rmse_prior_true_vs_prior_random,random_mae_mean,random_mae_std,top_mae,delta_mae_top,bottom_mae,delta_mae_bottom,prior_true_top_mae,delta_mae_prior_true_top,prior_random_top_mae,delta_mae_prior_random_top,delta_mae_random,gap_mae_top_vs_random,gap_mae_top_vs_bottom,gap_mae_prior_true_vs_random,gap_mae_prior_true_vs_prior_random
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),kernel_ridge,0,0,seed00_fold00,279,50,83,10,20,33.71459150314331,0.3708222870406253,4.782784086794285,3.981042097311625,0.3473246831345044,0.030948480990512665,0.34044048824862716,0.03038179879199815,0.35766896920774605,0.013153317832879263,0.3494007198798389,0.021421567160786414,0.31042213296522814,0.06040015407539717,0.023497603906120934,0.006884194885877215,0.017228480959118886,-0.0020760367453345197,-0.03897858691461076,5.169856788235042,0.4156724195989753,6.401432473725051,1.618648386930766,4.865822390296826,0.0830383035025406,5.372611087340285,0.5898270005460002,5.276541797446718,0.49375771065243335,0.3870727014407569,1.231575685490009,1.5356100834282254,0.20275429910524334,0.09606928989356689,4.410822520730643,0.4043342375762117,5.487056537506528,1.5060144401949032,4.199535839507903,0.21849374219627826,4.671260948817974,0.6902188515063488,4.567147366738465,0.5861052694268398,0.4297804234190181,1.076234016775885,1.287520697998625,0.26043842808733064,0.10411358207950894
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),kernel_ridge,0,1,seed00_fold01,279,50,83,10,20,40.18180823326111,0.3843553045726703,4.759062617344647,3.966595384938426,0.3048478081054973,0.058642993439080096,0.2907041365565772,0.09365116801609313,0.2069809308442101,0.1773743737284602,0.1751430287288524,0.2092122758438179,0.3292803091741135,0.055074995398556814,0.07950749646717303,0.0141436715489201,-0.08372320571236708,0.12970477937664487,0.1541372804452611,5.08162012380955,0.005195784399106946,5.072095451499275,0.3130328341546287,5.08462873144937,0.32556611410472325,5.084898330554303,0.3258357132096563,5.08081986231263,0.3217572449679835,0.32255750646490355,-0.009524672310274873,-0.012533279950094567,0.003278206744752765,0.004078468241672795,4.224533480563572,0.0018678600026640771,4.2281139363607165,0.26151855142229063,4.225155787043278,0.25856040210485176,4.225865834935103,0.25927044999667714,4.222120388953532,0.255525004015106,0.25793809562514625,0.0035804557971443884,0.002958149317438874,0.0013323543715308972,0.003745445981571116
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),kernel_ridge,0,2,seed00_fold02,280,50,82,10,20,35.289034605026245,0.2710212697683886,4.547035287475327,3.929221802159863,0.2709576493552066,0.014941011289412557,0.2189849086264704,0.052036361141918175,0.259439005895833,0.011582263872555565,0.25863932198970463,0.012381947778683955,0.25188095241330516,0.019140317355083425,6.362041318197509e-05,0.0519727407287362,0.04045409726936261,0.01231832736550198,-0.00675836957639947,4.855570995634123,0.24227059438941353,4.9601174052292105,0.41308211775388326,4.713609888835905,0.166574601360578,4.938857154336391,0.391821866861064,4.6445080079978345,0.09747272052250722,0.3085357081587956,0.10454640959508765,0.24650751639330526,0.08328615870226841,0.2943491463385568,4.287319927877927,0.2722179731777653,3.8951972850472956,-0.03402451711256749,4.21441952581613,0.2851977236562666,4.433333580282691,0.5041117781228284,4.102271915852878,0.17305011369301493,0.35809812571806354,-0.39212264283063103,-0.3192222407688341,0.14601365240476483,0.33106166442981344
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),kernel_ridge,0,3,seed00_fold03,280,50,82,10,20,31.50974941253662,0.4947224139495508,4.5132296593023735,3.641580488934085,0.4533355576037497,0.03308731469482366,0.5208938604895472,-0.026171446539996424,0.4475637689780294,0.04715864497152139,0.47915167429516464,0.015570739654386156,0.47612554556166553,0.018596868387885268,0.04138685634580108,-0.0675583028857975,-0.07333009151151781,-0.025816116691414925,-0.0030261287334991116,6.274917842945875,2.1185189546591174,4.518954367725633,0.00572470842325945,4.688417617257933,0.17518795795555953,4.739491848288109,0.2262621889857357,5.799972284277248,1.2867426249748748,1.7616881836435017,-1.7559634752202422,-0.16946324953230008,-1.535425994657766,-1.060480435989139,5.356458709555395,2.137448135417023,3.632516489656899,-0.009063999277186152,3.8360029234513657,0.1944224345172807,4.133077732335192,0.4914972434011067,5.178101733315318,1.5365212443812326,1.7148782206213098,-1.723942219898496,-0.20348643379446685,-1.2233809772202031,-1.045024000980126
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),kernel_ridge,0,4,seed00_fold04,280,50,82,10,20,38.56124520301819,0.2666872047926021,4.506467019225091,3.6143583962575945,0.262908149050438,0.038774444909882785,0.2615777064869722,0.0051094983056299,0.2629157275453546,0.0037714772472475233,0.20538497892206586,0.06130222587053624,0.29442674557016285,-0.027739540777560745,0.0037790557421640836,0.0013304425634658168,0.001338021058382377,0.05752317012837216,0.08904176664809699,5.135814043759306,0.8960267040495439,4.8785396119178674,0.3720725926927768,4.325529691422632,-0.1809373278024582,4.330600361234525,-0.17586665799056522,4.8150440207541125,0.3085770015290219,0.6293470245342156,-0.25727443184143883,0.553009920495235,-0.8052136825247809,-0.4844436595195871,4.519556336178995,0.7713749530824963,4.395796044317651,0.7814376480600562,3.7881694063855074,0.1738110101279129,3.7385966069544883,0.12423821069689378,4.318094619323682,0.703736223066088,0.905197939921401,-0.12376029186134474,0.6076266379321433,-0.7809597292245072,-0.5794980123691942
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),kernel_ridge,1,0,seed01_fold00,279,50,83,10,20,36.51610732078552,0.45005406783114826,4.595485056809644,3.6847668276817394,0.4006975994582704,0.049483972483725935,0.363325504725132,0.08672856310601629,0.4537641788649659,-0.0037101110338176313,0.4165361592984046,0.03351790853274367,0.4068534630507519,0.04320060478039639,0.04935646837287788,0.037372094733138406,0.09043867413983392,-0.015838559840134214,-0.009682696247652722,5.119336449190956,0.2363607481439889,5.043453160726953,0.4479681039173089,4.939515509107585,0.3440304522979405,4.989934422340406,0.39444936553076193,5.107893271043291,0.5124082142336466,0.523851392381312,-0.07588328846400305,0.10393765161936841,-0.12940202685055002,-0.11795884870288464,4.514084718645583,0.26393657713131324,4.519353812991388,0.8345869853096484,4.383933915562811,0.6991670878810718,4.409836823718026,0.7250699960362863,4.594670256037337,0.9099034283555976,0.8293178909638432,0.0052690943458051365,0.13541989742857652,-0.10424789492755693,-0.18483343231931126
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),kernel_ridge,1,1,seed01_fold01,279,50,83,10,20,36.1587119102478,0.32522852045707706,4.5632151156852485,3.901172595555429,0.29122516873889126,0.04804579615698465,0.366325578631312,-0.041097058174234924,0.3030933339558084,0.022135186501268667,0.33688546230400424,-0.011656941846927171,0.24370166103961063,0.08152685941746643,0.034003351718185804,-0.07510040989242073,-0.06323224467550359,-0.045660293565112975,-0.0931838012643936,4.765771050604109,0.2318343363434636,5.520381264267977,0.9571661485827283,4.757083542365567,0.19386842668031878,4.6335390218666435,0.07032390618139495,4.698620639121126,0.1354055234358773,0.2025559349188608,0.7546102136638675,0.7632977219024095,-0.13223202873746587,-0.06508161725448236,4.112259887899593,0.4596278865543979,5.1555454137110175,1.2543728181555887,4.214813768454742,0.31364117289931315,3.9850916571189057,0.08391906156347684,4.078137695349121,0.17696509979369246,0.211087292344164,1.0432855258114246,0.9407316452562755,-0.12716823078068717,-0.09304603823021562
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),kernel_ridge,1,2,seed01_fold02,280,50,82,10,20,2.86213755607605,0.31258307327022705,4.6642538268884435,3.8126680706123715,0.27482856392463734,0.04596693878089565,0.2367600965673775,0.07582297670284954,0.29989529292266426,0.012687780347562794,0.3276760966906994,-0.015093023420472362,0.24994726116803667,0.06263581210219038,0.037754509345589715,0.03806846735725983,0.06313519635528675,-0.05284753276606208,-0.07772883552266274,4.967946774597172,0.27142506416243584,4.7737489936875965,0.10949516679915305,4.818341197352127,0.15408737046368337,4.782748181363959,0.1184943544755157,4.891183366691319,0.22692953980287545,0.30369294770872823,-0.19419778090957518,-0.04459220366453032,-0.18519859323321253,-0.10843518532735974,4.196266646848599,0.2537553410754033,3.968667176109497,0.1559991054971257,4.058458225159892,0.24579015454752096,4.054615772202601,0.24194770159022916,4.2194565874600505,0.406788516847679,0.38359857623622773,-0.22759947073910203,-0.08979104905039526,-0.14165087464599857,-0.16484081525744987
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),kernel_ridge,1,3,seed01_fold03,280,50,82,10,20,2.6733696460723877,0.3384143109599439,4.771947023750968,4.009848465739542,0.3143377910023303,0.03954338140659952,0.3812207440940424,-0.04280643313409849,0.2462055249139841,0.0922087860459598,0.23525866213033067,0.10315564882961323,0.29136588399648344,0.047048426963460455,0.024076519957613618,-0.0668829530917121,-0.1350152191800583,0.07907912887199961,0.05610722186615277,7.223383642959694,2.3476200272373053,11.100512848336693,6.328565824585725,6.3315534206544735,1.5596063969035052,5.267121277144192,0.4951742533932242,8.312646428013357,3.540699404262389,2.4514366192087254,3.877129205377,4.76895942768222,-1.9562623658155012,-3.0455251508691648,6.287040373552929,2.2194094899623824,10.070433227456851,6.060584761717309,5.434162158558126,1.4243136928185844,4.5691174972275626,0.5592690314880207,7.152574816643713,3.142726350904171,2.2771919078133873,3.783392853903922,4.636271068898725,-1.7179228763253667,-2.5834573194161505
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),kernel_ridge,1,4,seed01_fold04,280,50,82,10,20,2.185603380203247,0.16707251332363032,4.734676829446575,3.970083799558363,0.16363090905854333,0.036934062301090455,0.057042994673158556,0.11002951865047177,0.19150567471582433,-0.02443316139219401,0.2008568143261067,-0.03378430100247637,0.14204285504822595,0.025029658275404376,0.003441604265086995,0.10658791438538477,0.13446268004266576,-0.037225905267563364,-0.058813959277880745,4.772059608913402,0.32329840549410704,5.0310856849121155,0.29640885546554063,4.54955926040656,-0.18511756904001508,5.132924282276537,0.39824745282996243,4.9627723975060665,0.2280955680594916,0.03738277946682711,0.2590260759987135,0.4815264245055557,0.3608646733631353,0.17015188477047083,4.0934233380116805,0.3337725110762911,4.392376899458025,0.4222930998996621,3.8226309763395214,-0.14745282321884146,4.502205363753062,0.5321215641946995,4.338749601798405,0.368665802240042,0.12333953845331758,0.29895356144634455,0.5697459231185036,0.4087820257413819,0.1634557619546575
