seed,model,pearson,rmse,mae
0,A3,0.24110251681424577,11.993533378035796,9.78887665085453
0,A4,0.26458415834871,11.38596639242782,9.234902686249765
0,LF0,0.25305630728589623,11.614213194778367,9.424029050529672
0,LF1,0.25097688610042124,11.544680258936214,9.385250712502549
0,LF2,0.2504546035995499,11.484721512472358,9.368120790749133
1,A3,0.278048747472099,11.2940964586342,9.177288276690547
1,A4,0.2628796396366357,11.287327989233471,9.231843233655145
1,LF0,0.2685316139538014,11.305124716483329,9.234666676074024
1,LF1,0.27894749034259125,11.00836078753095,9.024232673074826
1,LF2,0.28665695016823,11.020471909798875,9.0523242845079
2,A3,0.31369503973208446,10.91933490017249,8.869502330185236
2,A4,0.30056919273208066,11.19037093425925,9.067461685875994
2,LF0,0.29339977764091635,11.444403747343495,9.215350086700948
2,LF1,0.3084445862380027,10.89192971287341,8.919960026097652
2,LF2,0.3043257358062429,11.053672247306121,8.956270166530876
