comparison,n_seeds,mean_delta_pearson,median_delta_pearson,positive_pearson,mean_delta_rmse,median_delta_rmse,positive_rmse,mean_delta_mae,median_delta_mae,positive_mae
A3 matched - A4,1,0.0001344905579339084,0.0001344905579339084,1,-0.00022591251954873215,-0.00022591251954873215,0,-2.9773443872116445e-05,-2.9773443872116445e-05,0
A3 matched - A2,1,0.00013458403807398156,0.00013458403807398156,1,-0.00022610441672021864,-0.00022610441672021864,0,-2.9875502280951594e-05,-2.9875502280951594e-05,0
A3 matched - A3 unrelated-fixed,1,4.0824480512791084e-05,4.0824480512791084e-05,1,-9.165957351431331e-05,-9.165957351431331e-05,0,-0.00015825981772543685,-0.00015825981772543685,0
A3 matched - A3 shuffled-fixed,1,0.0001570978465230688,0.0001570978465230688,1,-0.0002980432705852465,-0.0002980432705852465,0,-8.990231479932831e-05,-8.990231479932831e-05,0
A3 matched - A3 random-fixed,1,0.00013829033527379408,0.00013829033527379408,1,-0.00024574550763922787,-0.00024574550763922787,0,-5.609869984724014e-05,-5.609869984724014e-05,0
