method,target,N,n_evals,pearson_mean,pearson_std,rmse_mean,rmse_std
ncr_contrastive,fluid_intelligence,50,15,0.11948968043404148,0.27391651789711374,5.190289914466579,1.1614046668501368
ncr_contrastive,fluid_intelligence,100,15,0.15634413850645276,0.12577481409675545,4.932475151417489,0.6383572665188562
ncr_contrastive,fluid_intelligence,200,15,0.2759794300043043,0.15533031662540078,4.8138094479770395,0.4308261859402365
ncr_contrastive,fluid_intelligence,412,15,0.3450272131807066,0.08972415538776873,4.680067452845725,0.28182808562710904
ncr_contrastive,working_memory,50,15,0.038641979374518506,0.38263329208365654,12.44432238560013,3.313960440777005
ncr_contrastive,working_memory,100,15,0.1346306399541565,0.21112041394746023,11.682390840393783,1.8504799491346815
ncr_contrastive,working_memory,200,15,0.21387584299445003,0.10969088105169433,11.298928187354237,1.010995696989569
ncr_contrastive,working_memory,412,15,0.21835701070058608,0.11159481861426608,11.442968013473603,0.830814997089232
no_prior_ridge,fluid_intelligence,50,15,0.1304292365669674,0.283228504586861,5.14386822417766,1.045119861174968
no_prior_ridge,fluid_intelligence,100,15,0.16768399994620994,0.13623738707734132,4.893523325961558,0.654473747993212
no_prior_ridge,fluid_intelligence,200,15,0.28972595529053796,0.14965370321599109,4.790146249078428,0.42193447815984925
no_prior_ridge,fluid_intelligence,412,15,0.3525903915563501,0.09015579590722572,4.659581202733678,0.29167466366061556
no_prior_ridge,working_memory,50,15,0.03998324785705173,0.384210813324344,12.470245828807409,3.270174130504303
no_prior_ridge,working_memory,100,15,0.13045692003668688,0.2097415788763949,11.720792363363138,1.915499232730438
no_prior_ridge,working_memory,200,15,0.21730624463936765,0.1113830515200381,11.287005229615046,1.0018171631136163
no_prior_ridge,working_memory,412,15,0.22336464937550643,0.12138266292609018,11.364000139596405,0.8783625818437583
