method,target,N,seed,fold,n_train,n_val,n_test,runtime_seconds,pearson,rmse,mae
no_prior_ridge,fluid_intelligence,200,2,3,136,24,40,0.825045108795166,0.34454212059542,4.703481044301431,3.856901463853165
ncr_contrastive,fluid_intelligence,200,2,4,136,24,40,21.077481985092163,0.2721927279390963,5.351832565109189,4.494178853790191
no_prior_ridge,fluid_intelligence,200,2,4,136,24,40,2.006674766540528,0.2721927279390953,5.351832565109191,4.49417885379019
ncr_contrastive,working_memory,200,0,0,136,24,40,21.769334077835083,0.1070656879127413,11.98551193542125,10.182373696634766
no_prior_ridge,working_memory,200,0,0,136,24,40,0.837244987487793,0.1070656879127413,11.98551193542125,10.182373696634766
ncr_contrastive,working_memory,200,0,1,136,24,40,21.74902367591858,0.2845267101591933,12.1974449016554,9.399064799053338
no_prior_ridge,working_memory,200,0,1,136,24,40,1.648689031600952,0.2999518719149378,12.172398499627162,9.36932826575783
ncr_contrastive,working_memory,200,0,2,136,24,40,21.274977684021,0.1745481274728729,10.530314401989976,8.133475644599674
no_prior_ridge,working_memory,200,0,2,136,24,40,7.399930477142334,0.1745481274728729,10.530314401989976,8.133475644599674
ncr_contrastive,working_memory,200,0,3,136,24,40,14.190640449523926,0.2205131453389163,10.269497802349466,8.42023911586125
no_prior_ridge,working_memory,200,0,3,136,24,40,2.210484266281128,0.2213838554155245,10.268797032343532,8.419386288069298
ncr_contrastive,working_memory,200,0,4,136,24,40,20.48964834213257,0.1427602726807899,11.52328879943867,9.43086767812898
no_prior_ridge,working_memory,200,0,4,136,24,40,0.7893033027648926,0.1509429481414249,11.523260741144563,9.457494638169814
ncr_contrastive,working_memory,200,1,0,136,24,40,21.928123474121094,0.1920203663373031,11.649006257724285,10.040127331670568
no_prior_ridge,working_memory,200,1,0,136,24,40,0.6346249580383301,0.1920203663373047,11.64900625772428,10.040127331670565
ncr_contrastive,working_memory,200,1,1,136,24,40,21.976433038711548,-0.0659474198866227,13.94331712162884,11.58166985440212
no_prior_ridge,working_memory,200,1,1,136,24,40,0.7527275085449219,-0.0660768538445048,13.94332222732849,11.581678513399703
