model_id,prior_type,seed,n_folds,n_fold_pairs,wm_alignment,rank_stability,top10_jaccard
A4_modality_ridge,none,0,5,10,0.10113889013256924,0.6295413831545765,0.25809990662931837
A4_modality_ridge,none,1,5,10,0.1566507967845679,0.6931572675200861,0.27259570494864616
A4_modality_ridge,none,2,5,10,0.07709132174479247,0.726801983623573,0.26643323996265167
A4_modality_ridge,none,3,5,10,0.18452908065106044,0.4529712067043401,0.19281045751633988
A4_modality_ridge,none,4,5,10,0.1351852491131137,0.6425856302617923,0.2743930905695611
A4_modality_ridge,none,5,5,10,0.13132068115778345,0.6636443316803138,0.3069974143503555
A4_modality_ridge,none,6,5,10,0.09612256859787816,0.5649613654711106,0.24204014939309054
A4_modality_ridge,none,7,5,10,0.1458757073530727,0.5182424172529121,0.26246498599439777
A4_modality_ridge,none,8,5,10,0.10988283096719564,0.6187967554684197,0.3383699633699634
A4_modality_ridge,none,9,5,10,0.09138860749313055,0.7380694268250491,0.36694139194139186
A4_iso_same_solver,uniform,0,5,10,0.1821193998156843,0.6404697651174412,0.3527203188967895
A4_iso_same_solver,uniform,1,5,10,0.16629336699841502,0.6181424672279245,0.29817927170868347
A4_iso_same_solver,uniform,2,5,10,0.1224551791571323,0.6620013070387882,0.3698717948717948
A4_iso_same_solver,uniform,3,5,10,0.16629644449628908,0.6784761465421136,0.3726190476190475
A4_iso_same_solver,uniform,4,5,10,0.18802281011256847,0.632037827240226,0.3476190476190476
A4_iso_same_solver,uniform,5,5,10,0.1472082639325336,0.6490201053319493,0.3011904761904762
A4_iso_same_solver,uniform,6,5,10,0.16052228911011474,0.5839042017452812,0.34054083171730226
A4_iso_same_solver,uniform,7,5,10,0.14434849903307856,0.6762918540729634,0.33571428571428574
A4_iso_same_solver,uniform,8,5,10,0.16928777242985946,0.6272994272094723,0.3931318681318681
A4_iso_same_solver,uniform,9,5,10,0.15568215432871263,0.6795040941067928,0.4088827838827839
A2_fc_laplacian,matched,0,5,10,-0.11064681981442699,0.6971806404490063,0.25891690009337065
A2_fc_laplacian,matched,1,5,10,0.02164481192261722,0.643567447045708,0.21653766769865843
A2_fc_laplacian,matched,2,5,10,-0.13689710730555044,0.7670618536885403,0.32002801120448177
A2_fc_laplacian,matched,3,5,10,0.07302056143190128,0.43337331334332835,0.19379084967320262
A2_fc_laplacian,matched,4,5,10,-0.038574127727731146,0.6505124360896476,0.3155408317173023
A2_fc_laplacian,matched,5,5,10,-0.11171086470437755,0.747884519278822,0.3178571428571429
A2_fc_laplacian,matched,6,5,10,-0.06994306355785765,0.5750693883827317,0.2273342670401494
A2_fc_laplacian,matched,7,5,10,0.006416583067380921,0.4885203552070119,0.2446958270487682
A2_fc_laplacian,matched,8,5,10,0.011153621670002566,0.4964302464152538,0.2019607843137255
A2_fc_laplacian,matched,9,5,10,-0.06662090460282759,0.6864667666166917,0.2394257703081232
A3_msancr,matched,0,5,10,0.4644967559974929,0.6848275862068967,0.28375378491477565
A3_msancr,matched,1,5,10,0.5841598752083992,0.7538369276900012,0.40860805860805866
