target,seed,fold,model_id,prior_type,evaluation_type,n_train,n_test,test_indices_hash,selected_hyperparameter_hash,coefficient_artifact,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard,pearson,rmse,mae
working_memory,1,0,A2_fc_laplacian,matched,retuned_base,329,83,fd88b3fdabd38c48,9902906f74d11c9d,outputs/iclr/msancr_final_10x5/coefficients/A2_fc_laplacian__matched/seed01_fold00.npz,0.13092242751745342,0.20434201196415322,0.05263157894736842,0.4964006455035455,10.081258825014727,8.274651342538846
working_memory,1,0,A3_msancr,matched,retuned_base,329,83,fd88b3fdabd38c48,3e40644f6f1148ce,outputs/iclr/msancr_final_10x5/coefficients/A3_msancr__matched/seed01_fold00.npz,0.6391423210273024,0.7647543748274949,0.05263157894736842,0.5245524512890918,9.827467896920231,8.030283312103126
working_memory,1,0,A4_iso_same_solver,uniform,retuned_base,329,83,fd88b3fdabd38c48,55ec9fcfbaf1e340,outputs/iclr/msancr_final_10x5/coefficients/A4_iso_same_solver__uniform/seed01_fold00.npz,0.12724991893539303,0.24420715005004562,0.05263157894736842,0.3625051016070334,10.777761623040414,8.656789945198438
working_memory,1,0,A4_modality_ridge,none,retuned_base,329,83,fd88b3fdabd38c48,2910bb8c65053494,outputs/iclr/msancr_final_10x5/coefficients/A4_modality_ridge__none/seed01_fold00.npz,0.15304781539134657,0.22062582259018648,0.05263157894736842,0.49665928397046566,10.078906354577343,8.273045697708763
working_memory,1,1,A2_fc_laplacian,matched,retuned_base,329,83,5a27629dcbb318ac,51f31676134369d3,outputs/iclr/msancr_final_10x5/coefficients/A2_fc_laplacian__matched/seed01_fold01.npz,0.15199115484866038,0.20720408498701376,0.05263157894736842,0.0408387011592024,12.081816033453489,9.924086835700107
working_memory,1,1,A3_msancr,matched,retuned_base,329,83,5a27629dcbb318ac,dfcd8132f5901466,outputs/iclr/msancr_final_10x5/coefficients/A3_msancr__matched/seed01_fold01.npz,0.7832933960082842,0.9028378575634891,0.17647058823529413,0.043481687661305946,12.218083728285798,10.052172733408415
working_memory,1,1,A4_iso_same_solver,uniform,retuned_base,329,83,5a27629dcbb318ac,1a9d8a819b9f2772,outputs/iclr/msancr_final_10x5/coefficients/A4_iso_same_solver__uniform/seed01_fold01.npz,0.1711166304604972,0.2234840487407045,0.05263157894736842,0.04100217837060774,12.08174605247765,9.923212712712518
working_memory,1,1,A4_modality_ridge,none,retuned_base,329,83,5a27629dcbb318ac,1a9d8a819b9f2772,outputs/iclr/msancr_final_10x5/coefficients/A4_modality_ridge__none/seed01_fold01.npz,0.1711166304604972,0.2234840487407045,0.05263157894736842,0.04100217837060774,12.08174605247765,9.923212712712518
working_memory,1,2,A2_fc_laplacian,matched,retuned_base,330,82,a3a96f37370dde13,331fd09576665913,outputs/iclr/msancr_final_10x5/coefficients/A2_fc_laplacian__matched/seed01_fold02.npz,-0.4476051027523653,-0.10571205197339804,0.0,0.21608808029381665,11.520281361947392,9.775459960735642
working_memory,1,2,A3_msancr,matched,retuned_base,330,82,a3a96f37370dde13,977017089204073d,outputs/iclr/msancr_final_10x5/coefficients/A3_msancr__matched/seed01_fold02.npz,0.04830596249335109,0.37452379752642234,0.0,0.22590441181637705,11.46882802401999,9.728138810953743
working_memory,1,2,A4_iso_same_solver,uniform,retuned_base,330,82,a3a96f37370dde13,c65f6b667fe32338,outputs/iclr/msancr_final_10x5/coefficients/A4_iso_same_solver__uniform/seed01_fold02.npz,0.04997020261292062,0.044704503492826,0.05263157894736842,0.15620428320156973,12.010257883197943,10.050659880412626
working_memory,1,2,A4_modality_ridge,none,retuned_base,330,82,a3a96f37370dde13,4ae14dcae3d7e452,outputs/iclr/msancr_final_10x5/coefficients/A4_modality_ridge__none/seed01_fold02.npz,0.03938910781433429,0.057656922670207056,0.05263157894736842,0.23694759228496998,11.451007071981998,9.670351266079646
working_memory,1,3,A2_fc_laplacian,matched,retuned_base,330,82,1bb495d850934d97,314e5f999a0e44bb,outputs/iclr/msancr_final_10x5/coefficients/A2_fc_laplacian__matched/seed01_fold03.npz,-0.4475310035023582,-0.12360770211096161,0.05263157894736842,0.3100349430005945,11.580866865777281,9.564240619088894
working_memory,1,3,A3_msancr,matched,retuned_base,330,82,1bb495d850934d97,55fb694ff760fd97,outputs/iclr/msancr_final_10x5/coefficients/A3_msancr__matched/seed01_fold03.npz,0.2646698032907996,0.4850367461833285,0.05263157894736842,0.3270648384938904,11.589992122752458,9.375630990894003
working_memory,1,3,A4_iso_same_solver,uniform,retuned_base,330,82,1bb495d850934d97,c65f6b667fe32338,outputs/iclr/msancr_final_10x5/coefficients/A4_iso_same_solver__uniform/seed01_fold03.npz,0.1414170221089308,0.13249782409460514,0.05263157894736842,0.24260576832798045,11.992706170184317,9.88019478516616
