comparison,n_seeds,mean_delta_pearson,median_delta_pearson,positive_pearson,mean_delta_rmse,median_delta_rmse,positive_rmse,mean_delta_mae,median_delta_mae,positive_mae
A3 matched - A4,10,0.01216064797089067,0.011385139975667313,7,-0.06414738555517623,-0.0516003011910513,2,-0.07336211635500653,-0.07338283662709699,2
A3 matched - A2,10,0.01372319573796881,0.011135117335451972,9,-0.018098566304012742,-0.02823440420539125,4,-0.042735978325916156,-0.036172169277239874,3
A3 matched - A3 unrelated-fixed,10,0.021251444143743192,0.02225154704396154,10,-0.1190322602985919,-0.11949062522168408,0,-0.1390986721629579,-0.148392647595327,0
A3 matched - A3 shuffled-fixed,10,0.019256904149093597,0.019500763248990235,10,-0.09336785444449394,-0.10041831217608088,1,-0.08795146713776987,-0.08057221455999386,1
A3 matched - A3 random-fixed,10,0.011458095062613787,0.011354980255393846,9,-0.07894121027970905,-0.08336117062629533,2,-0.09935531112443793,-0.13139074144092966,1
