model_id,prior_type,evaluation_type,seed,pearson,rmse,mae,n_folds
A2_fc_laplacian,matched,retuned_base,0,0.233936567818891,11.954887496903305,9.781726050098055,5
A2_fc_laplacian,matched,retuned_base,1,0.2780341806210783,11.143358997612168,9.076771819120323,5
A2_fc_laplacian,matched,retuned_base,2,0.3062435409688028,11.39918981487995,9.222108306142943,5
A2_fc_laplacian,matched,retuned_base,3,0.23566931026704122,11.396580735675874,9.348042975417709,5
A2_fc_laplacian,matched,retuned_base,4,0.24866473966921507,11.605802107476979,9.51723092001211,5
A2_fc_laplacian,matched,retuned_base,5,0.24577453958944373,11.703102227355581,9.362610525932194,5
A2_fc_laplacian,matched,retuned_base,6,0.2110854026377127,11.78809380030826,9.602523522631715,5
A2_fc_laplacian,matched,retuned_base,7,0.20380784249354122,11.830900895028279,9.55779046303075,5
A2_fc_laplacian,matched,retuned_base,8,0.2610003319448427,11.388835157448709,9.392357456601138,5
A2_fc_laplacian,matched,retuned_base,9,0.27054049131272934,11.473559185231478,9.107835033794743,5
A3_msancr,matched,retuned_base,0,0.2380143703087711,11.92106137385396,9.73560916424898,5
A3_msancr,matched,retuned_base,1,0.29133434517324597,11.1093215156728,8.993407567179975,5
A3_msancr,matched,retuned_base,2,0.3094109040164902,11.508546475990645,9.27704868273052,5
A3_msancr,matched,retuned_base,3,0.24277982784420277,11.425869587686618,9.361562110580037,5
A3_msancr,matched,retuned_base,4,0.23521533692523536,11.74586437947747,9.626809835250475,5
A3_msancr,matched,retuned_base,5,0.2565861150813853,11.517901433736295,9.205699103285948,5
A3_msancr,matched,retuned_base,6,0.23224662670605314,11.74488235484304,9.546272425849432,5
A3_msancr,matched,retuned_base,7,0.23461798073787268,11.876820197973055,9.5536962387223,5
A3_msancr,matched,retuned_base,8,0.30978424741803795,11.20214093577653,9.159924580585514,5
A3_msancr,matched,retuned_base,9,0.2819991504916917,11.450916499870042,9.081607581089337,5
A3_msancr,random,fixed_prior_swap,0,0.22766802958304252,11.954676829056414,9.721001792486877,5
