model_id,prior_type,evaluation_type,seed,pearson,rmse,mae,n_folds,n_fold_pairs,wm_alignment,rank_stability,top10_jaccard
A3_msancr,random,fixed_prior_swap,0,0.22766802958304252,11.954676829056414,9.721001792486877,5,10,0.0649529007550959,0.6817852612155461,0.3300132873662285
A3_msancr,random,fixed_prior_swap,1,0.27897072538818685,11.186520219283045,9.124318002677546,5,10,0.1155392720596878,0.7607227155652942,0.4553113553113553
A3_msancr,random,fixed_prior_swap,2,0.28494607492240365,11.690689758694964,9.415143576888457,5,10,0.0238167560472235,0.763529004728405,0.3927838501367913
A3_msancr,random,fixed_prior_swap,3,0.23615933889124033,11.413337230944625,9.379709987894824,5,10,0.1484523424481157,0.6421320109176181,0.315792214321626
A3_msancr,random,fixed_prior_swap,4,0.21947952557038866,11.859815265496625,9.778156556092307,5,10,0.0806804536403958,0.6724337831084457,0.3498204409969115
A3_msancr,random,fixed_prior_swap,5,0.23930104713623165,11.63405083078168,9.337570150670237,5,10,0.1185613749719986,0.7344520047668474,0.3668534080298786
A3_msancr,random,fixed_prior_swap,6,0.222606918786341,11.77295619121948,9.632409996813031,5,10,0.0689751904764709,0.8121008726406028,0.3754040077569489
A3_msancr,random,fixed_prior_swap,7,0.2506585858654594,11.87435216339152,9.617395986881517,5,10,0.0713348619713938,0.6471087533156499,0.3192990016519427
A3_msancr,random,fixed_prior_swap,8,0.2841779967248724,11.365898231296805,9.313720862163686,5,10,0.0665978233687722,0.6300065351939415,0.3752747252747252
A3_msancr,random,fixed_prior_swap,9,0.2734397112086818,11.540440137512388,9.215763488198414,5,10,0.0695960756725592,0.6326690500903395,0.432967032967033
A3_msancr,shuffled,fixed_prior_swap,0,0.21576891175532822,12.046384441211362,9.814653156306603,5,10,-0.0279959981601747,0.6739338023296045,0.2298196471571084
A3_msancr,shuffled,fixed_prior_swap,1,0.27041961652111396,11.238449246287761,9.120214289481865,5,10,-0.0459393495147859,0.7768369661323185,0.3527203188967894
A3_msancr,shuffled,fixed_prior_swap,2,0.3036406324233786,11.50139932880851,9.236288439047193,5,10,-0.0772767409917035,0.8066843501326261,0.3146415246260447
A3_msancr,shuffled,fixed_prior_swap,3,0.22860090334087882,11.477197580268614,9.43536571474265,5,10,0.0067335653484074,0.6547041863683543,0.2346872082166199
A3_msancr,shuffled,fixed_prior_swap,4,0.21869599832815645,11.84706363979684,9.696517946810452,5,10,-0.0329407678692943,0.6988474993272595,0.2808467246547741
A3_msancr,shuffled,fixed_prior_swap,5,0.2406707413800046,11.562548896898871,9.27736365032609,5,10,-0.0579254343597173,0.7523676623226848,0.3645604395604395
A3_msancr,shuffled,fixed_prior_swap,6,0.2081660803133933,11.844519718875834,9.631586255788756,5,10,-0.0704970131751855,0.8360235266981894,0.3847985347985347
A3_msancr,shuffled,fixed_prior_swap,7,0.21653118289202422,11.958077138013575,9.735513527213069,5,10,-0.0711117433755257,0.6513089609041633,0.3028424190188896
A3_msancr,shuffled,fixed_prior_swap,8,0.27726532429400413,11.343521374548194,9.24202501764788,5,10,-0.0548610158516384,0.6483934955599124,0.2164553540714531
A3_msancr,shuffled,fixed_prior_swap,9,0.2596604719637679,11.617841934615834,9.23162396353566,5,10,-0.0328561366777581,0.6424264790681582,0.2223033072878274
A3_msancr,unrelated,fixed_prior_swap,0,0.20318641954292316,12.131585674837876,9.910598763530421,5,10,0.3279073984793467,0.6525537231384309,0.2098972922502334
A3_msancr,unrelated,fixed_prior_swap,1,0.2757553817462791,11.197014794229341,9.128619629070817,5,10,0.4460656212298457,0.7807019567139506,0.2793417366946779
A3_msancr,unrelated,fixed_prior_swap,2,0.281440701545291,11.70031038726618,9.498822626305245,5,10,0.2314878513366234,0.7705923961096375,0.3081878905408317
