method_id,seed,fold,condition,repeat,pearson,rmse,mae
M2_TRUE,0,0,random,0,0.19863961195175567,10.294630552452286,9.011471277259918
M2_TRUE,0,0,random,1,0.19059519075507714,12.526968398080925,11.300740885447306
M2_TRUE,0,0,random,2,0.28162806078799857,5.965949249667841,5.108783572553152
M2_TRUE,0,0,random,3,0.20216269624511607,7.533202913566679,6.441946247974074
M2_TRUE,0,0,random,4,0.27641929102134266,6.464158883927274,4.929871720003795
M2_TRUE,0,0,random,5,0.20357237795146144,5.819552211450586,5.001470209604286
M2_TRUE,0,0,random,6,0.15526392425025104,10.241520478543096,8.88036576236587
M2_TRUE,0,0,random,7,0.19532403133615228,5.812826999458334,4.818054015377918
M2_TRUE,0,0,random,8,0.2796176617098138,7.311165476031934,6.229296822145761
M2_TRUE,0,0,random,9,0.23478311315872463,5.697460932532914,4.792495405817607
M2_TRUE,0,0,random,10,0.22280994174022606,5.694783689728097,4.8354599734386765
M2_TRUE,0,0,random,11,0.17785198130369667,7.530824166022689,5.957244735166251
M2_TRUE,0,0,random,12,0.1374035759900077,6.950283478043114,5.364435333803476
M2_TRUE,0,0,random,13,0.22915654046490175,7.5889278024528695,6.386986537152026
M2_TRUE,0,0,random,14,0.20460713254628998,8.657226111751333,7.339800558894513
M2_TRUE,0,0,random,15,0.20597983627923094,5.953486244019355,4.497258726372777
M2_TRUE,0,0,random,16,0.1644959432008427,7.330176130838353,6.3487073484673555
M2_TRUE,0,0,random,17,0.20356344205985502,8.966284085801538,7.468737797564771
M2_TRUE,0,0,random,18,0.28116753044899306,11.260774884224308,10.160780780286673
M2_TRUE,0,0,random,19,0.23274072308139854,10.303916430636912,9.12352409132992
M2_TRUE,0,0,top,-1,0.13509306190023523,7.324952974954866,5.60946434664439
M2_TRUE,0,0,bottom,-1,0.19383688297831186,14.380226523200285,13.255527852529502
M2_TRUE,0,0,prior_true_top,-1,0.2285635828724059,8.530265293197573,6.9940888278455615
M2_TRUE,0,0,prior_random_top,-1,0.21176132637851258,9.524284543862683,8.125949652798205
M2_TRUE,0,1,random,0,0.4947139422954858,4.716904557485577,3.813401360109628
M2_TRUE,0,1,random,1,0.47436852159754617,4.727136537129305,3.8042753748146882
M2_TRUE,0,1,random,2,0.429077152438708,7.7052040222868925,6.765914296529379
M2_TRUE,0,1,random,3,0.4001725061506453,7.255206107177551,6.334304958940988
M2_TRUE,0,1,random,4,0.3666345171521044,6.674370389314083,5.839582236416368
M2_TRUE,0,1,random,5,0.37088287878251225,7.786482485684436,6.8139138164290465
M2_TRUE,0,1,random,6,0.4778451622580433,4.758207199876504,4.104153288416116
M2_TRUE,0,1,random,7,0.48180312423321237,4.691495382087383,3.8380887134965644
M2_TRUE,0,1,random,8,0.46388719700926395,4.763648265520459,4.113113127559064
M2_TRUE,0,1,random,9,0.44870625477292003,6.530955461716948,5.688290768359081
M2_TRUE,0,1,random,10,0.4345481220823292,5.721776928977628,4.9927750782794265
M2_TRUE,0,1,random,11,0.43744425609432724,4.817175137651227,3.8111203664756683
M2_TRUE,0,1,random,12,0.4751299822714106,4.783894720833524,3.801942607006395
M2_TRUE,0,1,random,13,0.40261579825697846,4.952547901363846,4.278371305350798
M2_TRUE,0,1,random,14,0.4113186027793323,6.836159857039057,5.9871089774442
M2_TRUE,0,1,random,15,0.36472168412945377,5.016747220460939,4.316224718668375
M2_TRUE,0,1,random,16,0.44220636017440196,5.904404510978756,5.179804480219462
M2_TRUE,0,1,random,17,0.4370662770875576,5.0663682711930464,4.392758771597621
M2_TRUE,0,1,random,18,0.4525224831465146,4.7216817025231,3.8395605661782874
M2_TRUE,0,1,random,19,0.4667535976135975,5.714946962510094,5.009256167584155
M2_TRUE,0,1,top,-1,0.38590548298279936,6.086198856596649,5.275565400181047
M2_TRUE,0,1,bottom,-1,0.35170586059641007,8.61245559509259,7.533205503440765
M2_TRUE,0,1,prior_true_top,-1,0.3974811852959772,8.772233424697014,7.3469686163477155
M2_TRUE,0,1,prior_random_top,-1,0.43584827296231266,5.105570102515483,4.459241131702101
M2_TRUE,0,2,random,0,0.25898205275808395,5.248000263178797,3.956725771834211
M2_TRUE,0,2,random,1,0.23738371040353592,4.829553353736767,3.8989968881374453
M2_TRUE,0,2,random,2,0.25920851505025166,4.895633346421848,3.8976641864311405
M2_TRUE,0,2,random,3,0.27516708998293676,4.979624840105928,3.916006390641375
M2_TRUE,0,2,random,4,0.2791353010476377,5.27445407336252,3.944631483496689
M2_TRUE,0,2,random,5,0.2606960659297091,5.065656758525509,3.9306748087813212
M2_TRUE,0,2,random,6,0.26948055441560304,5.119011472950745,3.9225393388329484
M2_TRUE,0,2,random,7,0.2632707835830429,5.684363924888901,4.143065661918826
M2_TRUE,0,2,random,8,0.23925308292594683,4.774308680158437,3.9066681745575695
M2_TRUE,0,2,random,9,0.26720412871757937,5.012160781291748,3.9121708753632336
M2_TRUE,0,2,random,10,0.22183528175481657,4.940957840735688,3.930152241776629
M2_TRUE,0,2,random,11,0.26476589907496867,4.953754311411437,3.909397288066585
