experiment_id,experiment_name,prior_type,prior_source,seed,fold,split_id,n_train,n_val,n_test,best_epoch,best_val_metric,runtime_seconds,target_train_mean,target_train_std,group_aware,pearson,rmse,mae,alignment_edge_diagonal_pearson,alignment_edge_diagonal_spearman,alignment_edge_diagonal_topk_jaccard,reference_alignment_node_pearson,reference_alignment_node_spearman,reference_alignment_node_topk_jaccard,reference_alignment_module_pearson,reference_alignment_module_spearman,reference_alignment_module_topk_jaccard,reference_alignment_edge_diagonal_pearson,reference_alignment_edge_diagonal_spearman,reference_alignment_edge_diagonal_topk_jaccard
E8,edge_shuffled,edge,shuffled_working_memory,0,0,seed00_fold00,279,50,83,14,4.953355312347412,42.55925369262695,16.845878136200717,4.8357883123268195,False,0.29144006967544556,5.02054500579834,4.323400497436523,0.1532888561487198,0.13952417369273243,0.05263157894736842,-0.4376850128173828,-0.40956822280459154,0.0,-0.5179963111877441,-0.4047619047619048,0.0,-0.43339625000953674,-0.40956822280459154,0.0
E8,edge_shuffled,edge,shuffled_working_memory,0,1,seed00_fold01,279,50,83,26,4.224888324737549,54.38466668128967,16.842293906810035,4.845668698152689,False,0.15483370423316956,5.165505886077881,4.3062262535095215,0.21597188711166382,0.2001970631691805,0.1111111111111111,-0.3708447515964508,-0.3332888818001247,0.0,-0.5122232437133789,-0.5476190476190477,0.0,-0.3657200038433075,-0.3332888818001247,0.0
E8,edge_shuffled,edge,shuffled_working_memory,0,2,seed00_fold02,280,50,82,19,4.96345329284668,46.57545065879822,16.917857142857144,4.921204380130987,False,0.23583625257015228,4.588953495025635,3.8867626190185547,0.233259916305542,0.21167342336482442,0.1111111111111111,-0.48372882604599,-0.48288108950261266,0.0,-0.5911992192268372,-0.5476190476190477,0.0,-0.48404616117477417,-0.48288108950261266,0.0
E8,edge_shuffled,edge,shuffled_working_memory,0,3,seed00_fold03,280,50,82,27,4.308928489685059,56.14726638793945,16.90714285714286,4.856360231065809,False,0.14971604943275452,5.207676410675049,4.21846342086792,0.2058189958333969,0.18549453731366455,0.1111111111111111,-0.5683901309967041,-0.5643992041560048,0.0,-0.693474292755127,-0.6666666666666669,0.0,-0.571738064289093,-0.5643992041560048,0.0
E8,edge_shuffled,edge,shuffled_working_memory,0,4,seed00_fold04,280,50,82,21,4.940384864807129,50.81645178794861,16.8,5.010275156401806,False,0.15319402515888214,4.3570733070373535,3.691615104675293,0.20139920711517334,0.17297441763982677,0.05263157894736842,-0.48860397934913635,-0.48627705335510946,0.0,-0.5697519183158875,-0.523809523809524,0.0,-0.4900239109992981,-0.48627705335510946,0.0
E8,edge_shuffled,edge,shuffled_working_memory,1,0,seed01_fold00,279,50,83,17,5.054633140563965,44.92538666725159,16.93548387096774,4.762020711139765,False,0.1222885400056839,5.130931854248047,4.520071983337402,0.24238747358322144,0.2574440244061979,0.1111111111111111,-0.3493741452693939,-0.31903582174861567,0.0,-0.5543360710144043,-0.5714285714285715,0.2,-0.3503614664077759,-0.31903582174861567,0.0
E8,edge_shuffled,edge,shuffled_working_memory,1,1,seed01_fold01,279,50,83,21,4.105116844177246,49.53937864303589,16.620071684587813,4.945483294156645,False,0.02499840222299099,5.312536239624023,4.586789608001709,0.21270421147346497,0.20790789874014404,0.17647058823529413,-0.5232544541358948,-0.526773922296135,0.0,-0.6374236941337585,-0.5476190476190477,0.0,-0.5266060829162598,-0.526773922296135,0.0
E8,edge_shuffled,edge,shuffled_working_memory,1,2,seed01_fold02,280,50,82,4,5.048712730407715,36.25690817832947,16.932142857142857,4.8740239734615125,False,0.12212644517421722,4.875757217407227,4.03482723236084,0.12371939420700073,0.12600524112110145,0.05263157894736842,-0.5179246664047241,-0.5195225406581563,0.0,-0.5917017459869385,-0.4761904761904762,0.0,-0.5156983733177185,-0.5195225406581563,0.0
E8,edge_shuffled,edge,shuffled_working_memory,1,3,seed01_fold03,280,50,82,33,4.6847734451293945,63.84666109085083,17.017857142857142,4.8531693305530155,False,0.13548457622528076,5.102893352508545,4.051490783691406,0.22876617312431335,0.20627983371674108,0.1111111111111111,-0.42122602462768555,-0.41393802923243683,0.0,-0.5097091794013977,-0.4047619047619048,0.0,-0.4158547818660736,-0.41393802923243683,0.0
E8,edge_shuffled,edge,shuffled_working_memory,1,4,seed01_fold04,280,50,82,8,4.905361175537109,37.57412624359131,16.867857142857144,4.953393755182153,False,-0.014387121424078941,4.769084930419922,3.9362633228302,0.17458578944206238,0.16704646309142412,0.1111111111111111,-0.38686221837997437,-0.3751840887980606,0.0,-0.4479057490825653,-0.4047619047619048,0.0,-0.3891412317752838,-0.3751840887980606,0.0
E8,edge_shuffled,edge,shuffled_working_memory,2,0,seed02_fold00,279,50,83,25,4.661679267883301,53.294673204422,16.82078853046595,4.928535674452275,False,0.10166504979133606,4.862491607666016,3.8231494426727295,0.2927025258541107,0.2701439304016384,0.1111111111111111,-0.3351030945777893,-0.36034672320134253,0.0,-0.4554702341556549,-0.38095238095238104,0.0,-0.3242216110229492,-0.36034672320134253,0.0
E8,edge_shuffled,edge,shuffled_working_memory,2,1,seed02_fold01,279,50,83,18,4.643371105194092,45.64752435684204,16.85663082437276,4.911498188445885,False,0.10261068493127823,4.958841323852539,4.299188613891602,0.2569902837276459,0.23301805499066514,0.17647058823529413,-0.3770213723182678,-0.3564313766419932,0.0,-0.4614596962928772,-0.30952380952380953,0.0,-0.37310686707496643,-0.3564313766419932,0.0
E8,edge_shuffled,edge,shuffled_working_memory,2,2,seed02_fold02,280,50,82,16,4.5294694900512695,42.602869749069214,16.985714285714284,4.787611564214031,False,0.034739457070827484,5.458332061767578,4.600585460662842,0.19348597526550293,0.18227835978277043,0.1111111111111111,-0.500018298625946,-0.5125757969540046,0.0,-0.5893892645835876,-0.5476190476190477,0.0,-0.5059270858764648,-0.5125757969540046,0.0
E8,edge_shuffled,edge,shuffled_working_memory,2,3,seed02_fold03,280,50,82,18,4.624309062957764,45.633071422576904,16.760714285714286,4.9774376142832395,False,0.14793077111244202,4.678439617156982,3.9389708042144775,0.20342271029949188,0.18679299408079572,0.1111111111111111,-0.46096864342689514,-0.4683233915172767,0.0,-0.5209879875183105,-0.4047619047619048,0.0,-0.46050316095352173,-0.4683233915172767,0.0
E8,edge_shuffled,edge,shuffled_working_memory,2,4,seed02_fold04,280,50,82,7,4.936838150024414,35.97371530532837,16.892857142857142,4.926164008306533,False,0.16553182899951935,4.7523345947265625,3.93462872505188,0.17649753391742706,0.15500577360852708,0.05263157894736842,-0.5314067006111145,-0.5290012750582138,0.0,-0.6112492084503174,-0.6428571428571429,0.0,-0.5308811068534851,-0.5290012750582138,0.0
E8,edge_shuffled,edge,shuffled_working_memory,3,0,seed03_fold00,279,50,83,4,5.094581604003906,36.68706774711609,16.863799283154123,4.829280604484002,False,0.2526355981826782,4.9975080490112305,4.283761978149414,0.12759463489055634,0.1335163141125063,0.05263157894736842,-0.47208738327026367,-0.45762111131742256,0.0,-0.4833778440952301,-0.4047619047619048,0.0,-0.4631560742855072,-0.45762111131742256,0.0
E8,edge_shuffled,edge,shuffled_working_memory,3,1,seed03_fold01,279,50,83,32,4.404685974121094,62.466864347457886,16.878136200716845,4.925923173060801,False,0.10147082060575485,5.145318508148193,4.120894908905029,0.24502012133598328,0.24220213958587364,0.1111111111111111,-0.46002671122550964,-0.4619509652293561,0.0,-0.5119664669036865,-0.4047619047619048,0.0,-0.45868775248527527,-0.4619509652293561,0.0
E8,edge_shuffled,edge,shuffled_working_memory,3,2,seed03_fold02,280,50,82,15,4.674232482910156,42.08227348327637,16.92142857142857,4.903450471924056,False,0.12468455731868744,5.01102876663208,4.257020950317383,0.18844060599803925,0.18156920262533727,0.1111111111111111,-0.436279296875,-0.4498004063277018,0.0,-0.5673630237579346,-0.6428571428571429,0.0,-0.44122862815856934,-0.4498004063277018,0.0
