target,seed,fold,model_id,prior_type,evaluation_type,n_train,n_test,test_indices_hash,selected_from_prior,selected_hyperparameter_hash,coefficient_artifact,lambda_fc,lambda_sc,lambda_l,gamma,lifting,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard,pearson,rmse,mae
working_memory,1,0,A3_msancr,unrelated,fixed_prior_swap,329,83,fd88b3fdabd38c48,matched,3e40644f6f1148ce,outputs/iclr/msancr_refinement/coefficients/A3_msancr__unrelated/seed01_fold00.npz,1.0,10.0,0.5,1.0,mean,0.4614452525102167,0.6061978374844255,0.05263157894736842,0.5223449527687908,9.793957172556368,8.08634910466817
working_memory,1,1,A3_msancr,random,fixed_prior_swap,329,83,5a27629dcbb318ac,matched,dfcd8132f5901466,outputs/iclr/msancr_refinement/coefficients/A3_msancr__random/seed01_fold01.npz,1.0,1.0,0.1,0.5,prod,0.05379745556056209,0.15128979548798394,0.05263157894736842,0.0315091973814108,12.25510217243892,10.13063614769109
working_memory,1,1,A3_msancr,shuffled,fixed_prior_swap,329,83,5a27629dcbb318ac,matched,dfcd8132f5901466,outputs/iclr/msancr_refinement/coefficients/A3_msancr__shuffled/seed01_fold01.npz,1.0,1.0,0.1,0.5,prod,-0.0959465684707778,-0.10266917595043741,0.0,0.05891135358653233,12.054262260382943,9.90701017528036
working_memory,1,1,A3_msancr,unrelated,fixed_prior_swap,329,83,5a27629dcbb318ac,matched,dfcd8132f5901466,outputs/iclr/msancr_refinement/coefficients/A3_msancr__unrelated/seed01_fold01.npz,1.0,1.0,0.1,0.5,prod,0.6445421810696865,0.7235697595281061,0.25,0.04755260096232231,12.214669400203391,10.0899936920944
working_memory,1,2,A3_msancr,random,fixed_prior_swap,330,82,a3a96f37370dde13,matched,977017089204073d,outputs/iclr/msancr_refinement/coefficients/A3_msancr__random/seed01_fold02.npz,0.1,1.0,1.0,0.5,mean,0.010370155623525161,0.04951309392101915,0.0,0.22067504875766186,11.527017101048447,9.736633675397526
working_memory,1,2,A3_msancr,shuffled,fixed_prior_swap,330,82,a3a96f37370dde13,matched,977017089204073d,outputs/iclr/msancr_refinement/coefficients/A3_msancr__shuffled/seed01_fold02.npz,0.1,1.0,1.0,0.5,mean,0.010222691054185665,-0.011536770155320987,0.0,0.2256969528351666,11.511885556256242,9.692369448937923
working_memory,1,2,A3_msancr,unrelated,fixed_prior_swap,330,82,a3a96f37370dde13,matched,977017089204073d,outputs/iclr/msancr_refinement/coefficients/A3_msancr__unrelated/seed01_fold02.npz,0.1,1.0,1.0,0.5,mean,-0.06440896156137083,0.2715391780438955,0.05263157894736842,0.21337593088116166,11.540946133336986,9.776530471335382
working_memory,1,3,A3_msancr,random,fixed_prior_swap,330,82,1bb495d850934d97,matched,55fb694ff760fd97,outputs/iclr/msancr_refinement/coefficients/A3_msancr__random/seed01_fold03.npz,0.1,1.0,0.5,1.0,mean,0.037073354838304276,0.09318663562604054,0.05263157894736842,0.296938124415082,11.78762764865118,9.691676641324223
working_memory,1,3,A3_msancr,shuffled,fixed_prior_swap,330,82,1bb495d850934d97,matched,55fb694ff760fd97,outputs/iclr/msancr_refinement/coefficients/A3_msancr__shuffled/seed01_fold03.npz,0.1,1.0,0.5,1.0,mean,-0.0385826061072121,-0.06036512079936543,0.0,0.29474438576239326,11.822713482487728,9.664989009690869
working_memory,1,3,A3_msancr,unrelated,fixed_prior_swap,330,82,1bb495d850934d97,matched,55fb694ff760fd97,outputs/iclr/msancr_refinement/coefficients/A3_msancr__unrelated/seed01_fold03.npz,0.1,1.0,0.5,1.0,mean,0.09450900397787149,0.33266213269474415,0.05263157894736842,0.27747412821809625,11.93639584185806,9.711601339712498
