comparison,n_seeds,mean_delta_pearson,median_delta_pearson,positive_pearson,mean_delta_rmse,median_delta_rmse,positive_rmse,mean_delta_mae,median_delta_mae,positive_mae
A3 matched - A4,3,0.012772660315296891,0.012905816248607926,3,-0.079278049500538,-0.06341580355366716,1,-0.08865953333026273,-0.0963829829563192,1
A3 matched - A2,3,0.007571877287159283,0.005939838904389927,3,0.009846142882106316,-0.035093433314861144,1,-0.02977180907723446,-0.0603094181233903,1
A3 matched - A3 unrelated-fixed,3,0.027225509721868324,0.027980871426052822,3,-0.17273865700256863,-0.18975000400825692,0,-0.18658429821273734,-0.20844617439778723,0
A3 matched - A3 shuffled-fixed,3,0.01913856022994348,0.02091472865213201,3,-0.11405076938878385,-0.12912773061496097,0,-0.07469238990702347,-0.1268067223018896,1
A3 matched - A3 random-fixed,3,0.017069139886191954,0.014130440896361923,3,-0.11417971761768324,-0.08150181416374203,0,-0.09114833216086637,-0.12260968010382634,0
