model_id,prior_type,evaluation_type,seed,pearson,rmse,mae,n_folds
A2_fc_laplacian,matched,retuned_base,0,0.23787132251905882,11.91558246455141,9.753429374648261,5
A2_fc_laplacian,matched,retuned_base,1,0.27784879492311243,11.144414948987661,9.077841267956856,5
A2_fc_laplacian,matched,retuned_base,2,0.3068325121257874,11.394705651219338,9.224822938166652,5
A3_msancr,matched,retuned_base,0,0.24381116142344875,11.869812695561588,9.693119956524871,5
A3_msancr,matched,retuned_base,1,0.29133434517324597,11.1093215156728,8.993407567179975,5
A3_msancr,matched,retuned_base,2,0.31012275483274176,11.50510728217034,9.28025062983522,5
A3_msancr,random,fixed_prior_swap,0,0.22968072052708682,11.95131450972533,9.713044837406073,5
A3_msancr,random,fixed_prior_swap,1,0.27897072538818685,11.186520219283045,9.124318002677546,5
A3_msancr,random,fixed_prior_swap,2,0.28540939585558694,11.688945917249402,9.402860309939046,5
A3_msancr,shuffled,fixed_prior_swap,0,0.21521603024222627,12.07391071244241,9.826285262431123,5
A3_msancr,shuffled,fixed_prior_swap,1,0.27041961652111396,11.238449246287761,9.120214289481865,5
A3_msancr,shuffled,fixed_prior_swap,2,0.3022169339762658,11.514033842840908,9.244355771348149,5
A3_msancr,unrelated,fixed_prior_swap,0,0.20569446711086345,12.110585384004496,9.901566130922658,5
A3_msancr,unrelated,fixed_prior_swap,1,0.2757553817462791,11.197014794229341,9.128619629070817,5
A3_msancr,unrelated,fixed_prior_swap,2,0.28214188340668894,11.694857286178596,9.496345288184802,5
A4_iso_same_solver,uniform,retuned_base,0,0.22662594217320362,11.242527842876282,9.272272968991036,5
A4_iso_same_solver,uniform,retuned_base,1,0.22248483755553342,11.43426693720279,9.348994332010069,5
A4_iso_same_solver,uniform,retuned_base,2,0.2520766433821402,11.238690677055164,9.212321859249887,5
A4_modality_ridge,none,retuned_base,0,0.22166309703367001,12.103148727674814,9.893612065643158,5
A4_modality_ridge,none,retuned_base,1,0.27842852892463804,11.172737319226467,9.089790550136295,5
A4_modality_ridge,none,retuned_base,2,0.30685865452523775,11.44618959500506,9.249354137751402,5
