model_id,prior_type,seed,n_folds,n_fold_pairs,wm_alignment,rank_stability,top10_jaccard
A4_modality_ridge,none,0,5,10,0.10304693881447628,0.6356621689155422,0.25809990662931837
A4_modality_ridge,none,1,5,10,0.1566507967845679,0.6931572675200861,0.27259570494864616
A4_modality_ridge,none,2,5,10,0.07709132174479247,0.726801983623573,0.26643323996265167
A4_iso_same_solver,uniform,0,5,10,0.1821193998156843,0.6404697651174412,0.3527203188967895
A4_iso_same_solver,uniform,1,5,10,0.16629336699841502,0.6181424672279245,0.29817927170868347
A4_iso_same_solver,uniform,2,5,10,0.1224551791571323,0.6620013070387882,0.3698717948717948
A2_fc_laplacian,matched,0,5,10,-0.10799632477040691,0.6990420174528121,0.25891690009337065
A2_fc_laplacian,matched,1,5,10,0.0033983270274126564,0.6689578287779188,0.21653766769865843
A2_fc_laplacian,matched,2,5,10,-0.1409986425971821,0.7695444585399608,0.32002801120448177
A3_msancr,matched,0,5,10,0.46337193052452996,0.6945158190135702,0.3067930006010501
A3_msancr,matched,1,5,10,0.5841598752083992,0.7538369276900012,0.40860805860805866
A3_msancr,matched,2,5,10,0.35962639969264576,0.8020912620612771,0.421978021978022
A3_msancr,unrelated,0,5,10,0.3255238763759,0.6699850074962519,0.273015873015873
A3_msancr,unrelated,1,5,10,0.4460656212298457,0.7807019567139506,0.2793417366946779
A3_msancr,unrelated,2,5,10,0.22972829192713898,0.7878353131126745,0.37673992673992673
A3_msancr,shuffled,0,5,10,-0.03383401162723546,0.6878360819590206,0.2532323455698069
A3_msancr,shuffled,1,5,10,-0.045939349514785996,0.7768369661323185,0.35272031889678945
A3_msancr,shuffled,2,5,10,-0.08127594947902327,0.8193856917694997,0.3605688429217841
A3_msancr,random,0,5,10,0.07073474988595538,0.6804420866489833,0.3603246426775838
A3_msancr,random,1,5,10,0.11553927205968781,0.7607227155652942,0.4553113553113553
A3_msancr,random,2,5,10,0.03349702561002768,0.7694375888978588,0.44637862137862133
