seed,outer_fold,inner_fold,stage,model_id,prior_type,candidate_id,cache_key,lambda_fc,lambda_sc,lambda_l,gamma,lifting,n_inner_train,n_inner_val,inner_train_indices_hash,inner_val_indices_hash,scaler_fc_mean_hash,scaler_sc_mean_hash,pearson,rmse,mae
0,0,1,C,A2_fc_laplacian,matched,656aa00c51df2142,matched|g=0|lift=prod,0.01,0.1,0.1,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.2627447422708111,12.42291714198385,10.020887336569045
0,0,2,C,A2_fc_laplacian,matched,656aa00c51df2142,matched|g=0|lift=prod,0.01,0.1,0.1,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.294586344381211,11.08613817812431,9.217716385766606
0,0,0,C,A2_fc_laplacian,matched,71a91460a54b2b55,matched|g=0|lift=prod,0.01,10.0,0.1,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.2630248804602468,13.228689832293144,10.783205978071202
0,0,1,C,A2_fc_laplacian,matched,71a91460a54b2b55,matched|g=0|lift=prod,0.01,10.0,0.1,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.2821426709473758,12.661683716387811,10.304727725807776
0,0,2,C,A2_fc_laplacian,matched,71a91460a54b2b55,matched|g=0|lift=prod,0.01,10.0,0.1,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.2913402463884673,11.44962530321412,9.363651279548314
0,0,0,C,A2_fc_laplacian,matched,acff625ea9a9fa12,matched|g=0|lift=prod,0.01,1.0,0.1,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.2687897083590039,13.102239433386483,10.687667221766418
0,0,1,C,A2_fc_laplacian,matched,acff625ea9a9fa12,matched|g=0|lift=prod,0.01,1.0,0.1,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.2844109428911587,12.582517198981591,10.232202252087957
0,0,2,C,A2_fc_laplacian,matched,acff625ea9a9fa12,matched|g=0|lift=prod,0.01,1.0,0.1,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.2934671241129026,11.365975205126784,9.323138314480463
0,0,0,C,A2_fc_laplacian,matched,c42a24a0046a62f4,matched|g=0|lift=prod,0.1,10.0,0.1,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.310189928448364,12.329004679366095,10.082758100787151
0,0,1,C,A2_fc_laplacian,matched,c42a24a0046a62f4,matched|g=0|lift=prod,0.1,10.0,0.1,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.2242561208508422,12.38034660702552,9.947537203348915
