seed,model,pearson
0,A3,0.2281553205528602
0,A4,0.26023753013556855
0,LF0,0.25220092580618975
0,LF1,0.2598190326715494
0,LF2,0.25704623661106313
1,A3,0.29059544009563887
1,A4,0.2628796396366357
1,LF0,0.2676608752939842
1,LF1,0.28631721021381534
1,LF2,0.291685577241127
2,A3,0.3112214908252043
2,A4,0.29988969204479243
2,LF0,0.29230940064872246
2,LF1,0.3081705783702902
2,LF2,0.3031556793176933
