seed,fold,prior_type,pearson,rmse,mae
0,0,unrelated,0.49356254164292723,3.8042675159866417,2.926708202672828
0,0,shuffled,0.48037397156373285,3.8370835907546432,2.9562797565313406
0,0,random,0.4755062531938815,3.850222587403702,2.953570265097941
0,1,unrelated,0.369577871542889,4.718353342401889,4.006847628272224
0,1,shuffled,0.3739641422689386,4.7115887290014875,3.9879963612554916
0,1,random,0.37674453000824953,4.70503789979649,4.0045716829996065
0,2,unrelated,0.3311347383725281,4.885598545955885,4.253081702525055
0,2,shuffled,0.3317837551140122,4.879439134987037,4.256411625070875
0,2,random,0.33199859391259223,4.88110863453584,4.248352659988407
0,3,unrelated,0.21605384115711368,4.722930949721344,4.0337074077519395
0,3,shuffled,0.21605384115711368,4.722930949721344,4.0337074077519395
0,3,random,0.21605384115711368,4.722930949721344,4.0337074077519395
0,4,unrelated,0.4434193515980269,4.615580175445012,3.700583395701274
0,4,shuffled,0.47411103982618735,4.548571055190038,3.650237009285556
0,4,random,0.4494059720028476,4.60248835374716,3.6850953458752223
1,0,unrelated,0.282856736238102,4.427601163469595,3.544627609888697
1,0,shuffled,0.2830611612652625,4.420701948621915,3.547190153598712
1,0,random,0.3014547780017838,4.391146551012339,3.519527259933518
1,1,unrelated,0.40520744126918684,4.253745495969982,3.4781667911096523
1,1,shuffled,0.4213039118473682,4.2113171836522465,3.4376820004816815
1,1,random,0.4121921088096209,4.242209638010806,3.487407406674816
1,2,unrelated,0.4312143539112415,4.822757136814262,4.110577602555032
1,2,shuffled,0.4176871422947227,4.850014501322641,4.146758257517388
1,2,random,0.4198640419509926,4.845388111650926,4.134185719722406
1,3,unrelated,0.2960324435817695,5.0734839246296,4.378244604475254
1,3,shuffled,0.29446336963154784,5.062991835668038,4.392742052737151
1,3,random,0.2786700397152418,5.122215178112131,4.442333118820472
1,4,unrelated,0.32006258782301655,4.648587605287638,3.8495756348965515
1,4,shuffled,0.3140709523594958,4.665654960349273,3.881842681775809
1,4,random,0.31306950507087195,4.672335595812071,3.8858141399114894
2,0,unrelated,0.4553689264780957,4.631274832407511,3.850630569466343
2,0,shuffled,0.4571590020754641,4.626814808626601,3.843215884916894
2,0,random,0.4535555945059514,4.635065510169633,3.8491368567420916
2,1,unrelated,0.3208330651393133,4.51185909207453,3.919356893786421
2,1,shuffled,0.3335994587097516,4.501621165530492,3.9623464863032205
2,1,random,0.3090422730736534,4.547824471734103,3.989058645604713
2,2,unrelated,0.4243303139982426,4.267093388867408,3.4913223140777916
2,2,shuffled,0.4084626761172823,4.3001960922812765,3.530699605196173
2,2,random,0.43001959450787064,4.2529767704421335,3.47270942158141
2,3,unrelated,0.4785486522408755,4.506261616335088,3.7160249024370438
2,3,shuffled,0.4682894978671105,4.533509433350888,3.7285933532602837
2,3,random,0.46477570489178305,4.539103647224449,3.746630514761742
2,4,unrelated,0.35557373296585826,4.547973148678244,3.888016056443997
2,4,shuffled,0.3660984902867518,4.52791330688094,3.866304215793779
2,4,random,0.36636903682789673,4.526488676132486,3.876161479863344
