seed,fold,model,pearson,rmse,mae
0,0,A4,0.08822505025068234,10.833871109545465,8.893457729786059
0,0,A3,0.16551210875852715,11.044477787470038,9.067220712715036
0,0,LF0,0.09401771352847346,11.296111557952448,9.268518752805239
0,0,LF1,0.1586392449156439,10.392518997957916,8.51443974467207
0,0,LF2,0.1447752646132126,10.602999871270097,8.701433302445347
0,1,A4,0.2737125362144133,10.802320455520803,8.690838714550331
0,1,A3,0.10832397018008535,11.125930071649824,8.853639593537421
0,1,LF0,0.267061479723528,10.951706041180113,8.874713119236352
0,1,LF1,0.15914470667481043,10.893251951372774,8.720313744124285
0,1,LF2,0.15914470667481043,10.893251951372774,8.720313744124285
0,2,A4,0.23733595800101404,11.870816087230125,9.056577321047001
0,2,A3,0.22898969349772902,12.467027494477518,9.598865728999009
0,2,LF0,0.21183694630667926,12.25160117595806,9.286976236530528
0,2,LF1,0.25662327199968527,12.02492920345927,9.297094466742244
0,2,LF2,0.25662327199968527,12.02492920345927,9.297094466742244
0,3,A4,0.3858358538050412,10.584174906132617,8.932522967029003
0,3,A3,0.43449899722448293,10.373766810884408,8.724165415239288
0,3,LF0,0.3730347323884084,10.641123400570162,8.988875163007732
0,3,LF1,0.4011506336627636,10.48284692301043,8.952591487990889
0,3,LF2,0.4011506336627636,10.48284692301043,8.952591487990889
0,4,A4,0.31607825240669185,13.068613927152622,10.810687968762535
0,4,A3,0.2034518331034766,13.76152754186327,11.313080421768067
0,4,LF0,0.3150537570838596,13.065160891725363,10.79493519651431
0,4,LF1,0.32353730610484366,12.999273948152348,10.776394754662475
0,4,LF2,0.32353730610484366,12.999273948152348,10.776394754662475
1,0,A4,0.509141728152724,9.648872104838691,8.2522526584182
1,0,A3,0.502628956024868,9.878457405307783,7.983434785121636
1,0,LF0,0.5133941073542583,9.639946319253301,8.198466875427712
1,0,LF1,0.5097750487172903,9.886012943791002,8.07659805480504
1,0,LF2,0.5097750487172903,9.886012943791002,8.07659805480504
1,1,A4,0.0979364921355603,12.420899911423751,10.010215226408576
1,1,A3,0.0716630232716951,12.026929046160157,9.80074190063747
1,1,LF0,0.10460265765410864,12.446066747502318,10.01378388143481
1,1,LF1,0.0571400380337933,12.016668521627473,9.7867601057797
1,1,LF2,0.08764077904487574,12.059487736768602,9.834358190427448
1,2,A4,0.15998479994610393,11.873500868710915,10.011202504754728
1,2,A3,0.23693673681147692,11.562909000664622,9.718897616348805
1,2,LF0,0.15998479994610393,11.873500868710915,10.011202504754728
1,2,LF1,0.20547852385907278,11.460614967109601,9.76063299870133
1,2,LF2,0.20547852385907278,11.460614967109601,9.76063299870133
1,3,A4,0.2632385657583108,11.844944967138595,9.614217953448868
1,3,A3,0.3202662277475239,11.645022145615522,9.407780440804899
1,3,LF0,0.27622619932497045,11.87993832947862,9.692947641012436
1,3,LF1,0.32381073969919877,11.459026503652245,9.288155190381344
1,3,LF2,0.32381073969919877,11.459026503652245,9.288155190381344
1,4,A4,0.28409661219047955,10.648422094055407,8.271327825245347
1,4,A3,0.3214822566226306,10.287465932074793,8.012916063849032
1,4,LF0,0.28409661219047955,10.648422094055407,8.271327825245347
1,4,LF1,0.33538170075972173,10.222135522437148,8.033457719369153
1,4,LF2,0.3317227948851974,10.237804625773492,8.015492569863055
2,0,A4,0.3325803261017728,11.91938413810504,9.663172950156467
2,0,A3,0.3614554814730915,11.860170946284857,9.559098060834964
2,0,LF0,0.33625472458441696,11.94718060704768,9.644722026204109
2,0,LF1,0.36484186451542266,11.6025176569486,9.531517935675009
2,0,LF2,0.3499062151197848,11.785195192358549,9.571639629811525
2,1,A4,0.37986802533798675,10.365204587291261,8.479261876180562
2,1,A3,0.4056388467848737,10.446638489582936,8.408457625508074
2,1,LF0,0.37305052882462836,10.377538680972513,8.536149246819548
2,1,LF1,0.3919278653513373,10.20781684738105,8.450343958618769
2,1,LF2,0.3921939701061982,10.214546374414864,8.44706606744501
2,2,A4,0.2714956718480903,11.510851495725902,9.0531672989888
2,2,A3,0.2373894105850687,12.255704964170278,9.579767120926519
2,2,LF0,0.2747527387595511,11.66070861759317,9.1419419801695
2,2,LF1,0.2541255813468849,11.618533512913551,9.055758076438593
2,2,LF2,0.2541255813468849,11.618533512913551,9.055758076438593
2,3,A4,0.3217508318711204,10.999045187330855,9.235804026336208
2,3,A3,0.31394987515843864,11.244203082063342,9.452489188228991
2,3,LF0,0.27429204345693114,12.110199729884691,9.853876113749525
2,3,LF1,0.3137053528313788,11.246136493944974,9.45220699117358
2,3,LF2,0.30330040220917126,11.436799085135387,9.528757473912155
2,4,A4,0.19375360506499184,11.178589644003177,8.911311901004439
2,4,A3,0.23767384012454876,11.262539763873262,9.165975874085458
2,4,LF0,0.20319696761808456,11.181580623750795,8.94542819906076
2,4,LF1,0.21625222780642733,10.995782936832153,8.836608053961418
2,4,LF2,0.21625222780642733,10.995782936832153,8.836608053961418
