model,pearson_mean,pearson_median,pearson_std,positive_seeds,n_seeds
A4,0.2743356206056656,0.2628796396366357,0.022169869440096107,3,3
A3,0.2766574171579011,0.29059544009563887,0.043251572497288386,3,3
LF0,0.2707237339162988,0.2676608752939842,0.020228896800214665,3,3
LF1,0.2847689404185516,0.28631721021381534,0.02421292727828567,3,3
LF2,0.28396249772329446,0.291685577241127,0.024005304509796915,3,3
