method_id,method_name,method_family,seed,fold,split_id,n_train,n_val,n_test,best_hidden,best_dropout,best_learning_rate,best_epoch,best_val_rmse,parameters,runtime_seconds,device,group_aware,pearson,rmse,mae,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,5,2,seed05_fold02,280,50,82,16,0.5,0.001,28,4.918225288391113,16323,17.449724435806274,cuda,False,0.26071919492814316,4.7214879534342895,3.935284195876703,0.8355851384256563,0.7277350773321272,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,5,2,seed05_fold02,280,50,82,16,0.2,0.001,26,4.891263961791992,16323,18.720346927642822,cuda,False,0.2939913939080058,4.673478439012075,3.9025293675864616,0.7726042327144577,0.7282944125548914,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,5,2,seed05_fold02,280,50,82,16,0.2,0.001,27,4.857336521148682,16323,19.218928337097168,cuda,False,0.3027791033057059,4.66684558093937,3.905633635637237,0.6617384542729376,0.7954099873140352,0.17647058823529413
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,5,3,seed05_fold03,280,50,82,32,0.5,0.003,11,4.861658096313477,35203,18.867353916168213,cuda,False,0.22061036464113762,5.06012362481598,4.2208815202480405,0.8325476228949835,0.7259272259871216,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,5,3,seed05_fold03,280,50,82,16,0.2,0.003,19,4.744185924530029,16323,19.230169534683228,cuda,False,0.21215569055309574,5.322977785719402,4.373086952581638,0.7171673652977176,0.7145157886298341,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,5,3,seed05_fold03,280,50,82,16,0.2,0.003,20,4.738277435302734,16323,19.22368597984314,cuda,False,0.22873437106353392,5.171240192836209,4.2038416978789535,0.5949735387798891,0.7554376657824934,0.1111111111111111
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,5,4,seed05_fold04,280,50,82,16,0.5,0.001,51,3.8479995727539062,16323,29.23283576965332,cuda,False,0.18958004667007178,5.4607710605717275,4.640765190124512,0.8099784152574068,0.7198844079554726,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,5,4,seed05_fold04,280,50,82,16,0.2,0.003,31,3.54567289352417,16323,30.162875652313232,cuda,False,0.26311690198192533,5.305969426786572,4.419484882819943,0.7400322143466114,0.7232254370985909,0.25
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,5,4,seed05_fold04,280,50,82,16,0.2,0.003,28,3.8241164684295654,16323,27.2583966255188,cuda,False,0.3374305614714899,5.104777264113489,4.321139370522848,0.658191748966751,0.8009226156152693,0.17647058823529413
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),prior_gated_gat,6,0,seed06_fold00,279,50,83,16,0.5,0.003,17,4.495144367218018,16323,20.797146797180176,cuda,False,0.32180433359697735,4.543964460253833,3.7644264152251092,0.7527735077999675,0.6975958981412174,0.17647058823529413
M2_SHUFFLED,Shuffled-prior Meta-GAT,prior_gated_gat,6,0,seed06_fold00,279,50,83,16,0.5,0.003,18,4.435909271240234,16323,20.81773090362549,cuda,False,0.366406118441581,4.497710120970389,3.7128112861909064,0.7061677266412992,0.7130225633476334,0.1111111111111111
M2_RANDOM,Random-prior Meta-GAT,prior_gated_gat,6,0,seed06_fold00,279,50,83,16,0.5,0.003,18,4.415072441101074,16323,21.111105918884277,cuda,False,0.3624221409385795,4.4708180457495565,3.617898895079831,0.5680461988496197,0.7441202475685235,0.1111111111111111
