method_id,method_name,seed,pearson,rmse,mae,folds
M2_RANDOM,Random-prior Meta-GAT,0,0.2882408928301015,4.8365415163925665,4.029887810644597,5
M2_RANDOM,Random-prior Meta-GAT,1,0.23468458116097093,4.811398730944314,4.060243566632446,5
M2_RANDOM,Random-prior Meta-GAT,2,0.3207958749019485,4.808635741286494,4.046049331644861,5
M2_RANDOM,Random-prior Meta-GAT,3,0.3488502532716538,4.642790958062443,3.840927288106985,5
M2_RANDOM,Random-prior Meta-GAT,4,0.26738350947339123,4.73893525089086,3.991820371820056,5
M2_RANDOM,Random-prior Meta-GAT,5,0.3123785935214502,4.826286982615277,4.020747718452322,5
M2_RANDOM,Random-prior Meta-GAT,6,0.3037047108230535,4.746494383580765,3.9916042760299155,5
M2_RANDOM,Random-prior Meta-GAT,7,0.3038435086341459,4.752343919658139,3.9644042861416096,5
M2_RANDOM,Random-prior Meta-GAT,8,0.30670794377786087,4.861751678619314,4.003827237200113,5
M2_RANDOM,Random-prior Meta-GAT,9,0.2610855448962722,4.811352278885108,4.067781267297853,5
M2_SHUFFLED,Shuffled-prior Meta-GAT,0,0.2811004107304603,4.917430068388476,4.123553553644854,5
M2_SHUFFLED,Shuffled-prior Meta-GAT,1,0.23318509599090714,4.813700294231287,4.061751619423623,5
M2_SHUFFLED,Shuffled-prior Meta-GAT,2,0.3093767352676515,4.917759965552724,4.164349606609541,5
M2_SHUFFLED,Shuffled-prior Meta-GAT,3,0.33737204810092203,4.677758170908554,3.925980631435685,5
M2_SHUFFLED,Shuffled-prior Meta-GAT,4,0.2486283904008051,4.924699206441244,4.099492541236664,5
M2_SHUFFLED,Shuffled-prior Meta-GAT,5,0.28879058963782483,4.899388749974961,4.077057042039215,5
M2_SHUFFLED,Shuffled-prior Meta-GAT,6,0.3107876336484443,4.734418625434861,3.9846046487828963,5
M2_SHUFFLED,Shuffled-prior Meta-GAT,7,0.30774401996101247,4.789446091953843,4.02832661829659,5
M2_SHUFFLED,Shuffled-prior Meta-GAT,8,0.24302266918228882,4.973905359107699,4.140410048647064,5
M2_SHUFFLED,Shuffled-prior Meta-GAT,9,0.2613579241757745,4.811111396384138,4.060047518124554,5
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),0,0.28732440641460616,4.822934568605787,4.02923647440289,5
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),1,0.23940829648363868,4.802987876681926,4.058430717932348,5
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),2,0.23869200339218472,5.008511759238023,4.149978593416575,5
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),3,0.31402853489077087,4.69237042319075,3.92756516122832,5
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),4,0.24366440015675012,4.787399097664854,4.076851768897205,5
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),5,0.2731582847288373,4.900250153097587,4.128201097745668,5
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),6,0.2929952811027659,4.7490677100664636,4.026092171676012,5
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),7,0.25765737016816165,4.868865749961059,4.0480210901182465,5
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),8,0.2692337925102338,4.831082711663454,4.078816873957892,5
M2_TRUE,Prior-Gated Graph Attention Network (Meta-GAT),9,0.25537482697564773,4.748020725873787,4.019960153603813,5
