model,prior,target,n_splits,pearson_mean,rmse_mean,mae_mean,I_XZ_final_mean,I_ZY_final_mean,probe_r2_final_mean,bypass_alpha_mean,pearson_std,rmse_std,mae_std,I_XZ_final_std,I_ZY_final_std,probe_r2_final_std,bypass_alpha_std
llm_gated,llm_wm,fluid_intelligence,50,0.232371348487344,5.067190330290071,4.151670623362292,2.119356298446655,0.41429069578647615,,0.5003180250525474,0.07904275879044377,0.3617569220172019,0.27920597181717005,0.3225254519577357,0.10209435237467275,,0.002962379133040302
llm_gated,llm_wm,working_memory,50,0.13102721264114442,11.885744720520222,9.693677987139104,2.2684003829956056,0.37026639610528944,,0.5003095069527626,0.09044256321620775,0.8213190931130061,0.7693621202165514,0.30191620047523965,0.08330263877497884,,0.001623282603522568
llm_gated,llm_fluid,fluid_intelligence,50,0.23995859502261044,5.056357193748115,4.143162399410255,2.1520649862289427,0.41386894524097445,,0.501163783967495,0.08119261669325187,0.3662664921703937,0.2919257112385552,0.34298715323164936,0.09701515533424884,,0.0025664619956693242
llm_gated,llm_fluid,working_memory,50,0.1324528661465502,11.89117378135267,9.68844446895755,2.26644681930542,0.37306688249111175,,0.49988739341497423,0.08762835497686754,0.8668127880618453,0.7987507764251105,0.3401200744090702,0.067136220383858,,0.0021038308994090604
llm_gated,random_control,fluid_intelligence,50,0.2329896800009484,5.065846408949318,4.165238447923573,2.1302500677108767,0.4107740437984467,,0.5019907003641129,0.07686168334189995,0.35291328789790066,0.2780683462853857,0.3342955944542578,0.10389799047203528,,0.0029730501916612135
llm_gated,random_control,working_memory,50,0.13293337246311532,11.871858388253605,9.683080224772588,2.261691653728485,0.38382432341575623,,0.4999072957038879,0.09057436625453853,0.8143342298942721,0.7521533881433599,0.34433525940069126,0.08639697268630997,,0.0016282447626124448
llm_gated,no_prior,fluid_intelligence,50,0.2403706538838293,5.064886747203059,4.162526765706222,2.11789874792099,0.41273649752140046,,0.5000868472456932,0.08196511997219254,0.3829956152748484,0.30413625641103376,0.29104500230088226,0.11156404995590315,,0.0017586181978735944
llm_gated,no_prior,working_memory,50,0.13438608242525096,11.843623646364309,9.668285736926064,2.1952051377296447,0.37106259882450104,,0.5001157057285309,0.08672882671846892,0.799948488499189,0.7740141574485322,0.3147139545414813,0.07599906004233821,,0.0014641033449284335
ncr,llm_wm,fluid_intelligence,50,0.3416213360588525,4.665248454234385,3.9185923575271886,0.24476555824279786,1.121462671905756,,30.67,0.08795163007784272,0.24963699174150591,0.2503247051186067,0.11143017865502734,0.6697395101609995,,143.09072368284967
ncr,llm_wm,working_memory,50,0.22090143551397393,11.395043994976188,9.298075712702978,0.3573349753022194,0.8654748256504535,,6.8726,0.1004980490149548,0.7449156004193199,0.6533956979686426,0.20208234202187392,0.7400275970424541,,23.89502072715193
ncr,llm_fluid,fluid_intelligence,50,0.3415343944085121,4.660687180850096,3.916042814535225,0.24773289114236832,1.1041754652559757,,26.96,0.08317283549056534,0.2531240396184103,0.2492944928537976,0.11078100561955662,0.6700525402707461,,142.43418960118717
ncr,llm_fluid,working_memory,50,0.21983542259388827,11.40291599504704,9.293477268573502,0.3627937594056129,0.816107683032751,,26.0928,0.09858607113115753,0.7223544142236038,0.6516877322701791,0.20116757600619645,0.7075790854100059,,141.55943078813658
ncr,random_control,fluid_intelligence,50,0.34236883222930176,4.670343068470336,3.917498213720908,0.24546742290258408,1.1636996318399906,,23.57,0.08427283725114297,0.2567956534425658,0.246914286625705,0.11119844364781363,0.7076355576922125,,141.7782837203705
ncr,random_control,working_memory,50,0.22357945455207281,11.333235524870945,9.24489532242407,0.3442757326364517,0.8449553248286247,,8.780800000000001,0.0991894051334805,0.7267188490329598,0.6270075146557736,0.19515826657243301,0.6667854855835703,,23.764953603049637
ncr,no_prior,fluid_intelligence,50,0.3471019430096806,4.650470813788089,3.908465890909377,0.24473796278238297,1.136682491451502,,0.0,0.08454447495475155,0.2480186434652458,0.24786248227113208,0.11145340885825972,0.6827142289956876,,0.0
ncr,no_prior,working_memory,50,0.22315901033820404,11.351638661281664,9.267627652685304,0.36583799958229063,0.8198613016307355,,0.0,0.1029046596260371,0.7569310547912061,0.6620853073473887,0.19918436693928185,0.7057306226579549,,0.0
