experiment_id,experiment_name,prior_type,prior_source,seed,fold,split_id,n_train,n_val,n_test,best_epoch,best_val_metric,runtime_seconds,target_train_mean,target_train_std,group_aware,pearson,rmse,mae,alignment_module_pearson,alignment_module_spearman,alignment_module_topk_jaccard,reference_alignment_node_pearson,reference_alignment_node_spearman,reference_alignment_node_topk_jaccard,reference_alignment_module_pearson,reference_alignment_module_spearman,reference_alignment_module_topk_jaccard,reference_alignment_edge_diagonal_pearson,reference_alignment_edge_diagonal_spearman,reference_alignment_edge_diagonal_topk_jaccard
E5,module_shuffled,module,shuffled_working_memory,0,0,seed00_fold00,279,50,83,2,4.935159683227539,39.49705386161804,16.845878136200717,4.8357883123268195,False,-0.15625709295272827,5.118834495544434,4.444326877593994,0.8223909735679626,0.8571428571428572,0.5,-0.3739534616470337,-0.35828916863188853,0.0,-0.5299181938171387,-0.5000000000000001,0.0,-0.3791239559650421,-0.35828916863188853,0.0
E5,module_shuffled,module,shuffled_working_memory,0,1,seed00_fold01,279,50,83,41,4.293098449707031,69.31818199157715,16.842293906810035,4.845668698152689,False,0.16131317615509033,5.153376579284668,4.310941696166992,0.9935250878334045,0.9523809523809524,0.5,-0.2720612585544586,-0.2595415314915636,0.0,-0.6822100877761841,-0.6904761904761906,0.0,-0.26476040482521057,-0.2595415314915636,0.0
E5,module_shuffled,module,shuffled_working_memory,0,2,seed00_fold02,280,50,82,20,4.828356742858887,46.46571922302246,16.917857142857144,4.921204380130987,False,0.08326404541730881,4.863975524902344,4.02357816696167,0.9349942207336426,0.9761904761904763,1.0,-0.3740997910499573,-0.3635978591836595,0.0,-0.6275659203529358,-0.5476190476190477,0.2,-0.3834444582462311,-0.3635978591836595,0.0
E5,module_shuffled,module,shuffled_working_memory,0,3,seed00_fold03,280,50,82,33,4.307849884033203,66.46698522567749,16.90714285714286,4.856360231065809,False,0.17765191197395325,5.162762641906738,4.19175910949707,0.9866200685501099,1.0,1.0,-0.30705204606056213,-0.2873335003726595,0.0,-0.6702620983123779,-0.523809523809524,0.2,-0.31963488459587097,-0.2873335003726595,0.0
E5,module_shuffled,module,shuffled_working_memory,0,4,seed00_fold04,280,50,82,29,4.899129867553711,58.99947929382324,16.8,5.010275156401806,False,0.2227403223514557,4.339461326599121,3.595126152038574,0.9546180963516235,0.9285714285714287,0.5,-0.4512786865234375,-0.446539282216407,0.0,-0.7117738723754883,-0.7142857142857144,0.0,-0.4571782350540161,-0.446539282216407,0.0
E5,module_shuffled,module,shuffled_working_memory,1,0,seed01_fold00,279,50,83,11,5.047031402587891,38.2626166343689,16.93548387096774,4.762020711139765,False,0.11010202765464783,5.179075241088867,4.503091335296631,0.9656970500946045,0.9523809523809524,1.0,-0.35103559494018555,-0.35162209253911897,0.0,-0.6334837675094604,-0.5714285714285715,0.2,-0.35815000534057617,-0.35162209253911897,0.0
E5,module_shuffled,module,shuffled_working_memory,1,1,seed01_fold01,279,50,83,33,3.8817596435546875,64.78565430641174,16.620071684587813,4.945483294156645,False,0.04810803011059761,5.664541244506836,5.087690353393555,0.9851982593536377,1.0,1.0,-0.29648807644844055,-0.2880526456590706,0.0,-0.585105299949646,-0.523809523809524,0.2,-0.2949405908584595,-0.2880526456590706,0.0
E5,module_shuffled,module,shuffled_working_memory,1,2,seed01_fold02,280,50,82,2,5.047891616821289,37.92597246170044,16.932142857142857,4.8740239734615125,False,0.08585962653160095,4.867589473724365,4.06420373916626,0.7403112649917603,0.6904761904761906,0.5,-0.4819861948490143,-0.46140661220005874,0.0,-0.5646040439605713,-0.5476190476190477,0.0,-0.4811916649341583,-0.46140661220005874,0.0
E5,module_shuffled,module,shuffled_working_memory,1,3,seed01_fold03,280,50,82,28,4.690303325653076,58.57686924934387,17.017857142857142,4.8531693305530155,False,0.13653387129306793,5.173435688018799,4.192351818084717,0.9830809235572815,1.0,1.0,-0.2500471770763397,-0.2289528864966468,0.0,-0.6069942712783813,-0.523809523809524,0.2,-0.25333595275878906,-0.2289528864966468,0.0
E5,module_shuffled,module,shuffled_working_memory,1,4,seed01_fold04,280,50,82,13,4.903352737426758,37.052905321121216,16.867857142857144,4.953393755182153,False,0.009409451857209206,4.689469814300537,3.907367706298828,0.9304735064506531,0.7857142857142858,0.5,-0.37991809844970703,-0.3832944495281414,0.0,-0.6164161562919617,-0.523809523809524,0.2,-0.3845975697040558,-0.3832944495281414,0.0
E5,module_shuffled,module,shuffled_working_memory,2,0,seed02_fold00,279,50,83,31,4.665802001953125,57.37149477005005,16.82078853046595,4.928535674452275,False,0.2058355063199997,4.91445255279541,3.811429738998413,0.9729774594306946,0.9285714285714287,0.5,-0.3471453785896301,-0.35876859882282935,0.0,-0.7096619606018066,-0.7142857142857144,0.0,-0.3477739989757538,-0.35876859882282935,0.0
E5,module_shuffled,module,shuffled_working_memory,2,1,seed02_fold01,279,50,83,26,4.541788578033447,53.292951822280884,16.85663082437276,4.911498188445885,False,0.14344064891338348,5.125715255737305,4.21513557434082,0.9623029232025146,0.9523809523809524,0.5,-0.42237144708633423,-0.40817487881217,0.0,-0.7136444449424744,-0.6904761904761906,0.0,-0.4296007454395294,-0.40817487881217,0.0
E5,module_shuffled,module,shuffled_working_memory,2,2,seed02_fold02,280,50,82,15,4.5759477615356445,41.49509072303772,16.985714285714284,4.787611564214031,False,0.06930496543645859,5.355916976928711,4.598627090454102,0.9733943939208984,0.9761904761904763,0.5,-0.30508315563201904,-0.27282074896772424,0.0,-0.6714092493057251,-0.6666666666666669,0.0,-0.3237999379634857,-0.27282074896772424,0.0
E5,module_shuffled,module,shuffled_working_memory,2,3,seed02_fold03,280,50,82,19,4.538519859313965,46.98652982711792,16.760714285714286,4.9774376142832395,False,0.07312608510255814,4.96051549911499,4.051112651824951,0.9858225584030151,0.9047619047619048,0.5,-0.3526405990123749,-0.3147459203525939,0.0,-0.6256740689277649,-0.4523809523809524,0.2,-0.36537793278694153,-0.3147459203525939,0.0
E5,module_shuffled,module,shuffled_working_memory,2,4,seed02_fold04,280,50,82,2,4.938667297363281,37.46741056442261,16.892857142857142,4.926164008306533,False,0.060839783400297165,4.763625621795654,4.017100811004639,0.7912569046020508,0.8333333333333335,0.5,-0.4666287899017334,-0.4388833813548221,0.0,-0.5629538297653198,-0.4047619047619048,0.0,-0.4660942554473877,-0.4388833813548221,0.0
E5,module_shuffled,module,shuffled_working_memory,3,0,seed03_fold00,279,50,83,8,5.0950775146484375,36.767707109451294,16.863799283154123,4.829280604484002,False,0.11424097418785095,4.9609222412109375,4.194706439971924,0.9493772983551025,0.9523809523809524,1.0,-0.46255388855934143,-0.4501999314868191,0.0,-0.6493024230003357,-0.5714285714285715,0.2,-0.4682125151157379,-0.4501999314868191,0.0
E5,module_shuffled,module,shuffled_working_memory,3,1,seed03_fold01,279,50,83,44,4.499240398406982,72.6665141582489,16.878136200716845,4.925923173060801,False,0.0756320059299469,5.384490966796875,4.3570427894592285,0.981499195098877,0.9523809523809524,0.5,-0.20290546119213104,-0.20900659292771656,0.0,-0.7421759963035583,-0.6904761904761906,0.0,-0.20222023129463196,-0.20900659292771656,0.0
E5,module_shuffled,module,shuffled_working_memory,3,2,seed03_fold02,280,50,82,13,4.6964311599731445,37.226423263549805,16.92142857142857,4.903450471924056,False,0.10089880973100662,4.95990514755249,4.200782299041748,0.9167189598083496,0.8571428571428572,0.5,-0.5599918365478516,-0.5346295857372784,0.0,-0.7470157742500305,-0.7380952380952381,0.0,-0.5628644824028015,-0.5346295857372784,0.0
E5,module_shuffled,module,shuffled_working_memory,3,3,seed03_fold03,280,50,82,28,5.161234378814697,55.81828761100769,16.939285714285713,4.768935137631752,False,0.38396820425987244,4.929627895355225,4.182870864868164,0.9488927125930786,0.8571428571428572,0.5,-0.4558229446411133,-0.4365711294964308,0.0,-0.6486597061157227,-0.7380952380952381,0.0,-0.4731937646865845,-0.4365711294964308,0.0
E5,module_shuffled,module,shuffled_working_memory,3,4,seed03_fold04,280,50,82,23,4.608120441436768,51.424513816833496,16.742857142857144,5.023333310762925,False,0.15653465688228607,4.656804084777832,3.7534284591674805,0.9806506633758545,1.0,1.0,-0.3121033012866974,-0.30430333150616595,0.0,-0.6166466474533081,-0.523809523809524,0.2,-0.31549572944641113,-0.30430333150616595,0.0
E5,module_shuffled,module,shuffled_working_memory,4,0,seed04_fold00,279,50,83,53,4.434042453765869,121.35599303245544,16.767025089605735,4.9404542587220295,False,0.05283520743250847,5.282138347625732,4.448646068572998,0.9913885593414307,1.0,1.0,-0.12621308863162994,-0.140617873815816,0.0,-0.5809015035629272,-0.523809523809524,0.2,-0.1266239732503891,-0.140617873815816,0.0
E5,module_shuffled,module,shuffled_working_memory,4,1,seed04_fold01,279,50,83,70,4.514500141143799,181.4395875930786,16.835125448028673,4.921759079786406,False,0.2431349903345108,4.928470134735107,4.116256237030029,0.9955183267593384,0.9761904761904763,0.5,-0.18179349601268768,-0.17813828032141762,0.0,-0.6303768157958984,-0.6666666666666669,0.0,-0.1902279108762741,-0.17813828032141762,0.0
E5,module_shuffled,module,shuffled_working_memory,4,2,seed04_fold02,280,50,82,24,4.373040676116943,85.60810208320618,16.78214285714286,4.843888164586422,False,0.14569005370140076,5.305061340332031,4.300526142120361,0.9860174655914307,0.9523809523809524,0.5,-0.23588314652442932,-0.2116933996227803,0.0,-0.6701537370681763,-0.6904761904761906,0.0,-0.2548278868198395,-0.2116933996227803,0.0
E5,module_shuffled,module,shuffled_working_memory,4,3,seed04_fold03,280,50,82,20,4.889235973358154,71.09683036804199,16.989285714285714,4.849509495499392,False,0.17114686965942383,4.919486999511719,4.149830341339111,0.9865788221359253,0.9761904761904763,0.5,-0.3088357746601105,-0.29869499708505715,0.0,-0.6757962703704834,-0.6666666666666669,0.0,-0.31138673424720764,-0.29869499708505715,0.0
E5,module_shuffled,module,shuffled_working_memory,4,4,seed04_fold04,280,50,82,40,4.638980865478516,109.00112438201904,16.90714285714286,4.945988892269066,False,0.09701210260391235,4.758385181427002,3.8954427242279053,0.9814605712890625,0.9761904761904763,1.0,-0.32513973116874695,-0.3250936219737315,0.0,-0.6416135430335999,-0.5476190476190477,0.2,-0.3253944218158722,-0.3250936219737315,0.0
E5,module_shuffled,module,shuffled_working_memory,5,0,seed05_fold00,279,50,83,20,4.871266841888428,69.14916014671326,16.97132616487455,4.901089999941164,False,0.2081393599510193,4.688610553741455,3.794879913330078,0.9909696578979492,0.9761904761904763,1.0,-0.1701865941286087,-0.1768797760701982,0.0,-0.547552227973938,-0.4047619047619048,0.2,-0.1670333296060562,-0.1768797760701982,0.0
E5,module_shuffled,module,shuffled_working_memory,5,1,seed05_fold01,279,50,83,25,4.838494777679443,54.651488304138184,16.74910394265233,4.846917239231855,False,0.24205341935157776,4.873885154724121,4.2898969650268555,0.9812664985656738,0.9761904761904763,0.5,-0.3252302408218384,-0.31412166229147315,0.0,-0.6640894412994385,-0.6666666666666669,0.0,-0.3290049731731415,-0.31412166229147315,0.0
E5,module_shuffled,module,shuffled_working_memory,5,2,seed05_fold02,280,50,82,15,4.987258434295654,43.380104064941406,17.05,4.881927312620937,False,0.059912268072366714,4.87236213684082,4.025553226470947,0.9807837009429932,1.0,1.0,-0.1596263200044632,-0.15789733694763838,0.0,-0.581166684627533,-0.523809523809524,0.2,-0.17114324867725372,-0.15789733694763838,0.0
E5,module_shuffled,module,shuffled_working_memory,5,3,seed05_fold03,280,50,82,9,4.992249488830566,36.51736831665039,16.764285714285716,4.896224076171518,False,0.05951019003987312,4.787416458129883,4.035304069519043,0.8626388311386108,0.7619047619047621,0.5,-0.5513054132461548,-0.5543411582752273,0.0,-0.7563846111297607,-0.7142857142857144,0.0,-0.5551983118057251,-0.5543411582752273,0.0
E5,module_shuffled,module,shuffled_working_memory,5,4,seed05_fold04,280,50,82,39,3.9352164268493652,72.21376609802246,16.764285714285716,4.859615967022371,False,0.08489550650119781,5.630524635314941,4.513319969177246,0.9944520592689514,0.9285714285714287,0.5,-0.3328343629837036,-0.32764558892759316,0.0,-0.6846219897270203,-0.6904761904761906,0.0,-0.3339535593986511,-0.32764558892759316,0.0
E5,module_shuffled,module,shuffled_working_memory,6,0,seed06_fold00,279,50,83,9,4.86871337890625,34.09483337402344,16.91756272401434,4.936552256539939,False,0.08676853030920029,4.756738185882568,3.913536310195923,0.8319187760353088,0.8571428571428572,0.5,-0.495000958442688,-0.49180548274439484,0.0,-0.5607630014419556,-0.5000000000000001,0.0,-0.49500858783721924,-0.49180548274439484,0.0
E5,module_shuffled,module,shuffled_working_memory,6,1,seed06_fold01,279,50,83,3,4.8754191398620605,34.37668824195862,16.96415770609319,4.854012705412339,False,0.15240120887756348,5.039034843444824,4.295871257781982,0.7772825956344604,0.8095238095238096,0.5,-0.4958721995353699,-0.4865417387730247,0.0,-0.5764232277870178,-0.5476190476190477,0.0,-0.4924190938472748,-0.4865417387730247,0.0
E5,module_shuffled,module,shuffled_working_memory,6,2,seed06_fold02,280,50,82,8,4.8664984703063965,34.00463271141052,16.978571428571428,4.837307186475398,False,0.231467142701149,4.971807956695557,4.214976787567139,0.9081979990005493,0.9285714285714287,1.0,-0.3653225004673004,-0.3690264072831655,0.0,-0.5792397260665894,-0.4523809523809524,0.2,-0.37468940019607544,-0.3690264072831655,0.0
E5,module_shuffled,module,shuffled_working_memory,6,3,seed06_fold03,280,50,82,19,4.451605319976807,44.66949439048767,16.857142857142858,4.999387717613069,False,0.030792858451604843,4.810250282287598,4.0652642250061035,0.9764779806137085,0.9761904761904763,1.0,-0.2278621792793274,-0.22543207103192578,0.0,-0.5665255784988403,-0.4047619047619048,0.2,-0.2246021181344986,-0.22543207103192578,0.0
E5,module_shuffled,module,shuffled_working_memory,6,4,seed06_fold04,280,50,82,47,4.568724632263184,79.5107581615448,16.714285714285715,4.8818698324744885,False,0.2991853654384613,4.80708122253418,3.9049975872039795,0.9837547540664673,0.9523809523809524,0.5,-0.23964320123195648,-0.21917450822725137,0.0,-0.686111569404602,-0.6904761904761906,0.0,-0.2598685920238495,-0.21917450822725137,0.0
E5,module_shuffled,module,shuffled_working_memory,7,0,seed07_fold00,279,50,83,12,4.493727207183838,39.2022430896759,16.96057347670251,4.941437077204398,False,0.21066811680793762,4.958511829376221,4.07389497756958,0.947136402130127,0.880952380952381,0.5,-0.46753838658332825,-0.46598616933644066,0.0,-0.6584510207176208,-0.7380952380952381,0.0,-0.46118977665901184,-0.46598616933644066,0.0
E5,module_shuffled,module,shuffled_working_memory,7,1,seed07_fold01,279,50,83,30,4.53304386138916,55.095717430114746,16.870967741935484,4.956207808160297,False,0.08544646203517914,4.8692827224731445,3.851116895675659,0.9836795926094055,0.9523809523809524,0.5,-0.25585103034973145,-0.26488518049475723,0.0,-0.640701949596405,-0.6904761904761906,0.0,-0.2699592411518097,-0.26488518049475723,0.0
E5,module_shuffled,module,shuffled_working_memory,7,2,seed07_fold02,280,50,82,6,4.904677391052246,34.34618830680847,16.87142857142857,4.785906179521667,False,-0.00864551030099392,5.251128673553467,4.53295373916626,0.9823582172393799,1.0,1.0,-0.35949790477752686,-0.3517968847962328,0.0,-0.6386901140213013,-0.523809523809524,0.2,-0.36496901512145996,-0.3517968847962328,0.0
E5,module_shuffled,module,shuffled_working_memory,7,3,seed07_fold03,280,50,82,10,4.688418865203857,35.104942321777344,16.742857142857144,4.905349017102844,False,0.15440954267978668,4.873159408569336,4.239969253540039,0.8989379405975342,0.8095238095238096,0.5,-0.5120230317115784,-0.5219796203867276,0.0,-0.6728098392486572,-0.6666666666666669,0.0,-0.5107532143592834,-0.5219796203867276,0.0
E5,module_shuffled,module,shuffled_working_memory,7,4,seed07_fold04,280,50,82,41,4.622076034545898,70.75961756706238,16.90357142857143,4.995854148538505,False,0.010527215898036957,4.947620391845703,4.090054035186768,0.9331085681915283,0.9523809523809524,1.0,-0.12716414034366608,-0.10588415529505738,0.0,-0.4215361475944519,-0.4285714285714286,0.2,-0.1322910636663437,-0.10588415529505738,0.0
E5,module_shuffled,module,shuffled_working_memory,8,0,seed08_fold00,279,50,83,55,4.494595527648926,88.0140688419342,16.7168458781362,4.991257885993287,False,0.048614177852869034,5.355877876281738,4.111766815185547,0.9805054664611816,1.0,1.0,-0.41104546189308167,-0.39035605671553936,0.0,-0.6770584583282471,-0.523809523809524,0.2,-0.4207775294780731,-0.39035605671553936,0.0
