experiment_id,experiment_name,seed,fold,split_id,n_train,n_val,n_test,best_epoch,best_val_metric,topk,mask_mode,random_repeats,runtime_seconds,original_pearson,top_pearson,bottom_pearson,random_pearson_mean,random_pearson_std,prior_top_pearson,delta_pearson_top,delta_pearson_bottom,delta_pearson_random,delta_pearson_prior_top,gap_pearson_top_vs_random,gap_pearson_top_vs_bottom,original_rmse,top_rmse,bottom_rmse,random_rmse_mean,random_rmse_std,prior_top_rmse,delta_rmse_top,delta_rmse_bottom,delta_rmse_random,delta_rmse_prior_top,gap_rmse_top_vs_random,gap_rmse_top_vs_bottom,original_mae,top_mae,bottom_mae,random_mae_mean,random_mae_std,prior_top_mae,delta_mae_top,delta_mae_bottom,delta_mae_random,delta_mae_prior_top,gap_mae_top_vs_random,gap_mae_top_vs_bottom
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),0,0,seed00_fold00,279,50,83,-1,,10,both,20,1.9996912479400637,0.3793097227171055,0.2990142954482352,0.3604749456068763,0.3515681955138575,0.0299830608423359,0.3632228506021454,0.0802954272688703,0.0188347771102292,0.027741527203248,0.0160868721149601,0.0525539000656223,0.061460650158641106,4.752383476901924,5.041145245771014,4.870119471779321,5.027921727667014,0.1924145080304534,5.127517041171633,0.2887617688690902,0.117735994877397,0.2755382507650896,0.3751335642697091,0.013223518104000631,0.17102577399169322,3.96464750371539,4.376888525520956,4.203491178044124,4.33614317514551,0.1954487820598312,4.478422397711675,0.4122410218055656,0.2388436743287338,0.3714956714301203,0.5137748939962852,0.0407453503754453,0.1733973474768318
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),0,1,seed00_fold01,279,50,83,-1,,10,both,20,2.055305957794189,0.4710801991475036,0.3906882264270075,0.3479409207728583,0.4603185118751775,0.0489465575061616,0.5023421039672307,0.080391972720496,0.1231392783746452,0.010761687272326,-0.031261904819727,0.06963028544817,-0.04274730565414919,4.571136707066965,5.197117858022787,8.118737660796524,5.184855712330141,0.764551474889726,4.869341208476887,0.6259811509558215,3.5476009537295594,0.6137190052631762,0.2982045014099217,0.012262145692645277,-2.921619802773738,3.809169485396776,4.5234178453579,7.043798879092649,4.321780906227537,0.6460545670336056,3.806448827367815,0.7142483599611231,3.2346293936958728,0.5126114208307606,-0.0027206580289611,0.2016369391303625,-2.5203810337347496
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),0,2,seed00_fold02,280,50,82,-1,,10,both,20,1.9416542053222656,0.231095638729827,0.2063061995711136,0.1875287259309951,0.2129126309533195,0.0534112633340629,0.1885232732473441,0.0247894391587134,0.0435669127988319,0.0181830077765074,0.0425723654824829,0.006606431382205999,-0.018777473640118503,4.6005452899496,4.704321190753038,4.721566736657479,4.718332537744432,0.0083433163087731,4.71149493506607,0.1037759008034377,0.1210214467078794,0.1177872477948325,0.1109496451164702,-0.014011346991394807,-0.017245545904441703,3.9135897619542734,4.119601080946253,4.118599878987423,4.122815662918436,0.0048676691718522,4.110534932142782,0.2060113189919783,0.2050101170331486,0.2092259009641615,0.1969451701885076,-0.003214581972183189,0.0010012019588297172
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),0,3,seed00_fold03,280,50,82,-1,,10,both,20,1.72194242477417,0.4465335081559687,0.2331295893586865,0.429705433593494,0.3624599856496038,0.0674017409512511,0.3969300900182093,0.2134039187972822,0.0168280745624747,0.0840735225063649,0.0496034181377593,0.1293303962909173,0.1965758442348075,4.64398128047425,5.878990952631042,4.912133480923539,5.435578520647572,0.6038234359199817,5.2039521605708,1.2350096721567922,0.2681522004492889,0.7915972401733216,0.5599708800965493,0.4434124319834707,0.9668574717075034,3.7375759233525896,5.378456680910402,4.351411347811994,4.581797653855134,0.7456486630739636,4.69324752129003,1.6408807575578122,0.6138354244594044,0.8442217305025448,0.9556715979374406,0.7966590270552674,1.0270453330984077
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),0,4,seed00_fold04,280,50,82,-1,,10,both,20,1.8333439826965328,0.2768460479817857,0.276521086275649,0.2825799331999804,0.2627676160158828,0.0363279681538755,0.2599110336555101,0.0003249617061367,-0.0057338852181947,0.0140784319659028,0.0169350143262755,-0.0137534702597661,0.0060588469243314,4.366841059277763,4.44286023668514,4.477955194776712,4.582959987175675,0.2948487542847473,4.260869665354038,0.0760191774073764,0.1111141354989486,0.2161189278979121,-0.105971393923725,-0.1400997504905357,-0.03509495809157219,3.705291895902439,3.886697554757312,3.958958202680433,4.021499733863638,0.3464378608178013,3.681231469596359,0.1814056588548731,0.253666306777994,0.316207837961199,-0.0240604263060797,-0.13480217910632591,-0.07226064792312092
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),1,0,seed01_fold00,279,50,83,-1,,10,both,20,2.190220355987549,0.4399015743734898,0.3885432108262432,0.460070948180495,0.4178958286075301,0.0356541883776926,0.4330481041329429,0.0513583635472465,-0.0201693738070052,0.0220057457659596,0.0068534702405468,0.0293526177812869,0.0715277373542517,4.659893701274277,6.619172152355645,4.919124619849125,6.742519642576257,2.054344379291808,4.928148882732794,1.959278451081368,0.2592309185748478,2.08262594130198,0.2682551814585165,-0.12334749022061198,1.7000475325065203,3.714074183159749,5.7978306440927945,4.344728045040901,5.829487448214372,1.91501966435388,4.332466060894713,2.0837564609330457,0.6306538618811519,2.115413265054623,0.6183918777349646,-0.03165680412157723,1.4531025990518938
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),1,1,seed01_fold01,279,50,83,-1,,10,both,20,1.6817388534545898,0.2556199790354675,0.2014038376396443,0.3318827326342801,0.2417759617546385,0.0556092785936767,0.2306888663238845,0.0542161413958232,-0.0762627535988126,0.0138440172808289,0.024931112711583,0.0403721241149943,0.1304788949946358,4.685995849926928,4.8061634493237255,4.63561026090624,4.788608565893325,0.1951347183960731,4.696578350481585,0.1201675993967974,-0.0503855890206885,0.1026127159663969,0.0105825005546567,0.0175548834304005,0.1705531884174859,4.006323958371316,4.2494602141954125,3.972966746000615,4.191127933751595,0.3231006111951556,4.07796972079889,0.2431362558240968,-0.0333572123707006,0.1848039753802792,0.0716457624275745,0.05833228044381758,0.27649346819479736
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),1,2,seed01_fold02,280,50,82,-1,,10,both,20,1.6123826503753662,0.3105744439652852,0.342853727925888,0.2608351812492172,0.2967351181355991,0.0257544174678605,0.2667192628792639,-0.0322792839606027,0.049739262716068,0.0138393258296861,0.0438551810860212,-0.0461186097902888,-0.0820185466766707,4.641932115322724,4.822584705020522,4.984869558660954,5.11732738041084,0.4190825492233811,4.804408216694927,0.1806525896977984,0.3429374433382302,0.4753952650881166,0.1624761013722038,-0.2947426753903182,-0.16228485364043177,3.898642798158472,4.218382889887097,4.352529778209515,4.363264557145497,0.3654279910734594,4.1612822885011695,0.3197400917286255,0.4538869800510432,0.4646217589870249,0.2626394903426976,-0.1448816672583994,-0.13414688832241772
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),1,3,seed01_fold03,280,50,82,-1,,10,both,20,1.7925443649291992,0.3667469528217568,0.3771763439652118,0.371557856170907,0.347711020358547,0.0358644920558932,0.3047905733790754,-0.0104293911434549,-0.0048109033491501,0.0190359324632098,0.0619563794426814,-0.0294653236066647,-0.0056184877943048,4.775942548600976,6.794178714004911,4.81795104977299,5.980009350673496,1.3096560640054933,4.825278072732381,2.018236165403935,0.0420085011720141,1.2040668020725205,0.049335524131405,0.8141693633314144,1.9762276642319208,3.9497158942210486,5.812357017668326,4.128905980058185,5.099950153512765,1.16836898427952,4.122121361663384,1.8626411234472773,0.1791900858371367,1.1502342592917163,0.1724054674423349,0.712406864155561,1.6834510376101406
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),1,4,seed01_fold04,280,50,82,-1,,10,both,20,1.8294978141784668,0.1834778626032904,0.1618257307044961,0.183479702042753,0.1902915241305839,0.0299077215945747,0.2397204175473255,0.0216521318987942,-1.8394394625254047e-06,-0.0068136615272934,-0.056242554944035,0.0284657934260876,0.021653971338256726,4.62535636646525,6.726696567839393,5.09787590516792,5.154109054843087,0.6120897962249662,4.671067564092253,2.1013402013741427,0.4725195387026701,0.5287526883778364,0.0457111976270026,1.5725875129963063,1.6288206626714725,3.955059354505445,5.760044395476547,4.011857948111006,4.426614242909512,0.5391917307695542,4.101180268317053,1.8049850409711028,0.0567985936055612,0.4715548884040674,0.1461209138116088,1.3334301525670353,1.7481864473655415
