target,seed,fold,prior_type,selected_variant,selected_alpha,selected_eta,inner_pearson
fluid_intelligence,3,1,unrelated,topk_0.05,1000000.0,0.0,0.28851523771326176
fluid_intelligence,3,1,shuffled,topk_0.05,1000000.0,0.0,0.28851523771326176
fluid_intelligence,3,1,random,pca_32,100.0,0.0,0.29107068317851675
fluid_intelligence,3,2,matched,weighted_2.0,10000.0,0.0,0.2532697011310501
fluid_intelligence,3,2,unrelated,pca_16,0.01,0.0,0.2531571083013507
fluid_intelligence,3,2,shuffled,topk_0.05,1000000.0,0.0,0.2531412157906196
fluid_intelligence,3,2,random,pca_16,0.01,0.0,0.2536238276174727
fluid_intelligence,3,3,matched,topk_0.05,1000000.0,0.0,0.20808223363423076
fluid_intelligence,3,3,unrelated,pca_32,1000000.0,0.0,0.21049925194245203
fluid_intelligence,3,3,shuffled,pca_64,10000.0,0.0,0.212028321522578
fluid_intelligence,3,3,random,topk_0.05,1000000.0,0.0,0.20808223363423076
fluid_intelligence,3,4,matched,topk_0.05,1000000.0,0.0,0.3708413287478217
fluid_intelligence,3,4,unrelated,topk_0.05,1000000.0,0.0,0.3708413287478217
fluid_intelligence,3,4,shuffled,topk_0.05,1000000.0,0.0,0.3708413287478217
fluid_intelligence,3,4,random,pca_32,1000000.0,0.0,0.37132410521466924
fluid_intelligence,4,0,matched,topk_0.05,10000.0,0.0,0.31484221351801156
fluid_intelligence,4,0,unrelated,topk_0.05,1000000.0,0.0,0.31484221351801156
fluid_intelligence,4,0,shuffled,topk_0.05,1000000.0,0.0,0.31484221351801156
fluid_intelligence,4,0,random,topk_0.05,10000.0,0.0,0.31484221351801156
fluid_intelligence,4,1,matched,pca_32,10000.0,0.0,0.3250234225076556
fluid_intelligence,4,1,unrelated,topk_0.05,10000.0,0.0,0.3117738694951681
fluid_intelligence,4,1,shuffled,topk_0.05,1000000.0,0.0,0.3117738694951681
fluid_intelligence,4,1,random,topk_0.05,1000000.0,0.0,0.3117738694951681
fluid_intelligence,4,2,matched,topk_0.05,1000000.0,0.0,0.3517862254500372
fluid_intelligence,4,2,unrelated,topk_0.05,1000000.0,0.0,0.3517862254500372
fluid_intelligence,4,2,shuffled,topk_0.05,1000000.0,0.0,0.3517862254500372
fluid_intelligence,4,2,random,topk_0.05,1000000.0,0.0,0.3517862254500372
fluid_intelligence,4,3,matched,topk_0.05,1000000.0,0.0,0.361624177659136
fluid_intelligence,4,3,unrelated,topk_0.05,1000000.0,0.0,0.361624177659136
fluid_intelligence,4,3,shuffled,topk_0.05,1000000.0,0.0,0.361624177659136
fluid_intelligence,4,3,random,pca_32,10000.0,0.0,0.3638178266970776
fluid_intelligence,4,4,matched,pca_64,100.0,0.0,0.29866500557845094
fluid_intelligence,4,4,unrelated,pca_16,1000000.0,0.0,0.29291612926134825
fluid_intelligence,4,4,shuffled,topk_0.05,1000000.0,0.0,0.29235467653017194
fluid_intelligence,4,4,random,pca_8,1000000.0,0.0,0.2947959540618458
fluid_intelligence,5,0,matched,topk_0.05,1000000.0,0.0,0.36838485214326866
fluid_intelligence,5,0,unrelated,topk_0.05,1000000.0,0.0,0.36838485214326866
fluid_intelligence,5,0,shuffled,pca_16,1000000.0,0.0,0.3684716353244435
fluid_intelligence,5,0,random,topk_0.05,1000000.0,0.0,0.36838485214326866
fluid_intelligence,5,1,matched,topk_0.05,1000000.0,0.0,0.3312670473030986
