target,seed,fold,prior_type,selected_variant,selected_eta,selected_alpha,inner_pearson,inner_rmse,inner_mae
fluid_intelligence,2,3,shuffled,topk_0.05,0.0,1000000.0,0.2609614974381912,0.0,0.0
fluid_intelligence,2,3,random,topk_0.05,0.0,1000000.0,0.2609614974381912,0.0,0.0
fluid_intelligence,2,4,matched,pca_64,0.0,100.0,0.36298151865112377,0.0,0.0
fluid_intelligence,2,4,unrelated,topk_0.05,0.0,1000000.0,0.36296039284198117,0.0,0.0
fluid_intelligence,2,4,shuffled,topk_0.05,0.0,1000000.0,0.36296039284198117,0.0,0.0
fluid_intelligence,2,4,random,topk_0.05,0.0,1000000.0,0.36296039284198117,0.0,0.0
fluid_intelligence,3,0,matched,topk_0.05,0.0,1000000.0,0.34804688431298747,0.0,0.0
fluid_intelligence,3,0,unrelated,topk_0.05,0.0,1000000.0,0.34571160550571545,0.0,0.0
fluid_intelligence,3,0,shuffled,topk_0.05,0.0,1000000.0,0.34571160550571545,0.0,0.0
fluid_intelligence,3,0,random,topk_0.05,0.0,1000000.0,0.3471887979894249,0.0,0.0
fluid_intelligence,3,1,matched,topk_0.05,0.0,10000.0,0.28851523771326176,0.0,0.0
fluid_intelligence,3,1,unrelated,topk_0.05,0.0,1000000.0,0.28851523771326176,0.0,0.0
fluid_intelligence,3,1,shuffled,topk_0.05,0.0,1000000.0,0.28851523771326176,0.0,0.0
fluid_intelligence,3,1,random,pca_32,0.0,100.0,0.29107068317851675,0.0,0.0
fluid_intelligence,3,2,matched,weighted_2.0,0.0,10000.0,0.2532697011310501,0.0,0.0
fluid_intelligence,3,2,unrelated,pca_16,0.0,0.01,0.2531571083013507,0.0,0.0
fluid_intelligence,3,2,shuffled,topk_0.05,0.0,1000000.0,0.2531412157906196,0.0,0.0
fluid_intelligence,3,2,random,pca_16,0.0,0.01,0.2536238276174727,0.0,0.0
fluid_intelligence,3,3,matched,topk_0.05,0.0,1000000.0,0.20808223363423076,0.0,0.0
fluid_intelligence,3,3,unrelated,pca_32,0.0,1000000.0,0.21049925194245203,0.0,0.0
fluid_intelligence,3,3,shuffled,pca_64,0.0,10000.0,0.212028321522578,0.0,0.0
fluid_intelligence,3,3,random,topk_0.05,0.0,1000000.0,0.20808223363423076,0.0,0.0
fluid_intelligence,3,4,matched,topk_0.05,0.0,1000000.0,0.3708413287478217,0.0,0.0
fluid_intelligence,3,4,unrelated,topk_0.05,0.0,1000000.0,0.3708413287478217,0.0,0.0
fluid_intelligence,3,4,shuffled,topk_0.05,0.0,1000000.0,0.3708413287478217,0.0,0.0
fluid_intelligence,3,4,random,pca_32,0.0,1000000.0,0.37132410521466924,0.0,0.0
fluid_intelligence,4,0,matched,topk_0.05,0.0,10000.0,0.31484221351801156,0.0,0.0
fluid_intelligence,4,0,unrelated,topk_0.05,0.0,1000000.0,0.31484221351801156,0.0,0.0
fluid_intelligence,4,0,shuffled,topk_0.05,0.0,1000000.0,0.31484221351801156,0.0,0.0
fluid_intelligence,4,0,random,topk_0.05,0.0,10000.0,0.31484221351801156,0.0,0.0
fluid_intelligence,4,1,matched,pca_32,0.0,10000.0,0.3250234225076556,0.0,0.0
fluid_intelligence,4,1,unrelated,topk_0.05,0.0,10000.0,0.3117738694951681,0.0,0.0
fluid_intelligence,4,1,shuffled,topk_0.05,0.0,1000000.0,0.3117738694951681,0.0,0.0
fluid_intelligence,4,1,random,topk_0.05,0.0,1000000.0,0.3117738694951681,0.0,0.0
fluid_intelligence,4,2,matched,topk_0.05,0.0,1000000.0,0.3517862254500372,0.0,0.0
fluid_intelligence,4,2,unrelated,topk_0.05,0.0,1000000.0,0.3517862254500372,0.0,0.0
fluid_intelligence,4,2,shuffled,topk_0.05,0.0,1000000.0,0.3517862254500372,0.0,0.0
fluid_intelligence,4,2,random,topk_0.05,0.0,1000000.0,0.3517862254500372,0.0,0.0
fluid_intelligence,4,3,matched,topk_0.05,0.0,1000000.0,0.361624177659136,0.0,0.0
fluid_intelligence,4,3,unrelated,topk_0.05,0.0,1000000.0,0.361624177659136,0.0,0.0
fluid_intelligence,4,3,shuffled,topk_0.05,0.0,1000000.0,0.361624177659136,0.0,0.0
fluid_intelligence,4,3,random,pca_32,0.0,10000.0,0.3638178266970776,0.0,0.0
fluid_intelligence,4,4,matched,pca_64,0.0,100.0,0.29866500557845094,0.0,0.0
fluid_intelligence,4,4,unrelated,pca_16,0.0,1000000.0,0.29291612926134825,0.0,0.0
fluid_intelligence,4,4,shuffled,topk_0.05,0.0,1000000.0,0.29235467653017194,0.0,0.0
fluid_intelligence,4,4,random,pca_8,0.0,1000000.0,0.2947959540618458,0.0,0.0
fluid_intelligence,5,0,matched,topk_0.05,0.0,1000000.0,0.36838485214326866,0.0,0.0
fluid_intelligence,5,0,unrelated,topk_0.05,0.0,1000000.0,0.36838485214326866,0.0,0.0
fluid_intelligence,5,0,shuffled,pca_16,0.0,1000000.0,0.3684716353244435,0.0,0.0
fluid_intelligence,5,0,random,topk_0.05,0.0,1000000.0,0.36838485214326866,0.0,0.0
fluid_intelligence,5,1,matched,topk_0.05,0.0,1000000.0,0.3312670473030986,0.0,0.0
fluid_intelligence,5,1,unrelated,topk_0.05,0.0,1000000.0,0.3312670473030986,0.0,0.0
fluid_intelligence,5,1,shuffled,topk_0.05,0.0,1000000.0,0.3312670473030986,0.0,0.0
fluid_intelligence,5,1,random,topk_0.05,0.0,1000000.0,0.3312670473030986,0.0,0.0
fluid_intelligence,5,2,matched,topk_0.05,0.0,10000.0,0.29115251598540925,0.0,0.0
fluid_intelligence,5,2,unrelated,topk_0.05,0.0,10000.0,0.29115251598540925,0.0,0.0
fluid_intelligence,5,2,shuffled,topk_0.05,0.0,1000000.0,0.29115251598540925,0.0,0.0
fluid_intelligence,5,2,random,topk_0.05,0.0,10000.0,0.29115251598540925,0.0,0.0
fluid_intelligence,5,3,matched,pca_64,0.0,1000000.0,0.31949758754500057,0.0,0.0
fluid_intelligence,5,3,unrelated,topk_0.05,0.0,10000.0,0.31235413514154275,0.0,0.0
fluid_intelligence,5,3,shuffled,topk_0.05,0.0,1000000.0,0.31235413514154275,0.0,0.0
fluid_intelligence,5,3,random,topk_0.05,0.0,1000000.0,0.31235413514154275,0.0,0.0
fluid_intelligence,5,4,matched,topk_0.05,0.0,10000.0,0.340951057797709,0.0,0.0
fluid_intelligence,5,4,unrelated,topk_0.05,0.0,10000.0,0.340951057797709,0.0,0.0
fluid_intelligence,5,4,shuffled,topk_0.05,0.0,1000000.0,0.340951057797709,0.0,0.0
fluid_intelligence,5,4,random,topk_0.05,0.0,1000000.0,0.340951057797709,0.0,0.0
fluid_intelligence,6,0,matched,topk_0.05,0.0,1000000.0,0.3660664423392285,0.0,0.0
fluid_intelligence,6,0,unrelated,topk_0.05,0.0,1000000.0,0.3660664423392285,0.0,0.0
fluid_intelligence,6,0,shuffled,topk_0.05,0.0,1000000.0,0.3660664423392285,0.0,0.0
fluid_intelligence,6,0,random,topk_0.05,0.0,1000000.0,0.3660664423392285,0.0,0.0
fluid_intelligence,6,1,matched,topk_0.05,0.0,1000000.0,0.2926984494591222,0.0,0.0
fluid_intelligence,6,1,unrelated,topk_0.05,0.0,1000000.0,0.2926984494591222,0.0,0.0
fluid_intelligence,6,1,shuffled,topk_0.05,0.0,1000000.0,0.2926984494591222,0.0,0.0
fluid_intelligence,6,1,random,topk_0.05,0.0,1000000.0,0.2926984494591222,0.0,0.0
fluid_intelligence,6,2,matched,topk_0.05,0.0,1000000.0,0.34840549780466046,0.0,0.0
fluid_intelligence,6,2,unrelated,topk_0.05,0.0,1000000.0,0.34840549780466046,0.0,0.0
fluid_intelligence,6,2,shuffled,topk_0.05,0.0,1000000.0,0.34840549780466046,0.0,0.0
fluid_intelligence,6,2,random,topk_0.05,0.0,1000000.0,0.34840549780466046,0.0,0.0
fluid_intelligence,6,3,matched,pca_64,0.0,1000000.0,0.2963469763660077,0.0,0.0
fluid_intelligence,6,3,unrelated,topk_0.05,0.0,1000000.0,0.2863784274112649,0.0,0.0
fluid_intelligence,6,3,shuffled,pca_64,0.0,1000000.0,0.28739244299308725,0.0,0.0
fluid_intelligence,6,3,random,topk_0.05,0.0,1000000.0,0.2863784274112649,0.0,0.0
fluid_intelligence,6,4,matched,pca_16,0.0,1000000.0,0.3152161382241303,0.0,0.0
fluid_intelligence,6,4,unrelated,topk_0.05,0.0,1000000.0,0.31159210950513266,0.0,0.0
fluid_intelligence,6,4,shuffled,topk_0.05,0.0,1000000.0,0.31159210950513266,0.0,0.0
fluid_intelligence,6,4,random,topk_0.05,0.0,1000000.0,0.31159210950513266,0.0,0.0
fluid_intelligence,7,0,matched,pca_32,0.0,1000000.0,0.3060197298382481,0.0,0.0
fluid_intelligence,7,0,unrelated,pca_32,0.0,100.0,0.3030911437885601,0.0,0.0
fluid_intelligence,7,0,shuffled,pca_64,0.0,10000.0,0.29785776148630533,0.0,0.0
fluid_intelligence,7,0,random,weighted_2.0,0.25,1000000.0,0.29735980386113897,0.0,0.0
fluid_intelligence,7,1,matched,weighted_0.5,0.0,1000000.0,0.19047462684154537,0.0,0.0
fluid_intelligence,7,1,unrelated,topk_0.05,0.0,1000000.0,0.1885429058658667,0.0,0.0
fluid_intelligence,7,1,shuffled,pca_8,0.25,1000000.0,0.19277606476545214,0.0,0.0
fluid_intelligence,7,1,random,topk_0.05,0.0,1000000.0,0.1885429058658667,0.0,0.0
fluid_intelligence,7,2,matched,pca_16,0.0,1000000.0,0.18983331304212947,0.0,0.0
fluid_intelligence,7,2,unrelated,pca_64,0.0,1000000.0,0.18653622479021129,0.0,0.0
fluid_intelligence,7,2,shuffled,weighted_1.0,0.0,1000000.0,0.18611723936287042,0.0,0.0
fluid_intelligence,7,2,random,topk_0.05,0.0,1000000.0,0.18604625888119655,0.0,0.0
fluid_intelligence,7,3,matched,topk_0.05,0.0,1000000.0,0.3124694373277416,0.0,0.0
fluid_intelligence,7,3,unrelated,topk_0.05,0.0,1000000.0,0.3124694373277416,0.0,0.0
fluid_intelligence,7,3,shuffled,topk_0.05,0.0,1000000.0,0.3124694373277416,0.0,0.0
fluid_intelligence,7,3,random,topk_0.05,0.0,1000000.0,0.3124694373277416,0.0,0.0
fluid_intelligence,7,4,matched,topk_0.05,0.0,1000000.0,0.3386050291068979,0.0,0.0
fluid_intelligence,7,4,unrelated,topk_0.05,0.0,1000000.0,0.3386050291068979,0.0,0.0
fluid_intelligence,7,4,shuffled,topk_0.05,0.0,1000000.0,0.3386050291068979,0.0,0.0
fluid_intelligence,7,4,random,topk_0.05,0.0,1000000.0,0.3386050291068979,0.0,0.0
fluid_intelligence,8,0,matched,pca_8,0.0,1000000.0,0.3501325671251708,0.0,0.0
fluid_intelligence,8,0,unrelated,topk_0.05,0.0,1000000.0,0.34920837107840763,0.0,0.0
fluid_intelligence,8,0,shuffled,topk_0.05,0.0,1000000.0,0.34920837107840763,0.0,0.0
