label,wilcoxon_p,mean_diff,ci_lo,ci_hi,effect_size,n_seeds,n_positive,median_delta,target,wilcoxon_p_holm
matched_vs_unrelated,1.0,-0.0003356004897992182,-0.0010632761995519868,5.648424088525463e-05,-0.3126517971103502,10,2,0.0,fluid_intelligence,1.0
matched_vs_shuffled,1.0,-0.0003359961968442815,-0.0010644480428790093,5.597029667210806e-05,-0.31305862457000166,10,2,0.0,fluid_intelligence,1.0
matched_vs_random,0.875,-0.00028593515500148996,-0.001037057294336041,0.00014803293608178336,-0.26095777356954325,10,3,0.0,fluid_intelligence,1.0
matched_vs_unrelated,0.8125,4.537202100766553e-05,-0.0001297377628689819,0.00028938940904773945,0.12840774530621735,10,2,0.0,working_memory,1.0
matched_vs_shuffled,0.046875,0.0010429338289784727,0.0001635407322023287,0.0021512312779674355,0.6515160891382074,10,6,0.00014897943588772222,working_memory,0.28125
matched_vs_random,1.0,0.008114078510540143,-0.0003648469735410867,0.02485549166256354,0.3273642555537777,10,4,0.0,working_memory,1.0
