target,prior_type,lifting,seed,fold,fraction,k,observed_mean,null_mean,null_std,enrichment_ratio,z_score,p_value
fluid_intelligence,matched,prod,0,0,0.05,667,0.033017163956488474,0.032717569456992196,0.001087185204721694,1.0091569913189946,0.2755689630387956,0.38
fluid_intelligence,matched,prod,0,0,0.1,1334,0.031814715841652186,0.032737479455822865,0.0007468365508122208,0.9718132357924534,-1.2355630066138699,0.894
fluid_intelligence,matched,prod,0,0,0.2,2668,0.0315700755943845,0.03274410758191333,0.000512654625419325,0.9641452440078923,-2.2901031792476876,0.994
fluid_intelligence,matched,prod,0,0,0.3,4002,0.031630144368731884,0.03273360424688605,0.00040825733672376354,0.9662896920903802,-2.702853761329451,0.999
fluid_intelligence,matched,mean,0,0,0.05,667,0.03330576763752265,0.032717569456992196,0.001087185204721694,1.0179780524743336,0.5410284999978713,0.285
fluid_intelligence,matched,mean,0,0,0.1,1334,0.03191642845666876,0.032737479455822865,0.0007468365508122208,0.9749201522902196,-1.099371741060572,0.871
fluid_intelligence,matched,mean,0,0,0.2,2668,0.03122536487062674,0.03274410758191333,0.000512654625419325,0.9536178316209329,-2.962506599924538,1.0
fluid_intelligence,matched,mean,0,0,0.3,4002,0.031940006065155506,0.03273360424688605,0.00040825733672376354,0.9757558570163858,-1.94386753242236,0.974
fluid_intelligence,matched,max,0,0,0.05,667,0.034702456336297156,0.032717569456992196,0.001087185204721694,1.0606673084904465,1.8257118204741085,0.042
fluid_intelligence,matched,max,0,0,0.1,1334,0.033256426542917196,0.032737479455822865,0.0007468365508122208,1.0158517728218697,0.6948603232259462,0.25
fluid_intelligence,matched,max,0,0,0.2,2668,0.032134027514826774,0.03274410758191333,0.000512654625419325,0.9813682487586395,-1.1900410858237034,0.877
fluid_intelligence,matched,max,0,0,0.3,4002,0.031831012339580064,0.03273360424688605,0.00040825733672376354,0.9724261373572435,-2.210840629464801,0.986
fluid_intelligence,matched,bridge,0,0,0.05,667,0.03546263767676155,0.032717569456992196,0.001087185204721694,1.0839019604857199,2.5249315460212274,0.008
fluid_intelligence,matched,bridge,0,0,0.1,1334,0.03263507263410765,0.032737479455822865,0.0007468365508122208,0.9968718782442183,-0.13712079517779852,0.547
fluid_intelligence,matched,bridge,0,0,0.2,2668,0.03229708155943473,0.03274410758191333,0.000512654625419325,0.9863478941559085,-0.8719828132106567,0.8
fluid_intelligence,matched,bridge,0,0,0.3,4002,0.03142282926877673,0.03273360424688605,0.00040825733672376354,0.9599562893159247,-3.210658719885356,1.0
fluid_intelligence,unrelated,prod,0,0,0.05,667,0.030156457169264596,0.032717569456992196,0.001087185204721694,0.92172058223658,-2.355727687062493,0.99
fluid_intelligence,unrelated,prod,0,0,0.1,1334,0.02960433132517731,0.032737479455822865,0.0007468365508122208,0.9042947660380043,-4.195226019988049,1.0
fluid_intelligence,unrelated,prod,0,0,0.2,2668,0.030375763573603238,0.03274410758191333,0.000512654625419325,0.9276711389252129,-4.619765219855201,1.0
fluid_intelligence,unrelated,prod,0,0,0.3,4002,0.03138625455323931,0.03273360424688605,0.00040825733672376354,0.9588389447283394,-3.300246125297168,1.0
fluid_intelligence,unrelated,mean,0,0,0.05,667,0.03095808840075317,0.032717569456992196,0.001087185204721694,0.9462221343015136,-1.618382083013568,0.948
fluid_intelligence,unrelated,mean,0,0,0.1,1334,0.030041509933524845,0.032737479455822865,0.0007468365508122208,0.9176488365289069,-3.609852141497391,1.0
fluid_intelligence,unrelated,mean,0,0,0.2,2668,0.03096648568283785,0.03274410758191333,0.000512654625419325,0.9457117011166499,-3.467484366539125,1.0
fluid_intelligence,unrelated,mean,0,0,0.3,4002,0.031657952351395416,0.03273360424688605,0.00040825733672376354,0.9671392160979961,-2.6347399023436244,0.999
fluid_intelligence,unrelated,max,0,0,0.05,667,0.03276639586550446,0.032717569456992196,0.001087185204721694,1.0014923605060713,0.04491084711252993,0.473
fluid_intelligence,unrelated,max,0,0,0.1,1334,0.032899983717823496,0.032737479455822865,0.0007468365508122208,1.0049638599153585,0.21759012975985056,0.414
fluid_intelligence,unrelated,max,0,0,0.2,2668,0.03185870154362688,0.03274410758191333,0.000512654625419325,0.9729598360232754,-1.7271004578613374,0.959
fluid_intelligence,unrelated,max,0,0,0.3,4002,0.03195561433901346,0.03273360424688605,0.00040825733672376354,0.9762326842469051,-1.9056360728649822,0.971
