target,prior_type,lifting,seed,fold,residual_pearson,residual_spearman,n_trainval
fluid_intelligence,matched,bridge,3,1,-0.00939121666407524,-0.014412457151248382,329
fluid_intelligence,unrelated,prod,3,1,-0.009342236284689345,-0.04725105406570288,329
fluid_intelligence,unrelated,mean,3,1,-0.01250429145169333,-0.02707543049304119,329
fluid_intelligence,unrelated,max,3,1,-0.006301820154370615,-0.018292984814068478,329
fluid_intelligence,unrelated,bridge,3,1,-0.010840289985077588,-0.023147850815268697,329
fluid_intelligence,shuffled,prod,3,1,-0.02083810636131476,-0.03474035872544744,329
fluid_intelligence,shuffled,mean,3,1,-0.029748827289715094,-0.021901306999037935,329
fluid_intelligence,shuffled,max,3,1,-0.02631427358382654,-0.015781533477581048,329
fluid_intelligence,shuffled,bridge,3,1,-0.026241993168498682,-0.017321293585617965,329
fluid_intelligence,random,prod,3,1,-0.01985241395275307,-0.026890265136838013,329
fluid_intelligence,random,mean,3,1,-0.0193796222242308,-0.02868645651631929,329
fluid_intelligence,random,max,3,1,-0.012427795774143031,-0.020831764781348554,329
fluid_intelligence,random,bridge,3,1,0.003770618243085602,0.004813358252431081,329
fluid_intelligence,matched,prod,3,2,0.03198796660024721,0.008333263841013518,330
fluid_intelligence,matched,mean,3,2,0.0222142872494222,0.0046253682346252345,330
fluid_intelligence,matched,max,3,2,0.013115055452875772,-0.0010527206217749953,330
fluid_intelligence,matched,bridge,3,2,-0.004346206606137793,-0.016722705352293712,330
fluid_intelligence,unrelated,prod,3,2,0.0328545714805941,0.01432870279996582,330
fluid_intelligence,unrelated,mean,3,2,0.031305386313791234,0.014765411365540337,330
fluid_intelligence,unrelated,max,3,2,0.02809438721347301,0.013226324267866395,330
fluid_intelligence,unrelated,bridge,3,2,0.015131968321597935,0.001175677229146824,330
fluid_intelligence,shuffled,prod,3,2,-0.06593197638489771,-0.08927485890754631,330
fluid_intelligence,shuffled,mean,3,2,-0.08420718323487211,-0.08506758760511308,330
fluid_intelligence,shuffled,max,3,2,-0.07461189990463164,-0.07589262642449118,330
fluid_intelligence,shuffled,bridge,3,2,-0.0641552666296764,-0.06566721389366337,330
fluid_intelligence,random,prod,3,2,-0.003633903233035856,-0.007894010210344499,330
fluid_intelligence,random,mean,3,2,-0.005885152418065373,-0.010875049739552663,330
fluid_intelligence,random,max,3,2,-0.005766281123780267,-0.012110900627978203,330
fluid_intelligence,random,bridge,3,2,-0.004892379441957317,-0.0001557670221637313,330
fluid_intelligence,matched,prod,3,3,0.021566941017254246,0.01318622110489605,330
fluid_intelligence,matched,mean,3,3,0.018635385755869417,0.013388079952916744,330
fluid_intelligence,matched,max,3,3,0.010323063580082874,0.005524341558598832,330
fluid_intelligence,matched,bridge,3,3,0.004030963300362089,-0.003841535799674076,330
fluid_intelligence,unrelated,prod,3,3,0.008691487488756658,-0.01693204785011164,330
fluid_intelligence,unrelated,mean,3,3,0.005804830257574767,-0.005155920396415903,330
fluid_intelligence,unrelated,max,3,3,0.007931543990156404,-0.0006929358276520916,330
fluid_intelligence,unrelated,bridge,3,3,-0.0004915700072870115,-0.011648069366254185,330
fluid_intelligence,shuffled,prod,3,3,-0.03445933074139808,-0.059312483362576475,330
fluid_intelligence,shuffled,mean,3,3,-0.05148265198614832,-0.049791400509749985,330
fluid_intelligence,shuffled,max,3,3,-0.04576417937122227,-0.03899626920707824,330
fluid_intelligence,shuffled,bridge,3,3,-0.04774950352461522,-0.044318333790873375,330
fluid_intelligence,random,prod,3,3,-0.024327564194909213,-0.03364048936382266,330
fluid_intelligence,random,mean,3,3,-0.024375012260480576,-0.0290633720015739,330
fluid_intelligence,random,max,3,3,-0.013486122105028649,-0.015735446576223763,330
fluid_intelligence,random,bridge,3,3,0.0031237747869820977,0.003798952253775355,330
fluid_intelligence,matched,prod,3,4,-0.013085882590515987,-0.021505695414938644,330
fluid_intelligence,matched,mean,3,4,-0.013388618104123617,-0.0077679691342469595,330
fluid_intelligence,matched,max,3,4,-0.009027475102771224,-0.00677606709857957,330
fluid_intelligence,matched,bridge,3,4,-0.006406849421476797,-0.007389115258545203,330
fluid_intelligence,unrelated,prod,3,4,-0.026881408445876744,-0.05063403569570348,330
fluid_intelligence,unrelated,mean,3,4,-0.03289126716212342,-0.035905656702915095,330
fluid_intelligence,unrelated,max,3,4,-0.026103677268972628,-0.03066960992241367,330
fluid_intelligence,unrelated,bridge,3,4,-0.02558700015979516,-0.031693211902557396,330
fluid_intelligence,shuffled,prod,3,4,-0.009674614878042026,-0.01055091741777365,330
fluid_intelligence,shuffled,mean,3,4,-0.013341579917994574,-0.01189155815390399,330
fluid_intelligence,shuffled,max,3,4,-0.01177095186540963,-0.009779535424603367,330
fluid_intelligence,shuffled,bridge,3,4,-0.011288981529396567,-0.007251683779290591,330
fluid_intelligence,random,prod,3,4,-0.012511002936021497,-0.02140381164846608,330
fluid_intelligence,random,mean,3,4,-0.01181414089611212,-0.019332506169855896,330
fluid_intelligence,random,max,3,4,-0.003317233822419657,-0.00834438785456745,330
fluid_intelligence,random,bridge,3,4,0.0033288270000897614,0.0075617207830929395,330
fluid_intelligence,matched,prod,4,0,0.003574337486641507,-0.004807480616700711,329
fluid_intelligence,matched,mean,4,0,-0.004947358127271973,-0.007275586250580422,329
fluid_intelligence,matched,max,4,0,-0.011375318495442276,-0.013632391898791264,329
fluid_intelligence,matched,bridge,4,0,-0.014624099281377397,-0.020188833937533877,329
fluid_intelligence,unrelated,prod,4,0,-0.01483227433394465,-0.03492002159875386,329
fluid_intelligence,unrelated,mean,4,0,-0.016692519201249544,-0.024406715551577952,329
fluid_intelligence,unrelated,max,4,0,-0.010165454943844455,-0.020083674953600156,329
fluid_intelligence,unrelated,bridge,4,0,-0.011476261413021127,-0.022246327997792574,329
fluid_intelligence,shuffled,prod,4,0,-0.0002914781201876866,-0.012610246416285076,329
fluid_intelligence,shuffled,mean,4,0,-0.012628029549400979,-0.015201169396492525,329
fluid_intelligence,shuffled,max,4,0,-0.015480448619981626,-0.0156287166975171,329
fluid_intelligence,shuffled,bridge,4,0,-0.02360625881600651,-0.02408326394491827,329
fluid_intelligence,random,prod,4,0,0.002414127609247141,-0.011885077363054048,329
fluid_intelligence,random,mean,4,0,0.0008733158652002053,-0.005746481118740433,329
fluid_intelligence,random,max,4,0,0.00583227757514527,0.005763925895296855,329
