label,wilcoxon_p,mean_diff,ci_lo,ci_hi,effect_size,n_seeds,n_positive,median_delta,target,lifting,wilcoxon_p_holm
matched_vs_unrelated,0.001953125,0.010178282502847243,0.008879221844213992,0.011435567524094668,4.917618899741221,10,10,0.010254387056295541,fluid_intelligence,prod,0.046875
matched_vs_shuffled,0.001953125,0.03160498543974855,0.025188068845263964,0.03826798330880872,3.073755742840806,10,10,0.027429944645259788,fluid_intelligence,prod,0.046875
matched_vs_random,0.001953125,0.016306931396628196,0.012052485910226937,0.02067895083939906,2.3856159609116654,10,10,0.014801331005352655,fluid_intelligence,prod,0.046875
matched_vs_unrelated,0.001953125,0.0067335267639080775,0.00514091360829081,0.008053908063350062,2.8745257129922024,10,10,0.007239148686591771,fluid_intelligence,mean,0.046875
matched_vs_shuffled,0.001953125,0.03705160378995454,0.03000876086785724,0.044547907314042956,3.179977780598986,10,10,0.032380004279152566,fluid_intelligence,mean,0.046875
matched_vs_random,0.00390625,0.009705014744787094,0.004983143652261308,0.014789823923696386,1.2117903853367034,10,9,0.007208853885052469,fluid_intelligence,mean,0.046875
matched_vs_unrelated,0.013671875,-0.0022393945720472755,-0.003608707119505782,-0.0009623454907407956,-1.044919143033447,10,2,-0.0024903775589043024,fluid_intelligence,max,0.08203125
matched_vs_shuffled,0.001953125,0.030499102498014453,0.02444008808849306,0.037110762665417435,2.956416282195123,10,10,0.026472202163902683,fluid_intelligence,max,0.046875
matched_vs_random,0.845703125,-0.0006294081694555277,-0.0049972511463333485,0.0041119763206489985,-0.08596186911806553,10,4,-0.0035974504086655947,fluid_intelligence,max,1.0
matched_vs_unrelated,0.048828125,-0.0017689379055388084,-0.003230731602731093,-0.000509814796885292,-0.8046926243014594,10,2,-0.0011988627414886233,fluid_intelligence,bridge,0.244140625
matched_vs_shuffled,0.001953125,0.024447281698485583,0.020045802822453298,0.029268399344493504,3.30332159068508,10,10,0.021551635275980023,fluid_intelligence,bridge,0.046875
matched_vs_random,0.00390625,-0.011893071645316894,-0.015203729081810584,-0.007915273781185103,-2.052678847519127,10,1,-0.014407813529806163,fluid_intelligence,bridge,0.046875
matched_vs_unrelated,0.921875,0.00023590177067043578,-0.0031466514823154197,0.0034635432376774965,0.042490181232603216,10,5,0.0007645578697149228,working_memory,prod,1.0
matched_vs_shuffled,0.001953125,0.0327428051159746,0.027070512325466384,0.03799025864735926,3.651629288280299,10,10,0.0339030761598867,working_memory,prod,0.046875
matched_vs_random,0.001953125,0.02591952362303534,0.020244131251335173,0.0303388848563833,3.1110401839716606,10,10,0.029226854299280555,working_memory,prod,0.046875
matched_vs_unrelated,0.130859375,0.0031205537967627104,-0.00013952846244632633,0.006372513611663006,0.5719704165943219,10,6,0.0036506837811812296,working_memory,mean,0.5234375
matched_vs_shuffled,0.001953125,0.036193080634532866,0.030286495454329643,0.04193123006317635,3.7251585499901188,10,10,0.03770068411642202,working_memory,mean,0.046875
matched_vs_random,0.001953125,0.02920526009528953,0.023314116443344635,0.033992744146327324,3.3208382535397236,10,10,0.03348325314464306,working_memory,mean,0.046875
matched_vs_unrelated,0.845703125,0.0006775296777659738,-0.0018144201019033139,0.0033450654663973066,0.15984563510188102,10,6,0.000370016285500774,working_memory,max,1.0
matched_vs_shuffled,0.001953125,0.02699350680568135,0.02206333053253272,0.03235203227732938,3.172249934147095,10,10,0.026871996353707364,working_memory,max,0.046875
matched_vs_random,0.001953125,0.026619640701427676,0.021050909151255053,0.03152335961607132,3.1142458079471442,10,10,0.03029153120153615,working_memory,max,0.046875
matched_vs_unrelated,0.001953125,0.006424370398861494,0.004515702843997403,0.008393281054690721,2.0832976043056233,10,10,0.005565799618891709,working_memory,bridge,0.046875
matched_vs_shuffled,0.001953125,0.02414333434240651,0.01979745200549647,0.02857487440795316,3.35614684540061,10,10,0.023323291771629957,working_memory,bridge,0.046875
matched_vs_random,0.00390625,0.010039600409212247,0.006209092547961604,0.01369490378473657,1.6536209666190935,10,9,0.009733408843086218,working_memory,bridge,0.046875
