target,seed,fold,prior_type,variant,inner_pearson,selected_eta
fluid_intelligence,0,1,random,pca_16,0.316926493364913,0.0
fluid_intelligence,0,1,random,pca_32,0.316926493364913,0.0
fluid_intelligence,0,1,random,pca_64,0.316926493364913,0.0
fluid_intelligence,0,2,matched,topk_0.05,0.35323785094173127,0.0
fluid_intelligence,0,2,matched,topk_0.1,0.35323785094173127,0.0
fluid_intelligence,0,2,matched,topk_0.2,0.35323785094173127,0.0
fluid_intelligence,0,2,matched,weighted_0.5,0.35323785094173127,0.0
fluid_intelligence,0,2,matched,weighted_1.0,0.35323785094173127,0.0
fluid_intelligence,0,2,matched,weighted_2.0,0.35323785094173127,0.0
fluid_intelligence,0,2,matched,pca_8,0.35323785094173127,0.0
fluid_intelligence,0,2,matched,pca_16,0.35323785094173127,0.0
fluid_intelligence,0,2,matched,pca_32,0.35323785094173127,0.0
fluid_intelligence,0,2,matched,pca_64,0.35323785094173127,0.0
fluid_intelligence,0,2,unrelated,topk_0.05,0.35323785094173127,0.0
fluid_intelligence,0,2,unrelated,topk_0.1,0.35323785094173127,0.0
fluid_intelligence,0,2,unrelated,topk_0.2,0.35323785094173127,0.0
fluid_intelligence,0,2,unrelated,weighted_0.5,0.35323785094173127,0.0
fluid_intelligence,0,2,unrelated,weighted_1.0,0.35323785094173127,0.0
fluid_intelligence,0,2,unrelated,weighted_2.0,0.35323785094173127,0.0
fluid_intelligence,0,2,unrelated,pca_8,0.35323785094173127,0.0
fluid_intelligence,0,2,unrelated,pca_16,0.35323785094173127,0.0
fluid_intelligence,0,2,unrelated,pca_32,0.35323785094173127,0.0
fluid_intelligence,0,2,unrelated,pca_64,0.35323785094173127,0.0
fluid_intelligence,0,2,shuffled,topk_0.05,0.35323785094173127,0.0
fluid_intelligence,0,2,shuffled,topk_0.1,0.35323785094173127,0.0
fluid_intelligence,0,2,shuffled,topk_0.2,0.35323785094173127,0.0
fluid_intelligence,0,2,shuffled,weighted_0.5,0.35323785094173127,0.0
fluid_intelligence,0,2,shuffled,weighted_1.0,0.35323785094173127,0.0
fluid_intelligence,0,2,shuffled,weighted_2.0,0.35323785094173127,0.0
fluid_intelligence,0,2,shuffled,pca_8,0.35323785094173127,0.0
fluid_intelligence,0,2,shuffled,pca_16,0.35323785094173127,0.0
fluid_intelligence,0,2,shuffled,pca_32,0.35323785094173127,0.0
fluid_intelligence,0,2,shuffled,pca_64,0.35323785094173127,0.0
fluid_intelligence,0,2,random,topk_0.05,0.35323785094173127,0.0
fluid_intelligence,0,2,random,topk_0.1,0.35323785094173127,0.0
fluid_intelligence,0,2,random,topk_0.2,0.35323785094173127,0.0
fluid_intelligence,0,2,random,weighted_0.5,0.35323785094173127,0.0
fluid_intelligence,0,2,random,weighted_1.0,0.35323785094173127,0.0
fluid_intelligence,0,2,random,weighted_2.0,0.35323785094173127,0.0
fluid_intelligence,0,2,random,pca_8,0.35323785094173127,0.0
fluid_intelligence,0,2,random,pca_16,0.35323785094173127,0.0
fluid_intelligence,0,2,random,pca_32,0.35323785094173127,0.0
fluid_intelligence,0,2,random,pca_64,0.35323785094173127,0.0
fluid_intelligence,0,3,matched,topk_0.05,0.37408646916077243,0.0
fluid_intelligence,0,3,matched,topk_0.1,0.37408646916077243,0.0
fluid_intelligence,0,3,matched,topk_0.2,0.37408646916077243,0.0
fluid_intelligence,0,3,matched,weighted_0.5,0.37408646916077243,0.0
fluid_intelligence,0,3,matched,weighted_1.0,0.37408646916077243,0.0
fluid_intelligence,0,3,matched,weighted_2.0,0.37408646916077243,0.0
fluid_intelligence,0,3,matched,pca_8,0.37408646916077243,0.0
fluid_intelligence,0,3,matched,pca_16,0.37408646916077243,0.0
fluid_intelligence,0,3,matched,pca_32,0.37408646916077243,0.0
fluid_intelligence,0,3,matched,pca_64,0.37408646916077243,0.0
fluid_intelligence,0,3,unrelated,topk_0.05,0.37408646916077243,0.0
