target,seed,fold,baseline_pearson,baseline_rmse,baseline_mae,ridge_alpha,n_trainval,n_test
fluid_intelligence,0,0,0.4795444114324563,3.851302484597823,3.128865720224275,10000.0,329,83
fluid_intelligence,0,1,0.3353831100367615,4.783034114775601,4.106514672689099,10000.0,329,83
fluid_intelligence,0,2,0.3057034291102946,5.095973518108364,4.245960809840487,100.0,330,82
fluid_intelligence,0,3,0.1666419793369086,4.925697438430313,4.212032332054862,0.01,330,82
fluid_intelligence,0,4,0.4237235020419543,4.685687271741892,3.820353290861403,10000.0,330,82
fluid_intelligence,1,0,0.2794320768594371,4.397151518994916,3.5649191282290404,10000.0,329,83
fluid_intelligence,1,1,0.3905196880543874,4.31884052044968,3.651423720231565,10000.0,329,83
fluid_intelligence,1,2,0.4517574932284021,4.761087510366248,4.106521104968315,10000.0,330,82
fluid_intelligence,1,3,0.2550878928166975,5.04235363172488,4.338596276907141,10000.0,330,82
fluid_intelligence,1,4,0.3298536891118189,4.73076676424434,3.862134260865783,100.0,330,82
fluid_intelligence,2,0,0.39967805517751187,4.780757249161529,4.096757862450109,10000.0,329,83
fluid_intelligence,2,1,0.29940615786227553,4.6762371922789825,4.027122670298484,100.0,329,83
fluid_intelligence,2,2,0.3963590160881786,4.323165629659986,3.5450412379895275,10000.0,330,82
fluid_intelligence,2,3,0.46002202906835,4.524026009268701,3.7101791439021383,100.0,330,82
fluid_intelligence,2,4,0.34595602716155716,4.672572012188535,3.8429381444704225,100.0,330,82
fluid_intelligence,3,0,0.2492593887945681,4.749359168299668,4.140105405509828,10000.0,329,83
fluid_intelligence,3,1,0.38563478204452395,4.481887036593702,3.510623658613601,100.0,329,83
fluid_intelligence,3,2,0.4216005359436342,4.383284969828446,3.687859520510441,10000.0,330,82
fluid_intelligence,3,3,0.467436201941956,4.5505879037528905,3.828070347699317,10000.0,330,82
fluid_intelligence,3,4,0.2695187109535314,4.821579088512694,3.9963459396568934,10000.0,330,82
fluid_intelligence,4,0,0.3796659289678619,4.47068973194179,3.8483506332789728,10000.0,329,83
fluid_intelligence,4,1,0.3014837081572035,4.424128356085982,3.747497578606126,10000.0,329,83
fluid_intelligence,4,2,0.3536305872413086,4.5836126104510475,3.7424240647325515,10000.0,330,82
fluid_intelligence,4,3,0.35732320233136633,4.764207068317178,4.080797597352981,10000.0,330,82
fluid_intelligence,4,4,0.41865394231921077,4.578844641783962,3.8756192190825303,10000.0,330,82
fluid_intelligence,5,0,0.36122353135474994,4.544330879756206,3.831572674513828,10000.0,329,83
fluid_intelligence,5,1,0.34903390988043764,4.630372555992685,3.6848303155562037,100.0,329,83
fluid_intelligence,5,2,0.32587509431207373,4.989635167094492,4.194440218661348,10000.0,330,82
fluid_intelligence,5,3,0.49130779516602796,4.590364953979327,3.864040994816343,10000.0,330,82
fluid_intelligence,5,4,0.2644250896462443,4.356268754446281,3.6607819580017944,10000.0,330,82
fluid_intelligence,6,0,0.14374480211923787,4.5030821609651115,3.8660982235845567,1000000.0,329,83
fluid_intelligence,6,1,0.4177022105603824,4.264007932622463,3.5738489103447466,10000.0,329,83
fluid_intelligence,6,2,0.29859594531782446,4.730501104573493,3.9504198682598464,0.01,330,82
fluid_intelligence,6,3,0.4171429592495041,4.24629510409973,3.6786049595949337,10000.0,330,82
fluid_intelligence,6,4,0.40282106699399667,5.25908704286643,4.42024691152533,10000.0,330,82
fluid_intelligence,7,0,0.32736840370212517,4.41301935858136,3.743218239092553,10000.0,329,83
fluid_intelligence,7,1,0.3189438913420257,5.045201306724984,4.288118691739992,1000000.0,329,83
fluid_intelligence,7,2,0.38957876588973867,4.526881650836392,3.821687139946908,10000.0,330,82
fluid_intelligence,7,3,0.3579020525116372,4.83586381425225,3.9760472640095177,10000.0,330,82
fluid_intelligence,7,4,0.3050485295153661,4.465849884647203,3.7857913990776586,10000.0,330,82
fluid_intelligence,8,0,0.17495461262933318,4.856382846481885,4.1340920658230225,1000000.0,329,83
fluid_intelligence,8,1,0.34698375927978364,4.7824165020644,4.019058007500987,10000.0,329,83
fluid_intelligence,8,2,0.37968066707509196,4.654476258860602,3.689618166887168,100.0,330,82
fluid_intelligence,8,3,0.2661289884959586,4.416340202489188,3.743497385856818,10000.0,330,82
fluid_intelligence,8,4,0.4296284688789379,4.744061654680752,4.051088254643773,10000.0,330,82
fluid_intelligence,9,0,0.34431051763182136,4.697169960375452,3.887051051475548,10000.0,329,83
fluid_intelligence,9,1,0.3271890065745571,5.029259841121115,4.216800981268739,1.0,329,83
fluid_intelligence,9,2,0.4061982943484656,4.3009002707894695,3.6514321900864783,10000.0,330,82
fluid_intelligence,9,3,0.42447308824318564,4.907636064184379,4.067756189694814,1000000.0,330,82
fluid_intelligence,9,4,0.24182955769580805,4.748236577241597,4.014606365706276,10000.0,330,82
working_memory,0,0,0.2096641101567544,9.409436178987102,7.953901466146694,10000.0,329,83
working_memory,0,1,0.17437818954422923,10.898778583839672,8.698567617039942,10000.0,329,83
working_memory,0,2,0.16962454094569895,11.885736059652004,9.458433295166746,10000.0,330,82
working_memory,0,3,0.3229874054279177,10.833392300794943,9.280092023269418,10000.0,330,82
working_memory,0,4,0.32596592228773735,13.621758396767591,11.360072172908154,1000000.0,330,82
working_memory,1,0,0.24814565008808087,11.070896990993075,8.78585335900789,1000000.0,329,83
working_memory,1,1,0.04142395938690458,12.158519631136697,9.99827748985622,10000.0,329,83
working_memory,1,2,0.13894561026523114,12.34503368465413,10.201786169333234,100.0,330,82
working_memory,1,3,0.29592842310743417,11.491017145473851,9.44347150422804,10000.0,330,82
working_memory,1,4,0.15153764375968742,10.777483865944529,8.604687919424991,1000000.0,330,82
working_memory,2,0,0.3249421156086952,11.681543360890377,9.706862235099512,10000.0,329,83
working_memory,2,1,0.36936690823116214,10.2819029822442,8.555359921439118,10000.0,329,83
working_memory,2,2,0.179465860654099,11.486079545892494,9.100736324735522,10000.0,330,82
working_memory,2,3,0.31882565565657045,10.899364420412802,9.28415939027578,10000.0,330,82
working_memory,2,4,0.12603402344561074,11.024686021185591,8.881401347825657,10000.0,330,82
working_memory,3,0,0.35560314233636836,9.17576972095669,7.831042055200335,10000.0,329,83
working_memory,3,1,0.18400206295064708,12.824598081255244,11.033327221005694,100.0,329,83
working_memory,3,2,0.11915585509120853,11.955819064840908,9.439158350152072,10000.0,330,82
working_memory,3,3,0.11661672461251685,11.8690538555053,9.711676934390049,1000000.0,330,82
working_memory,3,4,0.28876720487911084,10.71384414683535,8.286528675712383,10000.0,330,82
working_memory,4,0,0.23142802106562266,10.672468532307212,8.503031070438091,10000.0,329,83
working_memory,4,1,0.18208606933984237,11.555942317772104,9.636412438347199,10000.0,329,83
working_memory,4,2,0.14568339794800989,10.966758053072672,9.153180380616677,10000.0,330,82
working_memory,4,3,0.27130601102909346,11.79060507976472,9.529367017655144,10000.0,330,82
working_memory,4,4,0.27906540894308485,11.588781044208607,9.600258577901243,1000000.0,330,82
working_memory,5,0,0.1504227007072829,11.926245882675193,9.28153325044656,10000.0,329,83
working_memory,5,1,0.18861785645111045,12.41586755563841,10.073510261077871,100.0,329,83
working_memory,5,2,0.05930058206350354,12.117860388253716,9.472043999605201,100.0,330,82
working_memory,5,3,0.21745417750996954,11.435356135221495,9.413408713773066,10000.0,330,82
working_memory,5,4,0.260304060080839,10.9175535397741,9.112142662201414,10000.0,330,82
working_memory,6,0,0.13394989380527128,11.78373897849485,9.840612005850643,10000.0,329,83
working_memory,6,1,0.288791015819848,9.992453393567866,8.153039463793798,10000.0,329,83
working_memory,6,2,0.09505145973456317,12.005035864184869,10.160135057682645,10000.0,330,82
working_memory,6,3,0.2569082607865316,10.381623271383669,7.736833705083598,10000.0,330,82
working_memory,6,4,0.34522673893822664,12.419394646221736,10.469487320496953,1000000.0,330,82
working_memory,7,0,0.2983998548230148,11.41856679194256,8.834751619500745,10000.0,329,83
working_memory,7,1,0.2030792728798611,10.425260365382679,8.795963099598035,10000.0,329,83
working_memory,7,2,0.172400065028763,11.671733917501447,9.423796962927419,10000.0,330,82
working_memory,7,3,0.3206950873749832,11.22074560304597,9.421422038133544,10000.0,330,82
working_memory,7,4,0.2739387444561175,11.278088874944697,9.354219581555428,1000000.0,330,82
working_memory,8,0,0.19048125851182066,11.337724716408124,9.147294243169982,10000.0,329,83
working_memory,8,1,0.31860244333043986,10.79085258316081,8.914606392233356,10000.0,329,83
working_memory,8,2,0.38766845295287156,10.356866885784953,8.45758557466391,10000.0,330,82
working_memory,8,3,0.35629660624245507,10.725828298445316,8.674793863579513,10000.0,330,82
working_memory,8,4,0.23140353811970993,11.343329860983856,9.30797527989927,10000.0,330,82
working_memory,9,0,0.28693395235170777,12.360117718847523,10.130221464577966,1000000.0,329,83
working_memory,9,1,0.20096527686033194,11.1769794971832,9.193319701067033,10000.0,329,83
working_memory,9,2,0.243356349669692,11.098630398156097,8.9676676747634,10000.0,330,82
working_memory,9,3,0.29971659652930716,10.381051158231037,8.43913734859989,10000.0,330,82
working_memory,9,4,0.08255824229547308,11.325930527921109,9.031982254495231,1000000.0,330,82
