seed,prior_type,pearson,rmse,mae
0,matched,0.25097688610042124,11.544680258936214,9.385250712502549
0,random,0.24045880218238685,11.498174333368265,9.336352065739877
0,shuffled,0.233726039057128,11.606702782761497,9.424805613897847
0,unrelated,0.218593104426607,11.700142573726003,9.545844038778538
1,matched,0.27894749034259125,11.00836078753095,9.024232673074826
1,random,0.2756889524871705,11.020677759595316,9.097813724352518
1,shuffled,0.27655089448348946,10.9722267202288,9.054262436479661
1,unrelated,0.2600542659803608,11.129273176098803,9.14848697482047
2,matched,0.3084445862380027,10.89192971287341,8.919960026097652
2,random,0.29738224839840655,10.92848326664362,8.946501152086816
2,shuffled,0.2673420094252889,11.026352258979568,8.993017958751775
2,unrelated,0.2918128382788499,10.961833290674333,8.986022234291346
3,matched,0.2957478837782018,11.109213981579337,9.07676927969143
3,random,0.294781975198175,11.073720661615306,9.121243422143905
3,shuffled,0.27909406445085094,11.133653589099247,9.113241295147812
3,unrelated,0.2750873987424645,11.19880240114453,9.178267333404818
4,matched,0.2781945242577827,11.176267583292349,9.020877756725454
4,random,0.2661519520046835,11.230396947809393,9.079945083313488
4,shuffled,0.2604646954987939,11.1678135999028,9.009265197352116
4,unrelated,0.2471439581819232,11.324953189534785,9.186732858623177
5,matched,0.2362744701834801,11.457852196153848,9.214480414750179
5,random,0.20780458504157426,11.619795165014688,9.404054923235497
5,shuffled,0.2091373334801628,11.562833990291914,9.302794895431287
5,unrelated,0.21112673915045388,11.58237146994676,9.395737569551502
6,matched,0.2714479509257108,11.25546023879851,9.144584889353105
6,random,0.25837292121325944,11.358117918025144,9.28839591514046
6,shuffled,0.24977987169713223,11.369635359082556,9.276851827644885
6,unrelated,0.23943073658408381,11.412558637120807,9.345809460220025
7,matched,0.2433994840838669,11.340100429411857,9.192476079719318
7,random,0.24210120670674287,11.371081471688463,9.276906768931891
7,shuffled,0.22314698389778548,11.401288678047639,9.300141181285204
7,unrelated,0.24249629522644095,11.339868870426722,9.208076425885817
8,matched,0.30480529867615375,11.386520553543345,9.201146636377512
8,random,0.26966560018061764,11.496899491643713,9.380307914649457
8,shuffled,0.26453775614168007,11.540874152296427,9.437092712461029
8,unrelated,0.2803055521873709,11.508210788424403,9.403294149052005
9,matched,0.27276326434682785,11.30382899474015,9.096854158877603
9,random,0.27349587342662457,11.305627089062021,9.171211995463176
9,shuffled,0.249457238473659,11.418599762987776,9.19446739036296
9,unrelated,0.2694200952156631,11.3195709150292,9.103586182335594
