model,pearson_mean,pearson_median,pearson_std,rmse_mean,mae_mean
A4,0.2672534915057388,0.26373189899267285,0.03777697451356524,11.316283219406015,9.176004652610853
LF0,0.25712659529674564,0.2611066752546836,0.028670006164315105,11.617071174137424,9.412465526472255
LF1,0.27410018389330393,0.27547889430230527,0.024828413696667585,11.247421473685996,9.127663262716963
