seed,fold,model,pearson
0,0,LF0,0.10555496530303918
0,0,LF1,0.11665833081095538
0,0,A4,0.09765510126603555
0,1,LF0,0.267061479723528
0,1,LF1,0.14314970629378965
0,1,A4,0.2737125362144133
0,2,LF0,0.20475322621376763
0,2,LF1,0.2505546679518801
0,2,A4,0.23753010573600186
0,3,LF0,0.3607608874883574
0,3,LF1,0.37454124223709745
0,3,A4,0.3868720708263105
0,4,LF0,0.32715097770078894
0,4,LF1,0.3699804832083834
0,4,A4,0.32715097770078894
1,0,LF0,0.5133941073542583
1,0,LF1,0.501622402422987
1,0,A4,0.509141728152724
1,1,LF0,0.11033173989727155
1,1,LF1,0.0594437434808327
1,1,A4,0.0979364921355603
1,2,LF0,0.15998479994610393
1,2,LF1,0.20547852385907278
1,2,A4,0.15998479994610393
1,3,LF0,0.27330645406979
1,3,LF1,0.29334577207199375
1,3,A4,0.2632385657583108
1,4,LF0,0.28564096850158316
1,4,LF1,0.3348470098780701
1,4,A4,0.28409661219047955
2,0,LF0,0.34178684171813045
2,0,LF1,0.3778203927898254
2,0,A4,0.33729981548513344
2,1,LF0,0.3729702966518845
2,1,LF1,0.38659022929058323
2,1,A4,0.3785460393910671
2,2,LF0,0.2747527387595511
2,2,LF1,0.24625249676290845
2,2,A4,0.2714956718480903
2,3,LF0,0.27429204345693114
2,3,LF1,0.3520643347518803
2,3,A4,0.3217508318711204
2,4,LF0,0.20319696761808456
2,4,LF1,0.17949547759481613
2,4,A4,0.19375360506499184
3,0,LF0,0.1870146713998888
3,0,LF1,0.290376184308319
3,0,A4,0.19965954693931048
3,1,LF0,0.1629460176602222
3,1,LF1,0.2215149881494799
3,1,A4,0.18561426497173536
3,2,LF0,0.10317893453650495
3,2,LF1,0.1257552571864575
3,2,A4,0.10976407246086295
3,3,LF0,0.4899061270126375
3,3,LF1,0.4906255242595954
3,3,A4,0.4570390779848839
3,4,LF0,0.3758687866355158
3,4,LF1,0.3504674649871574
3,4,A4,0.3758687866355158
4,0,LF0,0.08135825557357955
4,0,LF1,0.25658360185210477
4,0,A4,0.08630362401761292
4,1,LF0,0.23758639169098286
4,1,LF1,0.23972245180614343
4,1,A4,0.30627916632298535
4,2,LF0,0.2128464348137583
4,2,LF1,0.2609280928900746
4,2,A4,0.2128464348137583
4,3,LF0,0.2063890058647042
4,3,LF1,0.27265354672923514
4,3,A4,0.22093873705267175
4,4,LF0,0.3814775488145955
4,4,LF1,0.3610849280113556
4,4,A4,0.3642133919496867
5,0,LF0,0.14667586046935505
5,0,LF1,0.21143211474942855
5,0,A4,0.09097419102070717
5,1,LF0,0.24531924490120482
5,1,LF1,0.2911243270441113
5,1,A4,0.2139962341615218
5,2,LF0,0.1108134059198492
5,2,LF1,0.08740632417801672
5,2,A4,0.12026914779553177
5,3,LF0,0.3518988803473181
5,3,LF1,0.3681499842871875
5,3,A4,0.32453372966093164
5,4,LF0,0.23290528970823476
5,4,LF1,0.22325960065865658
5,4,A4,0.25735830527886217
6,0,LF0,0.2871543885110069
6,0,LF1,0.2874546214584777
6,0,A4,0.283054832732251
6,1,LF0,0.22149186066629148
6,1,LF1,0.26126049540099283
6,1,A4,0.2367770589085784
6,2,LF0,0.003547457199040453
6,2,LF1,0.005870938865813916
6,2,A4,0.003934016520359053
6,3,LF0,0.3742927094092726
6,3,LF1,0.3526477629318102
6,3,A4,0.36595541341500415
6,4,LF0,0.40566579951645565
6,4,LF1,0.45000593597145927
6,4,A4,0.4125805069195185
7,0,LF0,0.24521839266393847
7,0,LF1,0.24387752881112512
7,0,A4,0.284967665009053
7,1,LF0,0.19999630794577555
7,1,LF1,0.20524892450632232
7,1,A4,0.21810947518930615
7,2,LF0,0.14173453620580856
7,2,LF1,0.14154048887689757
7,2,A4,0.14728909837108387
7,3,LF0,0.28197665052026394
7,3,LF1,0.30808827870739464
7,3,A4,0.3209195324994107
7,4,LF0,0.22673452254427742
7,4,LF1,0.3182421995175949
7,4,A4,0.22503255337425976
8,0,LF0,0.2993273817691157
8,0,LF1,0.250406662428612
8,0,A4,0.2993273817691157
8,1,LF0,0.23293169935528824
8,1,LF1,0.2648769819242903
8,1,A4,0.3244348859830539
8,2,LF0,0.4109001381293571
8,2,LF1,0.44804527662212645
8,2,A4,0.42107659151935056
8,3,LF0,0.3024639985716796
8,3,LF1,0.3116903827380412
8,3,A4,0.368119415084071
8,4,LF0,0.20447502321050096
8,4,LF1,0.24900718966769886
8,4,A4,0.23171518132682561
9,0,LF0,0.4600307115271421
9,0,LF1,0.43089952992399866
9,0,A4,0.43384849421385996
9,1,LF0,0.18988293333541703
9,1,LF1,0.2314713396711659
9,1,A4,0.17830544095522421
9,2,LF0,0.26162870075129907
9,2,LF1,0.2573763951961373
9,2,A4,0.2796354074647095
9,3,LF0,0.19470533158347236
9,3,LF1,0.13511999569867877
9,3,A4,0.3316786084941778
9,4,LF0,0.3110478716704569
9,4,LF1,0.30894906124415855
9,4,A4,0.33008935088401603
