experiment_id,seed,fold,condition,repeat,pearson,rmse,mae
M3_TRUE,0,0,random,0,0.3611502687142857,4.803253845494582,3.940573092306355
M3_TRUE,0,0,random,1,0.3419971779173112,4.788226866764328,3.9042339794482097
M3_TRUE,0,0,random,2,0.3923007297949286,4.669107492301907,4.004060132248117
M3_TRUE,0,0,random,3,0.3443735737376339,4.7824452712613565,4.108434183037434
M3_TRUE,0,0,random,4,0.3805647642802768,4.922926773523336,4.309948187527436
M3_TRUE,0,0,random,5,0.3298068384587093,4.819984144961358,4.199108988757118
M3_TRUE,0,0,random,6,0.3681351211448661,4.890402936597034,4.291507544333308
M3_TRUE,0,0,random,7,0.391176554273163,6.201428976849551,5.333780264219119
M3_TRUE,0,0,random,8,0.4173458181422174,4.734233463397163,3.8434831613610494
M3_TRUE,0,0,random,9,0.3870971632214314,4.697943633548272,4.034306406786724
M3_TRUE,0,0,random,10,0.3084184014925397,5.965175501825873,5.062738878081402
M3_TRUE,0,0,random,11,0.3519230558004973,5.39623869832696,4.709759251046204
M3_TRUE,0,0,random,12,0.3977773882031927,4.870427280808737,4.278338907000425
M3_TRUE,0,0,random,13,0.3699378798629742,4.727642517296999,4.099635244755702
M3_TRUE,0,0,random,14,0.343802375969675,4.756292209784494,3.956280839192941
M3_TRUE,0,0,random,15,0.4097258747092194,4.794326749952285,4.237778218964505
M3_TRUE,0,0,random,16,0.3549970703771176,4.955749765616014,3.8619512978059216
M3_TRUE,0,0,random,17,0.3928588369107393,4.696917061953042,4.095561227721822
M3_TRUE,0,0,random,18,0.4213041225545888,4.658430047440317,4.065058428835055
M3_TRUE,0,0,random,19,0.3790974814465673,4.683580642518467,4.005522015659033
M3_TRUE,0,0,top,-1,0.3609148414319988,5.302806991221836,4.5648038390744645
M3_TRUE,0,0,bottom,-1,0.3858707278931643,4.67250599397948,3.996263084719709
M3_TRUE,0,0,reference_prior_top,-1,0.3888145790346792,4.961558640477174,4.326481433624597
M3_TRUE,0,1,random,0,0.4361374552039812,5.168315481770695,4.0483798538382505
M3_TRUE,0,1,random,1,0.3769399473514147,4.844058557809468,4.021227848006862
M3_TRUE,0,1,random,2,0.3081090823423262,4.919832092391653,4.0271007558428025
M3_TRUE,0,1,random,3,0.3460359800430018,5.118811095821415,4.46949864454356
M3_TRUE,0,1,random,4,0.4068655882367711,5.100698900592391,4.040830942466759
M3_TRUE,0,1,random,5,0.2806332985096842,4.949648559658291,4.2434769147465765
M3_TRUE,0,1,random,6,0.401039844492808,4.733076812792506,3.9812508187592144
M3_TRUE,0,1,random,7,0.3823029846336919,5.03583516304239,4.011145468644672
M3_TRUE,0,1,random,8,0.3821140352784897,4.899048264355903,4.206692968816447
M3_TRUE,0,1,random,9,0.3864458122723218,4.921236889953919,4.196387760192862
M3_TRUE,0,1,random,10,0.2618047162747184,4.928952206051535,4.074215100547996
M3_TRUE,0,1,random,11,0.3998658129954259,4.823256691052832,3.99686097744753
M3_TRUE,0,1,random,12,0.4390243559504523,5.351935307921786,4.17747190065821
M3_TRUE,0,1,random,13,0.4033731797222757,4.96915699763903,4.33952906614407
M3_TRUE,0,1,random,14,0.3860000795552633,4.999880531122323,4.35492370677914
M3_TRUE,0,1,random,15,0.2379348757810223,5.347141918281139,4.654884790335461
M3_TRUE,0,1,random,16,0.3864075226422558,5.027348911966204,4.0020065401543246
M3_TRUE,0,1,random,17,0.4346900859019302,5.016012540282082,4.021016151887757
M3_TRUE,0,1,random,18,0.4215765740201462,4.679432887675108,3.8988162056021074
M3_TRUE,0,1,random,19,0.3913896489692621,4.749933320096821,3.990108754471329
M3_TRUE,0,1,top,-1,0.4055185288592382,4.712449716569378,3.9687240057564095
M3_TRUE,0,1,bottom,-1,0.2784416484829619,4.963785829533013,4.236685601224397
M3_TRUE,0,1,reference_prior_top,-1,0.3871205360327525,4.780113226630815,3.936304772537078
M3_TRUE,0,2,random,0,0.2378689821675088,4.815442458546159,4.349427533427412
M3_TRUE,0,2,random,1,0.2542487905288291,4.675311420172164,4.014372996155207
M3_TRUE,0,2,random,2,0.264563928866497,4.633041329225121,4.042385150784591
M3_TRUE,0,2,random,3,0.2677770565719294,4.726228067136484,4.255385778405067
M3_TRUE,0,2,random,4,0.2688130057805115,4.653986672072087,4.0957178409956265
M3_TRUE,0,2,random,5,0.239228490990635,4.639355983940087,4.027718152345784
M3_TRUE,0,2,random,6,0.2767928520104152,4.648510912250231,4.105163056168902
M3_TRUE,0,2,random,7,0.2929199919954424,4.67729193474131,4.126299591149927
M3_TRUE,0,2,random,8,0.2356659307000841,4.636701830344779,3.999713314319391
M3_TRUE,0,2,random,9,0.2629345367371002,4.684705627056744,3.9477336713299938
M3_TRUE,0,2,random,10,0.2236508469693974,4.6777157706725445,4.1216652207783
M3_TRUE,0,2,random,11,0.2875526461757524,4.7200681981993,4.23461246000301
M3_TRUE,0,2,random,12,0.2099319460815372,4.668039796616013,4.092093481272434
M3_TRUE,0,2,random,13,0.1979699378969029,4.718891005453685,4.089109315100198
M3_TRUE,0,2,random,14,0.2769620617653375,4.64399501277079,4.131553857694038
