prior_type,pearson_mean,pearson_std,rmse_mean,mae_mean
matched,0.37002594194753874,0.07809492239378553,4.566839020116454,3.797997487107535
random,0.36664293103498574,0.07745786161921664,4.573526122888792,3.804057963313072
shuffled,0.3693464831631676,0.07866081355539939,4.566166676683988,3.803498328441896
unrelated,0.36993785911945937,0.07853244886001108,4.567217014489934,3.797226733093078
