target,seed,fold,model_id,prior_type,lambda_fc,lambda_sc,lambda_l,gamma,lifting,selected_hyperparameter_hash,mean_inner_pearson,mean_inner_rmse,mean_inner_mae,selection_metric,pearson_tie_tolerance
working_memory,1,4,A2_fc_laplacian,matched,0.1,1.0,1.0,0.0,prod,331fd09576665913,0.2725618120213345,11.422614916494306,9.460062048349945,pearson,0.002
working_memory,1,4,A3_msancr,matched,0.1,1.0,1.0,0.5,mean,977017089204073d,0.2830153521793288,11.410766371133406,9.391939968800362,pearson,0.002
working_memory,1,4,A4_iso_same_solver,uniform,1.0,1.0,0.0,0.0,prod,1a9d8a819b9f2772,0.2510506300332455,11.24995477908371,9.348752645395072,pearson,0.002
working_memory,1,4,A4_modality_ridge,none,0.1,1.0,0.0,0.0,prod,4ae14dcae3d7e452,0.2743594664455861,11.467095485384098,9.47053404742698,pearson,0.002
working_memory,2,0,A2_fc_laplacian,matched,0.01,0.1,0.03,0.0,prod,d2b651883bdf1efa,0.305032419337357,11.293381436949062,9.26635363894219,pearson,0.002
working_memory,2,0,A3_msancr,matched,0.01,0.1,0.03,0.25,mean,025bdee7774c0424,0.3080545024103382,11.284321701894862,9.22641524978827,pearson,0.002
working_memory,2,0,A4_iso_same_solver,uniform,0.1,0.1,0.0,0.0,prod,c65f6b667fe32338,0.28076640738144465,10.964678477893026,8.972270046054911,pearson,0.002
working_memory,2,0,A4_modality_ridge,none,0.01,0.1,0.0,0.0,prod,c44c4f59927e2960,0.30776527568874174,11.294839061347348,9.258141529837332,pearson,0.002
working_memory,2,1,A2_fc_laplacian,matched,0.1,1.0,0.5,0.0,prod,314e5f999a0e44bb,0.19807178603874417,11.712245620796757,9.536387263948551,pearson,0.002
working_memory,2,1,A3_msancr,matched,0.1,1.0,0.5,1.0,mean,55fb694ff760fd97,0.20906928808434286,11.808774490758461,9.53106462749495,pearson,0.002
working_memory,2,1,A4_iso_same_solver,uniform,0.1,0.1,0.0,0.0,prod,c65f6b667fe32338,0.1821456785771746,11.75056003081307,9.550385925837007,pearson,0.002
working_memory,2,1,A4_modality_ridge,none,0.1,1.0,0.0,0.0,prod,4ae14dcae3d7e452,0.19879941099842888,11.733502744313533,9.522437101219216,pearson,0.002
working_memory,2,2,A2_fc_laplacian,matched,0.1,10.0,0.1,0.0,prod,d78e2b2676405f70,0.2614882273706465,11.475987832201133,9.206820815056467,pearson,0.002
working_memory,2,2,A3_msancr,matched,0.1,10.0,1.0,0.5,prod,da9e03b7552cd21e,0.2909013522644662,11.413817726589686,9.04888657561325,pearson,0.002
working_memory,2,2,A4_iso_same_solver,uniform,1.0,1.0,0.0,0.0,prod,1a9d8a819b9f2772,0.22002344153912987,11.367490882622617,9.316847480247427,pearson,0.002
working_memory,2,2,A4_modality_ridge,none,0.1,10.0,0.0,0.0,prod,238f293a983fbc70,0.2634352381866053,11.496168064797203,9.220800607616054,pearson,0.002
working_memory,2,3,A2_fc_laplacian,matched,0.01,10.0,1.0,0.0,prod,0c9cf3b8148d7e64,0.3113466682089168,11.492082705905306,9.210528481364372,pearson,0.002
working_memory,2,3,A3_msancr,matched,0.01,10.0,1.0,0.1,prod,74a2e0a48e06c9df,0.31344684444516774,11.492512820702947,9.194526905924908,pearson,0.002
working_memory,2,3,A4_iso_same_solver,uniform,0.1,0.1,0.0,0.0,prod,c65f6b667fe32338,0.19533866490273244,11.617625139522113,9.304853560127091,pearson,0.002
working_memory,2,3,A4_modality_ridge,none,0.01,1.0,0.0,0.0,prod,e94e3226c41a6180,0.31040483584821693,11.546538456845012,9.342229621274454,pearson,0.002
working_memory,2,4,A2_fc_laplacian,matched,0.1,1.0,0.1,0.0,prod,60384e39417b2449,0.24626659894030123,11.71040399450598,9.450356258531013,pearson,0.002
working_memory,2,4,A3_msancr,matched,0.1,1.0,0.5,0.5,prod,a893a27bbbe1f511,0.2726502502245358,11.629594626553635,9.360219218113356,pearson,0.002
working_memory,2,4,A4_iso_same_solver,uniform,1.0,1.0,0.0,0.0,prod,1a9d8a819b9f2772,0.2230843962268159,11.409399591439621,9.32419792560574,pearson,0.002
working_memory,2,4,A4_modality_ridge,none,0.1,1.0,0.0,0.0,prod,4ae14dcae3d7e452,0.24658734154123474,11.731703784800166,9.441377834042052,pearson,0.002
