comparison,n_seeds,mean_delta_pearson,median_delta_pearson,positive_pearson,mean_delta_rmse,median_delta_rmse,positive_rmse,mean_delta_mae,median_delta_mae,positive_mae
A3 matched - A4,3,0.011452224567896982,0.012905816248607926,3,-0.09360520346707564,-0.06341580355366716,1,-0.09844689537122105,-0.0963829829563192,1
A3 matched - A2,3,0.006848443363245045,0.0040778024898801,3,0.013831018707326947,-0.03382612304934618,1,-0.024846920400614536,-0.0461168858490737,1
A3 matched - A3 unrelated-fixed,3,0.026125705554671325,0.02797020247119919,3,-0.16332716360533084,-0.19176391127553494,0,-0.17732520158233575,-0.17498959928144053,0
A3 matched - A3 shuffled-fixed,3,0.016310152932895495,0.02091472865213201,3,-0.08243455026340978,-0.12532306735740306,1,-0.055030156892061775,-0.07904399205762225,1
A3 matched - A3 random-fixed,3,0.01572492986829141,0.012363619785059121,3,-0.09765248050567266,-0.07719870361024483,0,-0.08479931929780153,-0.13091043549757053,1
