model_id,prior_type,seed,n_folds,n_fold_pairs,wm_alignment,rank_stability,top10_jaccard
A4_modality_ridge,none,0,5,10,0.10113889013256924,0.6295413831545765,0.25809990662931837
A4_modality_ridge,none,1,5,10,0.1566507967845679,0.6931572675200861,0.27259570494864616
A4_modality_ridge,none,2,5,10,0.07709132174479247,0.726801983623573,0.26643323996265167
A4_iso_same_solver,uniform,0,5,10,0.1821193998156843,0.6404697651174412,0.3527203188967895
A4_iso_same_solver,uniform,1,5,10,0.16629336699841502,0.6181424672279245,0.29817927170868347
A4_iso_same_solver,uniform,2,5,10,0.1224551791571323,0.6620013070387882,0.3698717948717948
A2_fc_laplacian,matched,0,5,10,-0.11064681981442699,0.6971806404490063,0.25891690009337065
A2_fc_laplacian,matched,1,5,10,0.02164481192261722,0.643567447045708,0.21653766769865843
A2_fc_laplacian,matched,2,5,10,-0.13689710730555044,0.7670618536885403,0.32002801120448177
A3_msancr,matched,0,5,10,0.4644967559974929,0.6848275862068967,0.28375378491477565
A3_msancr,matched,1,5,10,0.5841598752083992,0.7538369276900012,0.40860805860805866
A3_msancr,matched,2,5,10,0.3583184630961772,0.7909083919578672,0.38507326007326004
A3_msancr,unrelated,0,5,10,0.32790739847934675,0.6525537231384309,0.20989729225023343
A3_msancr,unrelated,1,5,10,0.4460656212298457,0.7807019567139506,0.2793417366946779
A3_msancr,unrelated,2,5,10,0.23148785133662342,0.7705923961096375,0.3081878905408317
A3_msancr,shuffled,0,5,10,-0.027995998160174736,0.6739338023296045,0.22981964715710843
A3_msancr,shuffled,1,5,10,-0.045939349514785996,0.7768369661323185,0.35272031889678945
A3_msancr,shuffled,2,5,10,-0.07727674099170359,0.8066843501326261,0.3146415246260447
A3_msancr,random,0,5,10,0.06495290075509594,0.6817852612155461,0.3300132873662285
A3_msancr,random,1,5,10,0.11553927205968781,0.7607227155652942,0.4553113553113553
A3_msancr,random,2,5,10,0.023816756047223504,0.763529004728405,0.39278385013679135
