model_id,prior_type,evaluation_type,seed,pearson,rmse,mae,n_folds
A2_fc_laplacian,matched,retuned_base,0,0.233936567818891,11.954887496903305,9.781726050098055,5
A2_fc_laplacian,matched,retuned_base,1,0.2780341806210783,11.143358997612168,9.076771819120323,5
A2_fc_laplacian,matched,retuned_base,2,0.3062435409688028,11.39918981487995,9.222108306142943,5
A3_msancr,matched,retuned_base,0,0.2380143703087711,11.92106137385396,9.73560916424898,5
A3_msancr,matched,retuned_base,1,0.29133434517324597,11.1093215156728,8.993407567179975,5
A3_msancr,matched,retuned_base,2,0.3094109040164902,11.508546475990645,9.27704868273052,5
A3_msancr,random,fixed_prior_swap,0,0.22766802958304252,11.954676829056414,9.721001792486877,5
A3_msancr,random,fixed_prior_swap,1,0.27897072538818685,11.186520219283045,9.124318002677546,5
A3_msancr,random,fixed_prior_swap,2,0.28494607492240365,11.690689758694964,9.415143576888457,5
A3_msancr,shuffled,fixed_prior_swap,0,0.21576891175532822,12.046384441211362,9.814653156306603,5
A3_msancr,shuffled,fixed_prior_swap,1,0.27041961652111396,11.238449246287761,9.120214289481865,5
A3_msancr,shuffled,fixed_prior_swap,2,0.3036406324233786,11.50139932880851,9.236288439047193,5
A3_msancr,unrelated,fixed_prior_swap,0,0.20318641954292316,12.131585674837876,9.910598763530421,5
A3_msancr,unrelated,fixed_prior_swap,1,0.2757553817462791,11.197014794229341,9.128619629070817,5
A3_msancr,unrelated,fixed_prior_swap,2,0.281440701545291,11.70031038726618,9.498822626305245,5
A4_iso_same_solver,uniform,retuned_base,0,0.22662594217320362,11.242527842876282,9.272272968991036,5
A4_iso_same_solver,uniform,retuned_base,1,0.22248483755553342,11.43426693720279,9.348994332010069,5
A4_iso_same_solver,uniform,retuned_base,2,0.2520766433821402,11.238690677055164,9.212321859249887,5
A4_modality_ridge,none,retuned_base,0,0.2191157623449405,12.200818061687103,9.962261412385443,5
A4_modality_ridge,none,retuned_base,1,0.27842852892463804,11.172737319226467,9.089790550136295,5
A4_modality_ridge,none,retuned_base,2,0.30685865452523775,11.44618959500506,9.249354137751402,5
