experiment_id,experiment_name,prior_type,prior_source,seed,fold,split_id,n_train,n_val,n_test,best_epoch,best_val_metric,runtime_seconds,target_train_mean,target_train_std,group_aware,pearson,rmse,mae,alignment_edge_diagonal_pearson,alignment_edge_diagonal_spearman,alignment_edge_diagonal_topk_jaccard,reference_alignment_node_pearson,reference_alignment_node_spearman,reference_alignment_node_topk_jaccard,reference_alignment_module_pearson,reference_alignment_module_spearman,reference_alignment_module_topk_jaccard,reference_alignment_edge_diagonal_pearson,reference_alignment_edge_diagonal_spearman,reference_alignment_edge_diagonal_topk_jaccard
E7,edge_true,edge,true_working_memory,0,0,seed00_fold00,279,50,83,7,4.938549518585205,52.019256353378296,16.845878136200717,4.8357883123268195,False,0.049544185400009155,5.061438083648682,4.385759353637695,0.5800808668136597,0.5537119061496175,0.3333333333333333,0.5684539675712585,0.5537119061496175,0.3333333333333333,0.6957319378852844,0.7619047619047621,1.0,0.5800808668136597,0.5537119061496175,0.3333333333333333
E7,edge_true,edge,true_working_memory,0,1,seed00_fold01,279,50,83,33,4.213682651519775,71.77546381950378,16.842293906810035,4.845668698152689,False,0.18021363019943237,5.169295787811279,4.314675331115723,0.6757681369781494,0.6750427029090468,0.17647058823529413,0.6781914830207825,0.6750427029090468,0.17647058823529413,0.9282710552215576,0.8333333333333335,1.0,0.6757681369781494,0.6750427029090468,0.17647058823529413
E7,edge_true,edge,true_working_memory,0,2,seed00_fold02,280,50,82,22,4.860245704650879,50.99325776100159,16.917857142857144,4.921204380130987,False,0.24601759016513824,4.599521160125732,3.802980422973633,0.7299895286560059,0.6829982476399697,0.3333333333333333,0.7223466634750366,0.6829982476399697,0.3333333333333333,0.955056369304657,0.7380952380952381,1.0,0.7299895286560059,0.6829982476399697,0.3333333333333333
E7,edge_true,edge,true_working_memory,0,3,seed00_fold03,280,50,82,43,4.276758670806885,74.9723391532898,16.90714285714286,4.856360231065809,False,0.11346442997455597,5.785297870635986,4.616975784301758,0.7522027492523193,0.6939951776446729,0.25,0.7447348237037659,0.6939951776446729,0.25,0.9809095859527588,1.0,1.0,0.7522027492523193,0.6939951776446729,0.25
E7,edge_true,edge,true_working_memory,0,4,seed00_fold04,280,50,82,16,4.85652494430542,43.56296396255493,16.8,5.010275156401806,False,0.2739843428134918,4.317958831787109,3.4605016708374023,0.7508147358894348,0.7100111424607869,0.3333333333333333,0.7471775412559509,0.7100111424607869,0.3333333333333333,0.911552369594574,0.7619047619047621,1.0,0.7508147358894348,0.7100111424607869,0.3333333333333333
E7,edge_true,edge,true_working_memory,1,0,seed01_fold00,279,50,83,11,5.069825172424316,42.95408749580383,16.93548387096774,4.762020711139765,False,0.150962695479393,5.049879550933838,4.527342796325684,0.7773552536964417,0.7079585819558217,0.42857142857142855,0.7686997652053833,0.7079585819558217,0.42857142857142855,0.922795295715332,0.7380952380952381,1.0,0.7773552536964417,0.7079585819558217,0.42857142857142855
E7,edge_true,edge,true_working_memory,1,1,seed01_fold01,279,50,83,33,3.983696937561035,68.81462383270264,16.620071684587813,4.945483294156645,False,0.0089010214433074,5.618031978607178,5.049180507659912,0.7700780034065247,0.6796622125613403,0.5384615384615384,0.7471994161605835,0.6796622125613403,0.5384615384615384,0.902863085269928,0.8095238095238096,1.0,0.7700780034065247,0.6796622125613403,0.5384615384615384
E7,edge_true,edge,true_working_memory,1,2,seed01_fold02,280,50,82,3,5.065672397613525,42.18231964111328,16.932142857142857,4.8740239734615125,False,0.22132457792758942,4.876469135284424,4.0259528160095215,0.7317414283752441,0.6645052268373285,0.42857142857142855,0.7198840379714966,0.6645052268373285,0.42857142857142855,0.9386928081512451,0.7619047619047621,1.0,0.7317414283752441,0.6645052268373285,0.42857142857142855
E7,edge_true,edge,true_working_memory,1,3,seed01_fold03,280,50,82,13,4.74031925201416,39.84386897087097,17.017857142857142,4.8531693305530155,False,0.14059047400951385,5.01146936416626,4.075765132904053,0.760455310344696,0.712178566448998,0.42857142857142855,0.7542834281921387,0.712178566448998,0.42857142857142855,0.9314453601837158,0.7857142857142858,1.0,0.760455310344696,0.712178566448998,0.42857142857142855
E7,edge_true,edge,true_working_memory,1,4,seed01_fold04,280,50,82,10,4.849567890167236,49.40364718437195,16.867857142857144,4.953393755182153,False,0.06816735118627548,4.616227149963379,3.894205331802368,0.7477687001228333,0.6960727084720827,0.42857142857142855,0.7389702796936035,0.6960727084720827,0.42857142857142855,0.8996739387512207,0.6904761904761906,1.0,0.7477687001228333,0.6960727084720827,0.42857142857142855
