method_id,method_name,seed,wm_alignment,rank_stability,top10_jaccard
M2_TRUE,Meta-GAT attention mass (true prior),0,0.3999396664698651,0.938533810018068,0.7121212121212122
M2_TRUE,Meta-GAT attention mass (true prior),1,0.4130281106825473,0.9463337561988237,0.7454545454545455
M2_TRUE,Meta-GAT attention mass (true prior),2,0.41085280902204985,0.9424275883283162,0.6433566433566434
M2_TRUE,Meta-GAT attention mass (true prior),3,0.42971527776597823,0.9663975704455465,0.7606060606060606
M2_TRUE,Meta-GAT attention mass (true prior),4,0.38112203147544116,0.8711951716449468,0.5125188536953242
M2_TRUE,Meta-GAT attention mass (true prior),5,0.4801063872725432,0.9604759158882097,0.8121212121212121
M2_TRUE,Meta-GAT attention mass (true prior),6,0.43143123832438696,0.9641394687271749,0.7372960372960373
M2_TRUE,Meta-GAT attention mass (true prior),7,0.3292506812543468,0.9300941836773922,0.6918414918414919
M2_TRUE,Meta-GAT attention mass (true prior),8,0.41434354726894085,0.9523230692346134,0.7046620046620047
M2_TRUE,Meta-GAT attention mass (true prior),9,0.3348250560369307,0.9467812247722293,0.6766899766899767
M2_RANDOM,Meta-GAT attention mass (random prior),0,-0.2674651142097571,0.9498796755468419,0.5895104895104895
M2_RANDOM,Meta-GAT attention mass (random prior),1,-0.27324724207508194,0.959639411063699,0.6766899766899768
M2_RANDOM,Meta-GAT attention mass (random prior),2,-0.28149843542375164,0.9625364240956445,0.706993006993007
M2_RANDOM,Meta-GAT attention mass (random prior),3,-0.2703317072264236,0.9736108868642603,0.7477855477855478
M2_RANDOM,Meta-GAT attention mass (random prior),4,-0.2712845747309183,0.9287556221889057,0.5386363636363637
M2_RANDOM,Meta-GAT attention mass (random prior),5,-0.2874114077786874,0.9589735901280129,0.7272727272727273
M2_RANDOM,Meta-GAT attention mass (random prior),6,-0.27261898876237006,0.9744527736131934,0.8666666666666666
M2_RANDOM,Meta-GAT attention mass (random prior),7,-0.3027511762629954,0.9348525737131436,0.5681318681318681
M2_RANDOM,Meta-GAT attention mass (random prior),8,-0.2914825691500924,0.9723238380809598,0.6282051282051283
M2_RANDOM,Meta-GAT attention mass (random prior),9,-0.2851421048749012,0.9464344750701571,0.5999000999001
M3_TRUE,Two-stage KRR gradient saliency (true prior),0,0.0015171967917478781,0.750879175796717,0.4668914418914419
M3_TRUE,Two-stage KRR gradient saliency (true prior),1,0.01618875944743222,0.8408011378925921,0.5600732600732601
M3_TRUE,Two-stage KRR gradient saliency (true prior),2,0.036247918873813095,0.7902218121708378,0.320489477842419
M3_TRUE,Two-stage KRR gradient saliency (true prior),3,0.025369847603947338,0.8643040018452313,0.47545787545787543
M3_TRUE,Two-stage KRR gradient saliency (true prior),4,-0.0602583821238639,0.7129719755506863,0.33003663003663003
M3_TRUE,Two-stage KRR gradient saliency (true prior),5,-0.029460985233308295,0.7755314650367124,0.4553113553113553
M3_TRUE,Two-stage KRR gradient saliency (true prior),6,0.012948610406991074,0.7572982739399532,0.3740842490842491
M3_TRUE,Two-stage KRR gradient saliency (true prior),7,0.05220295610316171,0.7955906662053589,0.4758241758241758
M3_TRUE,Two-stage KRR gradient saliency (true prior),8,0.003959294326852255,0.757137585053627,0.41489980607627663
M3_TRUE,Two-stage KRR gradient saliency (true prior),9,-0.013254247153715797,0.6227109522161997,0.3175895999425411
M3_RANDOM,Two-stage KRR gradient saliency (random prior),0,-0.1596172927576383,0.5703486718179371,0.21760604376703446
M3_RANDOM,Two-stage KRR gradient saliency (random prior),1,-0.16502186934759733,0.7185069003959559,0.2214863138237751
M3_RANDOM,Two-stage KRR gradient saliency (random prior),2,-0.17711949116566855,0.7502271940952602,0.31349206349206354
M3_RANDOM,Two-stage KRR gradient saliency (random prior),3,-0.2027530253746333,0.7115695998154768,0.24910069290874243
M3_RANDOM,Two-stage KRR gradient saliency (random prior),4,-0.18432492741034873,0.7329812017068389,0.2726836888601594
M3_RANDOM,Two-stage KRR gradient saliency (random prior),5,-0.23773245186824904,0.7269488332756698,0.3276165011459129
M3_RANDOM,Two-stage KRR gradient saliency (random prior),6,-0.15266155973740642,0.6778718333141123,0.2869460604754722
M3_RANDOM,Two-stage KRR gradient saliency (random prior),7,-0.20890771045083506,0.746670510898397,0.3045518207282913
M3_RANDOM,Two-stage KRR gradient saliency (random prior),8,-0.20747541275539957,0.7069572905854765,0.19055727554179566
M3_RANDOM,Two-stage KRR gradient saliency (random prior),9,-0.17975635721584263,0.543422135086303,0.21457688338493291
E1,"MetaSFC (ours, AAAI)",0,0.715618478068998,0.9398477684234805,0.6918414918414919
E1,"MetaSFC (ours, AAAI)",1,0.7082052887415768,0.9447899127359397,0.5939060939060938
E1,"MetaSFC (ours, AAAI)",2,0.703485897799504,0.8795302348825587,0.5719280719280718
E1,"MetaSFC (ours, AAAI)",3,0.7065292806990797,0.9262238111713375,0.5070929070929071
E1,"MetaSFC (ours, AAAI)",4,0.7147115559578017,0.8814561949794333,0.5975690975690976
E1,"MetaSFC (ours, AAAI)",5,0.7126749764592014,0.9600761157882596,0.5719280719280719
E1,"MetaSFC (ours, AAAI)",6,0.6976018910186041,0.8873978395417677,0.5810855810855811
E1,"MetaSFC (ours, AAAI)",7,0.7063285193066233,0.879359550993734,0.7636363636363637
E1,"MetaSFC (ours, AAAI)",8,0.7053716565505375,0.9085372698266252,0.7372960372960373
E1,"MetaSFC (ours, AAAI)",9,0.7191662614819594,0.9226671279744743,0.6377289377289377
