prior_type,lambda,pearson_mean,rmse_mean,mae_mean,alignment_mean
node,0.01,0.1670090907977687,4.9424567222595215,4.129784345626831,0.7242383360862732
node,0.05,0.17781283458073935,4.930312368604872,4.137002600563897,0.7694484856393602
node,0.1,0.16571418113178676,4.946329434712728,4.13049234284295,0.7762144539091322
