target,seed,fold,model_id,prior_type,evaluation_type,n_train,n_test,test_indices_hash,selected_from_prior,selected_hyperparameter_hash,coefficient_artifact,lambda_fc,lambda_sc,lambda_l,gamma,lifting,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard,pearson,rmse,mae
fluid_intelligence,0,4,A3_msancr,unrelated,fixed_prior_swap,330,82,70b6bb492967e5c5,matched,ea920ae231ec257d,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__unrelated/seed00_fold04.npz,10.0,0.1,0.03,1.0,prod,0.7706633917207837,0.7633083141935816,0.6666666666666666,0.4185470377717868,4.677565319603048,3.666121848210672
fluid_intelligence,1,0,A3_msancr,random,fixed_prior_swap,329,83,fd88b3fdabd38c48,matched,21f7ef998b301203,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__random/seed01_fold00.npz,1.0,0.1,0.03,0.1,mean,-0.07542543074448062,0.033906720775778144,0.0,0.2254242281311455,4.598719340598425,3.6924831083903626
fluid_intelligence,1,0,A3_msancr,shuffled,fixed_prior_swap,329,83,fd88b3fdabd38c48,matched,21f7ef998b301203,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__shuffled/seed01_fold00.npz,1.0,0.1,0.03,0.1,mean,-0.10429181285906428,-0.020563208719030585,0.0,0.22454059034836477,4.600526300962342,3.695133005995261
fluid_intelligence,1,0,A3_msancr,unrelated,fixed_prior_swap,329,83,fd88b3fdabd38c48,matched,21f7ef998b301203,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__unrelated/seed01_fold00.npz,1.0,0.1,0.03,0.1,mean,0.036198699461467615,0.18098633487496554,0.05263157894736842,0.22524828424002966,4.599053889470046,3.6931315565830056
fluid_intelligence,1,1,A3_msancr,random,fixed_prior_swap,329,83,5a27629dcbb318ac,matched,dab7285bcb802986,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__random/seed01_fold01.npz,100.0,1.0,0.03,0.5,prod,0.18643408419131255,0.27743546265356744,0.0,0.3304857022783884,4.412192432590675,3.7570386212888733
fluid_intelligence,1,1,A3_msancr,shuffled,fixed_prior_swap,329,83,5a27629dcbb318ac,matched,dab7285bcb802986,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__shuffled/seed01_fold01.npz,100.0,1.0,0.03,0.5,prod,-0.021122535421387763,-0.01533847901260022,0.0,0.33155057632699503,4.409980914098713,3.7541043964982133
fluid_intelligence,1,1,A3_msancr,unrelated,fixed_prior_swap,329,83,5a27629dcbb318ac,matched,dab7285bcb802986,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__unrelated/seed01_fold01.npz,100.0,1.0,0.03,0.5,prod,0.7034940547231837,0.709803068913402,0.42857142857142855,0.3308425182456176,4.411694496233361,3.7547857844792487
fluid_intelligence,1,2,A3_msancr,random,fixed_prior_swap,330,82,a3a96f37370dde13,matched,6a978f75ca4fd205,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__random/seed01_fold02.npz,1.0,1.0,0.03,1.0,mean,0.09928832922848577,0.13346599046234375,0.1111111111111111,0.4368378708124163,4.8006659796849585,4.159508214055904
fluid_intelligence,1,2,A3_msancr,shuffled,fixed_prior_swap,330,82,a3a96f37370dde13,matched,6a978f75ca4fd205,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__shuffled/seed01_fold02.npz,1.0,1.0,0.03,1.0,mean,-0.15993163520605289,-0.11464307206650377,0.0,0.410842941563474,4.844685078600043,4.198026740594136
fluid_intelligence,1,2,A3_msancr,unrelated,fixed_prior_swap,330,82,a3a96f37370dde13,matched,6a978f75ca4fd205,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__unrelated/seed01_fold02.npz,1.0,1.0,0.03,1.0,mean,0.7497046719105163,0.7257666632970816,0.5384615384615384,0.45606100410706785,4.764149284819772,4.13733545580748
fluid_intelligence,1,3,A3_msancr,random,fixed_prior_swap,330,82,1bb495d850934d97,matched,6a978f75ca4fd205,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__random/seed01_fold03.npz,1.0,1.0,0.03,1.0,mean,0.09316508107161209,0.10257680190992492,0.05263157894736842,0.22961615556488973,5.101943579923648,4.373283487991364
fluid_intelligence,1,3,A3_msancr,shuffled,fixed_prior_swap,330,82,1bb495d850934d97,matched,6a978f75ca4fd205,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__shuffled/seed01_fold03.npz,1.0,1.0,0.03,1.0,mean,-0.14098504894606032,-0.1295146439192236,0.05263157894736842,0.24014541967394593,5.083050933925034,4.384640988917007
fluid_intelligence,1,3,A3_msancr,unrelated,fixed_prior_swap,330,82,1bb495d850934d97,matched,6a978f75ca4fd205,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__unrelated/seed01_fold03.npz,1.0,1.0,0.03,1.0,mean,0.6946038417549074,0.6769960881423008,0.5384615384615384,0.22161976834127406,5.148494909731033,4.419310208708964
fluid_intelligence,1,4,A3_msancr,random,fixed_prior_swap,330,82,d46f3f6926276995,matched,bdf02da57dc7953f,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__random/seed01_fold04.npz,10.0,1.0,5.0,0.1,mean,-0.035850225214487615,-0.03979129448501471,0.05263157894736842,0.33230787133538287,4.605098843617813,3.9265125626444433
fluid_intelligence,1,4,A3_msancr,shuffled,fixed_prior_swap,330,82,d46f3f6926276995,matched,bdf02da57dc7953f,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__shuffled/seed01_fold04.npz,10.0,1.0,5.0,0.1,mean,-0.009211867676583663,0.006220283815927435,0.0,0.3325767863385879,4.60449699133168,3.9258107694722693
fluid_intelligence,1,4,A3_msancr,unrelated,fixed_prior_swap,330,82,d46f3f6926276995,matched,bdf02da57dc7953f,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__unrelated/seed01_fold04.npz,10.0,1.0,5.0,0.1,mean,-0.046239476450940564,-0.014103683217875172,0.0,0.33264857241840556,4.604643360810411,3.9265070520239735
fluid_intelligence,2,0,A3_msancr,random,fixed_prior_swap,329,83,a26c3f775a4bf796,matched,c2e1d00372ea09e1,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__random/seed02_fold00.npz,1.0,1.0,0.03,0.1,mean,0.04205618761525269,0.08382719951439678,0.0,0.3988578923395402,4.797496115855138,4.122692860797606
fluid_intelligence,2,0,A3_msancr,shuffled,fixed_prior_swap,329,83,a26c3f775a4bf796,matched,c2e1d00372ea09e1,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__shuffled/seed02_fold00.npz,1.0,1.0,0.03,0.1,mean,-0.003316624712994636,0.03600973236366924,0.0,0.40013429096750525,4.795329532026442,4.120498228046183
fluid_intelligence,2,0,A3_msancr,unrelated,fixed_prior_swap,329,83,a26c3f775a4bf796,matched,c2e1d00372ea09e1,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__unrelated/seed02_fold00.npz,1.0,1.0,0.03,0.1,mean,0.18684719575138042,0.24496033325229863,0.1111111111111111,0.4024083482369114,4.791187520588336,4.117623626311718
fluid_intelligence,2,1,A3_msancr,random,fixed_prior_swap,329,83,1ad80dbf1d2cbf53,matched,b5b92eebcf83ad30,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__random/seed02_fold01.npz,10.0,1.0,0.03,1.0,mean,0.1280778140743088,0.16021861310243363,0.05263157894736842,0.22733564737864942,4.607444867094147,4.0164933939008565
fluid_intelligence,2,1,A3_msancr,shuffled,fixed_prior_swap,329,83,1ad80dbf1d2cbf53,matched,b5b92eebcf83ad30,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__shuffled/seed02_fold01.npz,10.0,1.0,0.03,1.0,mean,-0.15563249099557477,-0.10878936825213532,0.0,0.23780639751194618,4.593399884585381,4.014984194672674
fluid_intelligence,2,1,A3_msancr,unrelated,fixed_prior_swap,329,83,1ad80dbf1d2cbf53,matched,b5b92eebcf83ad30,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__unrelated/seed02_fold01.npz,10.0,1.0,0.03,1.0,mean,0.6872243603557552,0.6399753667217004,0.42857142857142855,0.22943825053130415,4.607076485040823,4.017727177346934
fluid_intelligence,2,2,A3_msancr,random,fixed_prior_swap,330,82,87a120d2fb58d4fa,matched,0932c414b36049d3,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__random/seed02_fold02.npz,1.0,0.1,0.03,1.0,mean,0.06434347588622824,0.10267712906824636,0.05263157894736842,0.4318153684704343,4.247904298268791,3.5271760977010223
fluid_intelligence,2,2,A3_msancr,shuffled,fixed_prior_swap,330,82,87a120d2fb58d4fa,matched,0932c414b36049d3,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__shuffled/seed02_fold02.npz,1.0,0.1,0.03,1.0,mean,-0.1437287766740477,-0.11789598723823258,0.0,0.40796457890289894,4.3042962456680165,3.562280352543233
fluid_intelligence,2,2,A3_msancr,unrelated,fixed_prior_swap,330,82,87a120d2fb58d4fa,matched,0932c414b36049d3,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__unrelated/seed02_fold02.npz,1.0,0.1,0.03,1.0,mean,0.6907767438050565,0.6715089643294913,0.42857142857142855,0.4147499161536171,4.289819451558173,3.557771344974838
fluid_intelligence,2,3,A3_msancr,random,fixed_prior_swap,330,82,f2d768095732cd28,matched,79668b08f5849a3b,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__random/seed02_fold03.npz,100.0,1.0,0.03,0.1,mean,0.035785585060009666,0.09742152946694785,0.1111111111111111,0.47923079355106146,4.604556014221668,3.8432598167639864
fluid_intelligence,2,3,A3_msancr,shuffled,fixed_prior_swap,330,82,f2d768095732cd28,matched,79668b08f5849a3b,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__shuffled/seed02_fold03.npz,100.0,1.0,0.03,0.1,mean,-0.008737406254058073,0.06084456278507679,0.1111111111111111,0.4791248416683742,4.60466502547693,3.8432505875260663
fluid_intelligence,2,3,A3_msancr,unrelated,fixed_prior_swap,330,82,f2d768095732cd28,matched,79668b08f5849a3b,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__unrelated/seed02_fold03.npz,100.0,1.0,0.03,0.1,mean,0.15966320907205606,0.22937875381761194,0.17647058823529413,0.4796322368878307,4.604020776796783,3.8429160339422643
fluid_intelligence,2,4,A3_msancr,random,fixed_prior_swap,330,82,0748e83f7d70cde3,matched,497bf14fdb07a102,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__random/seed02_fold04.npz,100.0,1.0,5.0,1.0,mean,0.1805144358588755,0.24908146421719352,0.0,0.316490515143623,4.606774725519024,3.969653784881181
fluid_intelligence,2,4,A3_msancr,shuffled,fixed_prior_swap,330,82,0748e83f7d70cde3,matched,497bf14fdb07a102,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__shuffled/seed02_fold04.npz,100.0,1.0,5.0,1.0,mean,-0.03998545782358475,-0.03493314478014334,0.0,0.31544990079327256,4.608354095064398,3.971291587702892
fluid_intelligence,2,4,A3_msancr,unrelated,fixed_prior_swap,330,82,0748e83f7d70cde3,matched,497bf14fdb07a102,outputs/iclr/msancr_fluid_verification/coefficients/A3_msancr__unrelated/seed02_fold04.npz,100.0,1.0,5.0,1.0,mean,0.6595813288668329,0.6358388008093715,0.25,0.3173213204496183,4.605104400535453,3.968066773527391
