model_id,prior_type,seed,n_folds,n_fold_pairs,wm_alignment,rank_stability,top10_jaccard
A4_modality_ridge,none,0,5,10,0.12367020107331558,0.39030638526890404,0.23243402624207574
A4_modality_ridge,none,1,5,10,0.09251244443554409,0.4038757544304771,0.26328197945845006
A4_modality_ridge,none,2,5,10,0.12179639845482033,0.46810210279475656,0.24857609710550888
A4_iso_same_solver,uniform,0,5,10,0.11323077437628701,0.5840994887171799,0.2706349206349207
A4_iso_same_solver,uniform,1,5,10,0.08442839071695352,0.573968400415177,0.21683006535947716
A4_iso_same_solver,uniform,2,5,10,0.11238648275164373,0.5600838042517202,0.28431372549019607
A2_fc_laplacian,matched,0,5,10,0.045137960276174165,0.43357321339330335,0.28391690009337067
A2_fc_laplacian,matched,1,5,10,0.043237918247041006,0.37303732749010116,0.26328197945845006
A2_fc_laplacian,matched,2,5,10,0.08260629517236237,0.44892246184600004,0.24857609710550888
A3_msancr,matched,0,5,10,0.6334957757888807,0.49399146580555875,0.27635954516759464
A3_msancr,matched,1,5,10,0.5731551640375261,0.47873294122169685,0.17679615705931492
A3_msancr,matched,2,5,10,0.6153905824487247,0.595031714911775,0.21315298049044182
A3_msancr,unrelated,0,5,10,0.49294668794904534,0.48948602621766046,0.2834859584859585
A3_msancr,unrelated,1,5,10,0.4558896944019749,0.4915726752008611,0.21592442645074228
A3_msancr,unrelated,2,5,10,0.48433244378609475,0.6049406066197671,0.2823119261199757
A3_msancr,shuffled,0,5,10,-0.05083114063722836,0.36912928151308966,0.17336601307189542
A3_msancr,shuffled,1,5,10,-0.054767823980286144,0.4239903125360396,0.17560568086883876
A3_msancr,shuffled,2,5,10,-0.032952841024353044,0.4483681236304925,0.20542655658754733
A3_msancr,random,0,5,10,0.11893398745317332,0.39433898435397685,0.15513415892672858
A3_msancr,random,1,5,10,0.1015187362633199,0.45254834121400833,0.18439481055580126
A3_msancr,random,2,5,10,0.1386451870738436,0.5554691884826818,0.20985060690943044
