seed,outer_fold,inner_fold,stage,model_id,prior_type,candidate_id,cache_key,lambda_fc,lambda_sc,lambda_l,gamma,lifting,n_inner_train,n_inner_val,inner_train_indices_hash,inner_val_indices_hash,scaler_fc_mean_hash,scaler_sc_mean_hash,pearson,rmse,mae
0,0,1,C,A2_fc_laplacian,matched,354cb03fb9cdcf76,matched|g=0|lift=prod,10.0,10.0,0.03,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.14176974851903942,5.064087775923291,4.3521699773194555
0,0,2,C,A2_fc_laplacian,matched,354cb03fb9cdcf76,matched|g=0|lift=prod,10.0,10.0,0.03,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.2698003060579047,4.553114000882325,3.843081224853558
0,0,0,C,A2_fc_laplacian,matched,9744d2ae41f7f52c,matched|g=0|lift=prod,100.0,1.0,0.03,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.2937657798933776,5.04786505278335,4.379680182228907
0,0,1,C,A2_fc_laplacian,matched,9744d2ae41f7f52c,matched|g=0|lift=prod,100.0,1.0,0.03,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.3563673377748855,4.842802883142886,4.151663759157132
0,0,2,C,A2_fc_laplacian,matched,9744d2ae41f7f52c,matched|g=0|lift=prod,100.0,1.0,0.03,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.24204920348838854,4.535633792012664,3.8102271031545247
0,0,0,C,A2_fc_laplacian,matched,b183dcf3d5d1a452,matched|g=0|lift=prod,100.0,10.0,0.03,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.23379241432836545,5.184683145233351,4.50381520488277
0,0,1,C,A2_fc_laplacian,matched,b183dcf3d5d1a452,matched|g=0|lift=prod,100.0,10.0,0.03,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.2648960988203224,5.031853803741873,4.304131266808366
0,0,2,C,A2_fc_laplacian,matched,b183dcf3d5d1a452,matched|g=0|lift=prod,100.0,10.0,0.03,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.2796866425070006,4.587595192432435,3.849622877426867
0,0,0,C,A2_fc_laplacian,matched,c75af008de3eae88,matched|g=0|lift=prod,100.0,0.1,0.03,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.31130531596556765,5.023270756080158,4.296551689101831
0,0,1,C,A2_fc_laplacian,matched,c75af008de3eae88,matched|g=0|lift=prod,100.0,0.1,0.03,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.2996983604636401,4.885769476620829,4.098707086939846
0,0,2,C,A2_fc_laplacian,matched,c75af008de3eae88,matched|g=0|lift=prod,100.0,0.1,0.03,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.2371055391345664,4.658223292483586,3.851331454402174
0,0,0,C,A2_fc_laplacian,matched,dfbf6746383564f1,matched|g=0|lift=prod,10.0,0.1,0.03,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.3108549862464218,5.024262135621748,4.2954116587460955
0,0,1,C,A2_fc_laplacian,matched,dfbf6746383564f1,matched|g=0|lift=prod,10.0,0.1,0.03,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.29278961917935986,4.900243485742938,4.130860918969769
0,0,2,C,A2_fc_laplacian,matched,dfbf6746383564f1,matched|g=0|lift=prod,10.0,0.1,0.03,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.24233184885804226,4.64559867833152,3.8538226182811215
0,0,0,C,A2_fc_laplacian,matched,ff18954aee692c51,matched|g=0|lift=prod,10.0,1.0,0.03,0.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.2963538210195802,5.042742033547732,4.375829479768155
0,0,1,C,A2_fc_laplacian,matched,ff18954aee692c51,matched|g=0|lift=prod,10.0,1.0,0.03,0.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.3200831616414901,4.877054314766715,4.193645480878983
0,0,2,C,A2_fc_laplacian,matched,ff18954aee692c51,matched|g=0|lift=prod,10.0,1.0,0.03,0.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.2529672702178467,4.517388741973064,3.805851493763566
0,0,0,B,A3_msancr,matched,06e9ed8e6a705651,matched|g=2|lift=prod,100.0,1.0,0.03,2.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.12765309930922034,5.599775039887863,4.663963352013262
0,0,1,B,A3_msancr,matched,06e9ed8e6a705651,matched|g=2|lift=prod,100.0,1.0,0.03,2.0,prod,219,110,27aea17c1fe37ac9,684da6c4be471e55,be75e5499956a00a,4ec87077e37679d2,0.18050719516326466,5.227075638137042,4.648253039750711
0,0,2,B,A3_msancr,matched,06e9ed8e6a705651,matched|g=2|lift=prod,100.0,1.0,0.03,2.0,prod,220,109,ddb711814869e7a3,605b13f02020cd40,2107da8310ad643b,e6418ac4179a0de0,0.13687400117925988,5.17005175782995,4.373906108215158
0,0,0,B,A3_msancr,matched,079d86e1624ac570,matched|g=2|lift=prod,100.0,1.0,1.0,2.0,prod,219,110,92dfed637c82f3f0,c86ac1a098c2ca38,f8de429e86d44a32,54924030c51c6ec3,0.10942372486305368,5.624796003365874,4.692394109997738
