comparison,n_seeds,mean_delta_pearson,median_delta_pearson,positive_pearson,mean_delta_rmse,median_delta_rmse,positive_rmse,mean_delta_mae,median_delta_mae,positive_mae
A3 matched - A4,3,-0.0036618307941732597,-0.002207997763357117,1,0.0072009831197619905,0.0019484577040174145,2,-0.002504691807332371,0.0028788668688322083,2
A3 matched - A2,3,-0.0036215566302276367,-0.002210339750476298,0,0.007843627034955484,0.001964812772006219,2,-0.0013968389844452034,0.0026029139960415115,2
A3 matched - A3 unrelated-fixed,3,-0.001684593827975737,-0.001803391004997823,0,0.003634019234999286,0.0031307094969470484,3,0.005268186935043791,0.003960646547662261,3
A3 matched - A3 shuffled-fixed,3,0.0001448588789111175,-0.0004997771983463184,1,0.0032484328321104408,0.0013116323088535609,3,0.004648329230763082,0.001241008370049368,2
A3 matched - A3 random-fixed,3,-0.0016081659817067846,-0.001887742387420066,1,0.007556019057916252,0.007968810065645648,3,0.008543652331266452,0.008409459194007152,3
