comparison,n_seeds,mean_delta_pearson,median_delta_pearson,positive_pearson,mean_delta_rmse,median_delta_rmse,positive_rmse,mean_delta_mae,median_delta_mae,positive_mae
A3 matched - A4,1,0.04014802895594391,0.04014802895594391,1,-0.7914541062664533,-0.7914541062664533,0,-0.6583341630430137,-0.6583341630430137,0
A3 matched - A2,1,-0.0044673192858379895,-0.0044673192858379895,0,0.06451862285818422,0.06451862285818422,1,0.02419731224191146,0.02419731224191146,1
A3 matched - A3 unrelated-fixed,1,0.01767741667598391,0.01767741667598391,1,-0.10444631936594817,-0.10444631936594817,0,-0.08555907339047053,-0.08555907339047053,0
A3 matched - A3 shuffled-fixed,1,0.020647062153478613,0.020647062153478613,1,-0.4606802448731333,-0.4606802448731333,0,-0.33559729259424564,-0.33559729259424564,0
A3 matched - A3 random-fixed,1,0.03848569887614921,0.03848569887614921,1,-0.30778967100920873,-0.30778967100920873,0,-0.29112050153946534,-0.29112050153946534,0
