experiment_id,active_level,n_seeds,mean_alignment,sd_across_seeds,sem,ci95_low,ci95_high,ci95_half_width
E0,node,10,-0.3897065411508083,0.07371522506591256,0.023310800944021944,-0.44243557288618596,-0.3369775094154307,0.052729031735377636
E1,node,10,0.7717383980751038,0.009495002513282738,0.0030025834330996617,0.7649465543494324,0.7785302418007752,0.006791843725671435
E2,node,10,-0.2372360905259847,0.06051753276530768,0.019137324191224037,-0.2805247178465335,-0.19394746320543593,0.04328862732054877
E3,node,10,0.019691709103062737,0.05423788151815794,0.017151524105973027,-0.01910503842464825,0.05848845663077372,0.038796747527710986
E4,module,10,0.9681065368652344,0.013385465467161677,0.004232855841776067,0.958531816951137,0.9776812567793318,0.009574719914097463
E5,module,10,-0.6304568183422089,0.02865065343685175,0.009060132131258268,-0.6509508372231151,-0.6099627994613027,0.020494018880906205
E6,module,10,0.23944401890039443,0.030047117063831938,0.009501732704341985,0.21795109952317288,0.260936938277616,0.02149291937722157
E7,edge,10,0.7378806221485138,0.024406235678442672,0.00771792938547437,0.7204226658785707,0.7553385784184569,0.017457956269943026
E8,edge,10,-0.43141858264803884,0.04523873675126093,0.014305744660275068,-0.463778177069581,-0.39905898822649666,0.0323595944215422
E9,edge,10,-0.08355715349316596,0.08623664981552451,0.02727042311993967,-0.14524285059046949,-0.021871456395862424,0.06168569709730354
E10,node,10,0.13614991836249826,0.02996482200590415,0.009475708722019253,0.11471586523329072,0.1575839714917058,0.02143405312920755
