ID,Method,saliency_spearman_mean,saliency_spearman_std,saliency_jaccard_mean,saliency_jaccard_std
E0,baseline,0.5935489398158064,0.36165520373697896,0.15572852173976837,0.1665018675782771
E1,node_true,0.9127694237653544,0.06137716185486752,0.6361814256171999,0.15003478300300138
E2,node_shuffled,0.6239984120969343,0.17903510445066453,0.35220462687765397,0.16582787520708056
E3,node_random,0.7363159299471144,0.1402498510647782,0.49076877237741584,0.18906663058751716
E4,module_true,0.8342608601507724,0.11221264035358107,0.5183933673369449,0.18576201438583587
E5,module_shuffled,0.71249319767118,0.1679207346534157,0.3798603543981695,0.16744404777940824
E6,module_random,0.8003100427808074,0.15921936828810368,0.3512018257010991,0.17992858639196246
E7,edge_true,0.8677183040857742,0.0937683011016292,0.558021542283247,0.16039300217174227
E8,edge_shuffled,0.8336664948530444,0.10634780490195266,0.417149348969656,0.1819119844476724
E9,edge_random,0.659457911930212,0.21763775904046687,0.4034962569075161,0.21612071328887175
E10,node_unrelated_visual,0.8469512935839774,0.08421323628656573,0.6255644955284813,0.1804884702156856
