experiment_id,experiment_name,prior_type,prior_source,seed,fold,split_id,n_train,n_val,n_test,best_epoch,best_val_metric,runtime_seconds,target_train_mean,target_train_std,group_aware,pearson,rmse,mae,reference_alignment_node_pearson,reference_alignment_node_spearman,reference_alignment_node_topk_jaccard,reference_alignment_module_pearson,reference_alignment_module_spearman,reference_alignment_module_topk_jaccard,reference_alignment_edge_diagonal_pearson,reference_alignment_edge_diagonal_spearman,reference_alignment_edge_diagonal_topk_jaccard,alignment_node_pearson,alignment_node_spearman,alignment_node_topk_jaccard,alignment_module_pearson,alignment_module_spearman,alignment_module_topk_jaccard,alignment_edge_diagonal_pearson,alignment_edge_diagonal_spearman,alignment_edge_diagonal_topk_jaccard
E0,baseline,none,none,0,0,seed00_fold00,279,50,83,2,4.91827917098999,26.2891058921814,16.845878136200717,4.83578831232682,False,-0.1456407606601715,5.079141139984131,4.399494171142578,-0.3676986396312713,-0.3679277130955929,0.0,-0.4495985805988312,-0.4285714285714286,0.0,-0.3609053492546081,-0.3679277130955929,0.0,,,,,,,,,
E0,baseline,none,none,0,1,seed00_fold01,279,50,83,45,4.269911289215088,62.1414315700531,16.842293906810035,4.845668698152689,False,0.1845386624336242,5.209020614624023,4.337615966796875,-0.0672763139009475,-0.0874410751373059,0.0,-0.019613329321146,-0.119047619047619,0.2,-0.0471876636147499,-0.0874410751373059,0.0,,,,,,,,,
E0,baseline,none,none,0,2,seed00_fold02,280,50,82,18,4.883742332458496,37.44881749153137,16.917857142857144,4.921204380130987,False,0.1527893543243408,4.672263145446777,3.988490343093872,-0.4899245798587799,-0.4805089088703537,0.0,-0.5545569062232971,-0.4761904761904762,0.0,-0.4894423484802246,-0.4805089088703537,0.0,,,,,,,,,
E0,baseline,none,none,0,3,seed00_fold03,280,50,82,23,4.186153888702393,41.7085862159729,16.90714285714286,4.856360231065809,False,0.1130854114890098,5.1801605224609375,4.297126770019531,-0.5856890678405762,-0.570686731347613,0.0,-0.7602455615997314,-0.6666666666666669,0.0,-0.5952105522155762,-0.570686731347613,0.0,,,,,,,,,
E0,baseline,none,none,0,4,seed00_fold04,280,50,82,16,4.854526042938232,36.25111317634583,16.8,5.010275156401806,False,0.3000001609325409,4.282370567321777,3.4184536933898926,-0.4049214124679565,-0.4312124982997702,0.0,-0.5217942595481873,-0.4285714285714286,0.0,-0.3988839387893677,-0.4312124982997702,0.0,,,,,,,,,
E0,baseline,none,none,1,0,seed01_fold00,279,50,83,16,5.066754341125488,36.073941469192505,16.93548387096774,4.762020711139765,False,0.132538840174675,5.082980632781982,4.493717193603516,-0.3577250242233276,-0.3810770848950405,0.0,-0.4875140190124511,-0.4047619047619048,0.0,-0.3585847914218902,-0.3810770848950405,0.0,,,,,,,,,
E0,baseline,none,none,1,1,seed01_fold01,279,50,83,31,4.044211864471436,52.58428239822388,16.620071684587813,4.945483294156645,False,-0.0423993729054927,5.736225605010986,4.85849666595459,-0.3518205881118774,-0.3572703794761395,0.0,-0.4428944587707519,-0.4047619047619048,0.0,-0.3522946536540985,-0.3572703794761395,0.0,,,,,,,,,
E0,baseline,none,none,1,2,seed01_fold02,280,50,82,3,5.053810119628906,31.036648273468018,16.932142857142857,4.8740239734615125,False,0.0811917409300804,4.8763508796691895,4.036970615386963,-0.5290184617042542,-0.5334559805823714,0.0,-0.6255956888198853,-0.4761904761904762,0.0,-0.525314211845398,-0.5334559805823714,0.0,,,,,,,,,
E0,baseline,none,none,1,3,seed01_fold03,280,50,82,29,4.75031328201294,52.52076315879822,17.017857142857142,4.853169330553016,False,0.1472858339548111,5.220130443572998,4.096433639526367,-0.3718235492706299,-0.3661248558150762,0.0,-0.4582183957099914,-0.4047619047619048,0.0,-0.3659866154193878,-0.3661248558150762,0.0,,,,,,,,,
E0,baseline,none,none,1,4,seed01_fold04,280,50,82,8,4.889449596405029,32.7238872051239,16.867857142857144,4.953393755182153,False,0.0168356448411941,4.65859317779541,3.880905151367188,-0.3300793468952179,-0.3283247816980924,0.0,-0.2649971544742584,-0.2380952380952381,0.0,-0.3127235174179077,-0.3283247816980924,0.0,,,,,,,,,
