experiment_id,active_level,seed,alignment,n_folds
E0,node,0,-0.38310200273990624,5
E0,node,1,-0.3880933940410614,5
E0,node,2,-0.21420156061649323,5
E0,node,3,-0.3791114330291748,5
E0,node,4,-0.5081050455570221,5
E0,node,5,-0.41947346925735474,5
E0,node,6,-0.4047747105360031,5
E0,node,7,-0.4183182865381241,5
E0,node,8,-0.35938392877578734,5
E0,node,9,-0.42250158041715624,5
E1,node,0,0.7794252276420593,5
E1,node,1,0.774870240688324,5
E1,node,2,0.7612301468849182,5
E1,node,3,0.7672461152076722,5
E1,node,4,0.7834454655647278,5
E1,node,5,0.7616301059722901,5
E1,node,6,0.763728141784668,5
E1,node,7,0.7652886033058166,5
E1,node,8,0.7724604606628418,5
E1,node,9,0.7880594730377197,5
E2,node,0,-0.2567273259162902,5
E2,node,1,-0.3161700144410133,5
E2,node,2,-0.1673436529934406,5
E2,node,3,-0.2666644856333732,5
E2,node,4,-0.23275315538048744,5
E2,node,5,-0.2213498145341873,5
E2,node,6,-0.31045310497283934,5
E2,node,7,-0.11521695926785465,5
E2,node,8,-0.24559669941663737,5
E2,node,9,-0.2400856927037239,5
E3,node,0,0.012404794665053478,5
E3,node,1,0.008911022916436181,5
E3,node,2,0.047582542430609436,5
E3,node,3,0.09095825180411339,5
E3,node,4,-0.006863215565681461,5
E3,node,5,-0.031046950444579103,5
E3,node,6,-0.051293573016300775,5
E3,node,7,0.1112398527562618,5
E3,node,8,-0.034041149914264705,5
E3,node,9,0.04906551539897917,5
E4,module,0,0.9823127865791321,5
E4,module,1,0.9707235932350159,5
E4,module,2,0.949932312965393,5
E4,module,3,0.9876356601715088,5
E4,module,4,0.9750616431236268,5
E4,module,5,0.9554370760917663,5
E4,module,6,0.9673762083053589,5
E4,module,7,0.9607131838798523,5
E4,module,8,0.9804050087928772,5
E4,module,9,0.9514678955078125,5
E5,module,0,-0.6443460345268249,5
E5,module,1,-0.6013207077980042,5
E5,module,2,-0.6566687107086182,5
E5,module,3,-0.6807601094245911,5
E5,module,4,-0.639768373966217,5
E5,module,5,-0.6467629909515381,5
E5,module,6,-0.593812620639801,5
E5,module,7,-0.6064378142356872,5
E5,module,8,-0.6013406038284301,5
E5,module,9,-0.6333502173423767,5
E6,module,0,0.18295705318450925,5
E6,module,1,0.2418706893920898,5
E6,module,2,0.22253318727016444,5
E6,module,3,0.2602791309356689,5
E6,module,4,0.2831381380558014,5
E6,module,5,0.2667573869228363,5
E6,module,6,0.2418903440237045,5
E6,module,7,0.2497979789972305,5
E6,module,8,0.20171028971672053,5
E6,module,9,0.2435059905052185,5
E7,edge,0,0.6977712035179138,5
E7,edge,1,0.7574797391891479,5
E7,edge,2,0.7563605308532715,5
E7,edge,3,0.7630874156951905,5
E7,edge,4,0.7303124308586121,5
E7,edge,5,0.7549663424491883,5
E7,edge,6,0.711086881160736,5
E7,edge,7,0.7611348628997803,5
E7,edge,8,0.7366889357566834,5
E7,edge,9,0.7099178791046142,5
E8,edge,0,-0.4689848780632019,5
E8,edge,1,-0.4395323872566223,5
E8,edge,2,-0.43892796635627745,5
E8,edge,3,-0.46071786880493165,5
E8,edge,4,-0.4884267389774323,5
E8,edge,5,-0.37137379050254815,5
E8,edge,6,-0.42518775463104247,5
E8,edge,7,-0.3676156520843506,5
E8,edge,8,-0.3766210064291954,5
E8,edge,9,-0.4767977833747864,5
E9,edge,0,-0.004165172576904336,5
E9,edge,1,-0.12174896895885465,5
E9,edge,2,-0.043141907826066,5
E9,edge,3,-0.10377053618431091,5
E9,edge,4,-0.11232537776231762,5
E9,edge,5,-0.0016975224018096814,5
E9,edge,6,-0.2314215525984764,5
E9,edge,7,-0.16981626413762568,5
E9,edge,8,-0.10479259938001632,5
E9,edge,9,0.05730836689472196,5
E10,node,0,0.06617835462093351,5
E10,node,1,0.1493055313825607,5
E10,node,2,0.12556972801685332,5
E10,node,3,0.11516676694154734,5
E10,node,4,0.1304026201367378,5
E10,node,5,0.14159878492355343,5
E10,node,6,0.1632825307548046,5
E10,node,7,0.14329357147216795,5
E10,node,8,0.1714129269123077,5
E10,node,9,0.15528836846351618,5
