ID,Method,reference_alignment_node_pearson Mean,reference_alignment_node_pearson Std,reference_alignment_node_spearman Mean,reference_alignment_node_spearman Std,reference_alignment_node_topk_jaccard Mean,reference_alignment_node_topk_jaccard Std,reference_alignment_module_pearson Mean,reference_alignment_module_pearson Std,reference_alignment_module_spearman Mean,reference_alignment_module_spearman Std,reference_alignment_module_topk_jaccard Mean,reference_alignment_module_topk_jaccard Std,reference_alignment_edge_diagonal_pearson Mean,reference_alignment_edge_diagonal_pearson Std,reference_alignment_edge_diagonal_spearman Mean,reference_alignment_edge_diagonal_spearman Std,reference_alignment_edge_diagonal_topk_jaccard Mean,reference_alignment_edge_diagonal_topk_jaccard Std,alignment_node_pearson Mean,alignment_node_pearson Std,alignment_node_spearman Mean,alignment_node_spearman Std,alignment_node_topk_jaccard Mean,alignment_node_topk_jaccard Std,alignment_module_pearson Mean,alignment_module_pearson Std,alignment_module_spearman Mean,alignment_module_spearman Std,alignment_module_topk_jaccard Mean,alignment_module_topk_jaccard Std,alignment_edge_diagonal_pearson Mean,alignment_edge_diagonal_pearson Std,alignment_edge_diagonal_spearman Mean,alignment_edge_diagonal_spearman Std,alignment_edge_diagonal_topk_jaccard Mean,alignment_edge_diagonal_topk_jaccard Std
E0,baseline,-0.3897065411508083,0.21116824564076556,-0.3931723095621571,0.21040604517551367,0.016386308909528722,0.05135789315121083,-0.45335323832929136,0.28847257397516196,-0.401904761904762,0.2685412385074587,0.062,0.13384425917567666,-0.383585746884346,0.21626846774905906,-0.3931723095621571,0.21040604517551367,0.016386308909528722,0.05135789315121083,,,,,,,,,,,,,,,,,,
E1,node_true,0.7717383980751038,0.02726633461098507,0.7089693806083885,0.014885203952689822,0.42531135531135517,0.0844593065468335,0.9281207895278931,0.04107223680163639,0.8057142857142857,0.0799659791606984,1.0,0.0,0.7800183796882629,0.028471206806192813,0.7089693806083885,0.014885203952689822,0.42531135531135517,0.0844593065468335,0.7717383980751038,0.02726633461098507,0.7089693806083885,0.014885203952689822,0.42531135531135517,0.0844593065468335,,,,,,,,,,,,
E2,node_shuffled,-0.23723609052598477,0.15352341245634857,-0.21228190018216,0.17661551952385346,0.009707602339181283,0.026275578938212203,-0.3965776211023331,0.17601510703535742,-0.3257142857142857,0.18013985650672357,0.14800000000000002,0.1182180620890126,-0.22896934090182186,0.15547239842003863,-0.21228190018216,0.17661551952385346,0.009707602339181283,0.026275578938212203,0.403124820291996,0.14618546036615088,0.36901571998515914,0.13313782538940352,0.20792446803282716,0.09751082741861442,,,,,,,,,,,,
E3,node_random,0.019691709103062744,0.09752036627132912,0.04462815884887763,0.10511838416861949,0.016257309941520463,0.03367258057308713,-0.0763124406337738,0.22601097392704564,-0.0723809523809524,0.21055273465349106,0.24,0.14427864197660112,0.018449610471725452,0.09760821548242944,0.04462815884887763,0.10511838416861949,0.016257309941520463,0.03367258057308713,0.46011471420526506,0.09648740604346845,0.4365005189712836,0.10371422155957796,0.3118465847877612,0.08030012722154115,,,,,,,,,,,,
E4,module_true,0.6552078235149383,0.06103166139853701,0.6314636971280112,0.052602936767268696,0.42418875242404647,0.08915444811583481,0.9681065368652344,0.03825897059162522,0.9142857142857145,0.06870411522695292,1.0,0.0,0.6667393362522125,0.05965534701712932,0.6314636971280112,0.052602936767268696,0.42418875242404647,0.08915444811583481,,,,,,,0.9681065368652344,0.03825897059162522,0.9142857142857145,0.06870411522695292,1.0,0.0,,,,,,
E5,module_shuffled,-0.34422788888216016,0.12246055277531472,-0.3362479648911269,0.12187497777821583,0.0,0.0,-0.6304568183422089,0.06304842104453992,-0.5795238095238097,0.10523459927617207,0.09200000000000001,0.1006914867811777,-0.3485210509598255,0.12140184721168412,-0.3362479648911269,0.12187497777821583,0.0,0.0,,,,,,,0.9403858399391174,0.06637216530287815,0.9261904761904763,0.074247890996405,0.71,0.24928469095164493,,,,,,
E6,module_random,0.04100600671954451,0.09421452224148955,0.029153950148526665,0.09235654975595203,0.06420880632954935,0.06556439240225881,0.23944401890039443,0.08014140358375842,0.13809523809523802,0.04563404035713856,0.20599999999999993,0.04242640687119284,0.05180571145378052,0.09223765431362019,0.029153950148526665,0.09235654975595203,0.06420880632954935,0.06556439240225881,,,,,,,0.9850393855571746,0.019374893435506798,0.9895238095238096,0.028114256217376597,0.98,0.09897433186107871,,,,,,
E7,edge_true,0.7273427504301071,0.05357242423762697,0.6780669348657355,0.041179387647068154,0.41926201249730644,0.08169872821172583,0.900292557477951,0.07029826720971705,0.7747619047619048,0.07699556419036936,0.99,0.07071067811865475,0.7378806221485138,0.05327461141731091,0.6780669348657355,0.041179387647068154,0.41926201249730644,0.08169872821172583,,,,,,,,,,,,,0.7378806221485138,0.05327461141731091,0.6780669348657355,0.041179387647068154,0.41926201249730644,0.08169872821172583
E8,edge_shuffled,-0.4331359791755676,0.09801903012554809,-0.42888895985563397,0.10408589333772499,0.0,0.0,-0.5225496801733971,0.09424366332233246,-0.45952380952380956,0.144967406946436,0.02,0.06060915267313265,-0.43141858264803884,0.0999821204157099,-0.42888895985563397,0.10408589333772499,0.0,0.0,,,,,,,,,,,,,0.20747155129909514,0.04519007219145035,0.19281104155257933,0.040559988166957904,0.10987272101823184,0.03733378573809681
E9,edge_random,-0.08213737323880195,0.20180071837367256,-0.08021071732772458,0.21256463800006836,0.016257309941520463,0.033672580573087134,-0.1723909654468298,0.23583219248697632,-0.13619047619047622,0.23834001023627965,0.24999999999999997,0.16444092047459052,-0.08355715349316598,0.20061737834361623,-0.08021071732772458,0.21256463800006836,0.016257309941520463,0.033672580573087134,,,,,,,,,,,,,0.30383954867720603,0.11183830503886669,0.2228478909513866,0.08854343801784482,0.21330483070421152,0.08258421584229553
