roi_index,roi_label,working_memory_prior,e1_saliency,prior_saliency_overlap,e10_visual_saliency
1,Precentral_L,0.8532059314387292,0.5882218894899385,0.5378204241085321,0.2907226635623548
2,Precentral_R,0.7352162362210323,0.4807691654027733,0.3787860167731589,0.3150741725037818
3,Frontal_Sup_L,0.8030288368548963,0.7589863546207267,0.6531416095608287,0.19344128148375694
4,Frontal_Sup_R,0.8863929544767101,0.8690839843795634,0.8255251050620865,0.38631539734930104
5,Frontal_Sup_Orb_L,0.0,0.08111694292722006,0.0,0.11676692129135831
6,Frontal_Sup_Orb_R,0.0,0.15754797312155341,0.0,0.1443227847614419
7,Frontal_Mid_L,0.8196589221246858,0.9279508481945099,0.815080281319742,0.45297006104332527
8,Frontal_Mid_R,0.9331635293449436,1.0,1.0,0.6089663665672318
9,Frontal_Mid_Orb_L,0.0,0.3478741997348118,0.0,0.24196466269125527
10,Frontal_Mid_Orb_R,0.0,0.4284565539220535,0.0,0.3205162821760822
11,Frontal_Inf_Oper_L,0.7759601087698474,0.6035855519702585,0.5019037883826487,0.2906378016993034
12,Frontal_Inf_Oper_R,0.0,0.7211479786910485,0.0,0.4831199400119852
13,Frontal_Inf_Tri_L,0.9151591935942524,0.6913599594629456,0.6780209503361176,0.31456560134941886
14,Frontal_Inf_Tri_R,0.9366329250095587,0.7148141517325182,0.717471749292902,0.4382680953491659
15,Frontal_Inf_Orb_L,0.0,0.38936937861342147,0.0,0.2022178111355427
16,Frontal_Inf_Orb_R,0.0,0.43402629873208354,0.0,0.23623479035470102
17,Rolandic_Oper_L,0.0,0.31700529994915577,0.0,0.12993725442220805
18,Rolandic_Oper_R,0.0,0.37350989232049897,0.0,0.2496029203612316
19,Supp_Motor_Area_L,0.9249946641689072,0.6531208070725752,0.6474034213745025,0.11449797796971833
20,Supp_Motor_Area_R,0.8142790637739901,0.618946075316448,0.5400927221074038,0.1143173308966096
21,Olfactory_L,0.0,0.015500052268700746,0.0,0.15334032671391976
22,Olfactory_R,0.0,0.0317083434520471,0.0,0.1146797971054278
23,Frontal_Sup_Medial_L,0.8661408147438016,0.7103780245606163,0.6593564596346153,0.11706291899455544
24,Frontal_Sup_Medial_R,0.8864838501705226,0.6600352433586891,0.6270182721259808,0.14472835596302092
25,Frontal_Med_Orb_L,0.0,0.16160780225950472,0.0,0.07710260744143321
26,Frontal_Med_Orb_R,0.0,0.15053122573095867,0.0,0.04987602144620714
27,Rectus_L,0.0,0.0,0.0,0.1371876903046871
28,Rectus_R,0.0,0.01928389065390848,0.0,0.10836293198969867
29,Insula_L,0.7477537823589647,0.4483974877936001,0.3593056382446576,0.1888155541232991
30,Insula_R,0.8149477196596863,0.4697083281180752,0.4102043413266441,0.25985755685519707
31,Cingulum_Ant_L,0.0,0.37983851690363185,0.0,0.11576300473844855
32,Cingulum_Ant_R,0.0,0.38490359122208395,0.0,0.0985204806817559
33,Cingulum_Mid_L,0.7008189338777783,0.607508418905883,0.4562473661591376,0.2595880121926631
34,Cingulum_Mid_R,0.826625884762894,0.6751296828345172,0.598051310250554,0.2637451813689812
35,Cingulum_Post_L,0.0,0.27917632837321193,0.0,0.10403058734241671
36,Cingulum_Post_R,0.0,0.162596528771895,0.0,0.11057706074786706
37,Hippocampus_L,0.0,0.13947550134515074,0.0,0.30960629592335054
38,Hippocampus_R,0.0,0.09931433524769695,0.0,0.2998894994556692
39,ParaHippocampal_L,0.0,0.054315385354645154,0.0,0.3186469529613925
40,ParaHippocampal_R,0.0,0.049036302512489006,0.0,0.252127487956852
41,Amygdala_L,0.0,0.033485044342827425,0.0,0.26524822397024245
42,Amygdala_R,0.0,0.0469834852780657,0.0,0.24447733700108107
43,Calcarine_L,0.0,0.23662595584033302,0.0,0.7713064175312135
44,Calcarine_R,0.0,0.16429655173042812,0.0,0.7436591386505962
45,Cuneus_L,0.0,0.206768319384669,0.0,0.609669397627999
46,Cuneus_R,0.0,0.1740716975867744,0.0,0.706639260407571
47,Lingual_L,0.0,0.19167944127765585,0.0,0.8514658208144676
48,Lingual_R,0.0,0.1620426967648575,0.0,0.7998902333578451
49,Occipital_Sup_L,0.0,0.19241183289777913,0.0,0.7552498411250592
50,Occipital_Sup_R,0.0,0.14461413533326042,0.0,0.8651643971092656
51,Occipital_Mid_L,0.7055230388912028,0.30755222656720455,0.23252642723592915,0.9689362491529304
52,Occipital_Mid_R,0.0,0.19135152121836144,0.0,1.0
53,Occipital_Inf_L,0.0,0.14438323938095324,0.0,0.9106849124487266
54,Occipital_Inf_R,0.0,0.07477857818160341,0.0,0.8275755532415767
55,Fusiform_L,0.0,0.11406142715525693,0.0,0.9211301151314746
56,Fusiform_R,0.0,0.0725351599962329,0.0,0.8627821526827307
57,Postcentral_L,0.0,0.3821889003990589,0.0,0.15810408275877466
58,Postcentral_R,0.0,0.40513797386247,0.0,0.27870414079560896
59,Parietal_Sup_L,0.8347165782981376,0.5055066887694651,0.45217670889117445,0.628109310993559
60,Parietal_Sup_R,0.0,0.44832317258338295,0.0,0.7687176348192563
61,Parietal_Inf_L,0.9871732308517452,0.7753390636938942,0.8202141901640274,0.6460937327908609
62,Parietal_Inf_R,1.0,0.8063559445739421,0.8641100077496415,0.7344358229281845
63,SupraMarginal_L,0.0,0.5102266925880209,0.0,0.35261673694945
64,SupraMarginal_R,0.9331010349602732,0.640407510194965,0.640364621813637,0.5789977521285913
65,Angular_L,0.7739076626590755,0.5627571221984331,0.4667156777880745,0.35532284945108594
66,Angular_R,0.9117732527523824,0.6720405735278886,0.6566358418842548,0.6644684263862566
67,Precuneus_L,0.7539840818959661,0.6590668161298538,0.5325174769920491,0.42585213461851135
68,Precuneus_R,0.7689307216803944,0.5693901629468764,0.4691799187863657,0.5447062046558602
69,Paracentral_Lobule_L,0.0,0.3188384700865045,0.0,0.0
70,Paracentral_Lobule_R,0.0,0.24860708805125242,0.0,0.09076445680446978
71,Caudate_L,0.0,0.3059702082866995,0.0,0.04115091735126611
72,Caudate_R,0.0,0.33401843139440474,0.0,0.04912268036986165
73,Putamen_L,0.0,0.31516280841025124,0.0,0.07822768705462271
74,Putamen_R,0.7535693283100576,0.32490377960008465,0.2623736518405347,0.18657605262509075
75,Pallidum_L,0.0,0.21654211027776046,0.0,0.05956565006130282
76,Pallidum_R,0.0,0.2080782796845398,0.0,0.10049693622098571
77,Thalamus_L,0.0,0.34210848304357133,0.0,0.06436452272687393
78,Thalamus_R,0.0,0.3417482002947072,0.0,0.11896483994714385
79,Heschl_L,0.0,0.12628802783372522,0.0,0.10309666928947635
80,Heschl_R,0.0,0.13478036943249114,0.0,0.20582301348790072
81,Temporal_Sup_L,0.0,0.3118902876424634,0.0,0.31338353099953803
