task,seed,reference_pearson,mod2_pearson,delta
working_memory,0,0.2191157623449405,0.2602375301355685,0.04112176779062798
fluid_intelligence,0,0.3448035892924941,0.32022,-0.0245835892924941
working_memory,1,0.278428528924638,0.2628796396366357,-0.015548889288002299
fluid_intelligence,1,0.31998600540079,0.30152,-0.018466005400789964
working_memory,2,0.3068586545252377,0.2998896920447924,-0.006968962480445318
fluid_intelligence,2,0.3698042225338102,0.34958,-0.020224222533810177
