task,seed,fold,model,pearson,rmse,mae
working_memory,0,0,A4,0.0882250502506823,10.833871109545465,8.893457729786059
working_memory,0,0,A3,0.1655121087585271,11.044477787470038,9.067220712715036
working_memory,0,0,LF0,0.0940177135284734,11.296111557952448,9.26851875280524
working_memory,0,0,LF1,0.1586392449156439,10.392518997957916,8.51443974467207
working_memory,0,0,LF2,0.1447752646132126,10.602999871270097,8.701433302445347
working_memory,0,1,A4,0.2737125362144133,10.802320455520803,8.690838714550331
working_memory,0,1,A3,0.1083239701800853,11.125930071649824,8.853639593537421
working_memory,0,1,LF0,0.267061479723528,10.951706041180111,8.874713119236352
working_memory,0,1,LF1,0.1591447066748104,10.893251951372774,8.720313744124285
working_memory,0,1,LF2,0.1591447066748104,10.893251951372774,8.720313744124285
working_memory,0,2,A4,0.237335958001014,11.870816087230123,9.056577321047
working_memory,0,2,A3,0.228989693497729,12.467027494477518,9.598865728999009
working_memory,0,2,LF0,0.2118369463066792,12.25160117595806,9.286976236530528
working_memory,0,2,LF1,0.2566232719996852,12.02492920345927,9.297094466742244
working_memory,0,2,LF2,0.2566232719996852,12.02492920345927,9.297094466742244
working_memory,0,3,A4,0.3858358538050412,10.584174906132615,8.932522967029003
working_memory,0,3,A3,0.4344989972244829,10.373766810884408,8.724165415239288
working_memory,0,3,LF0,0.3730347323884084,10.641123400570162,8.988875163007732
working_memory,0,3,LF1,0.4011506336627636,10.48284692301043,8.952591487990889
working_memory,0,3,LF2,0.4011506336627636,10.48284692301043,8.952591487990889
working_memory,0,4,A4,0.3160782524066918,13.068613927152622,10.810687968762537
working_memory,0,4,A3,0.2034518331034766,13.76152754186327,11.313080421768069
working_memory,0,4,LF0,0.3150537570838596,13.065160891725364,10.79493519651431
working_memory,0,4,LF1,0.3235373061048436,12.999273948152348,10.776394754662476
working_memory,0,4,LF2,0.3235373061048436,12.999273948152348,10.776394754662476
working_memory,1,0,A4,0.509141728152724,9.648872104838691,8.2522526584182
working_memory,1,0,A3,0.502628956024868,9.878457405307785,7.983434785121636
working_memory,1,0,LF0,0.5133941073542583,9.6399463192533,8.198466875427712
working_memory,1,0,LF1,0.5097750487172903,9.886012943791002,8.07659805480504
working_memory,1,0,LF2,0.5097750487172903,9.886012943791002,8.07659805480504
working_memory,1,1,A4,0.0979364921355603,12.420899911423753,10.010215226408576
working_memory,1,1,A3,0.0716630232716951,12.026929046160156,9.80074190063747
working_memory,1,1,LF0,0.1046026576541086,12.446066747502318,10.01378388143481
working_memory,1,1,LF1,0.0571400380337933,12.016668521627471,9.7867601057797
working_memory,1,1,LF2,0.0876407790448757,12.059487736768602,9.834358190427448
working_memory,1,2,A4,0.1599847999461039,11.873500868710916,10.011202504754728
working_memory,1,2,A3,0.2369367368114769,11.562909000664622,9.718897616348803
working_memory,1,2,LF0,0.1599847999461039,11.873500868710916,10.011202504754728
working_memory,1,2,LF1,0.2054785238590727,11.4606149671096,9.76063299870133
working_memory,1,2,LF2,0.2054785238590727,11.4606149671096,9.76063299870133
working_memory,1,3,A4,0.2632385657583108,11.844944967138597,9.614217953448868
working_memory,1,3,A3,0.3202662277475239,11.645022145615522,9.4077804408049
working_memory,1,3,LF0,0.2762261993249704,11.87993832947862,9.692947641012436
working_memory,1,3,LF1,0.3238107396991987,11.459026503652243,9.288155190381344
working_memory,1,3,LF2,0.3238107396991987,11.459026503652243,9.288155190381344
working_memory,1,4,A4,0.2840966121904795,10.648422094055409,8.271327825245347
working_memory,1,4,A3,0.3214822566226306,10.287465932074792,8.012916063849032
working_memory,1,4,LF0,0.2840966121904795,10.648422094055409,8.271327825245347
working_memory,1,4,LF1,0.3353817007597217,10.222135522437148,8.033457719369153
working_memory,1,4,LF2,0.3317227948851974,10.237804625773492,8.015492569863055
working_memory,2,0,A4,0.3325803261017728,11.91938413810504,9.663172950156468
working_memory,2,0,A3,0.3614554814730915,11.860170946284857,9.559098060834964
working_memory,2,0,LF0,0.3362547245844169,11.94718060704768,9.644722026204107
working_memory,2,0,LF1,0.3648418645154226,11.6025176569486,9.531517935675009
working_memory,2,0,LF2,0.3499062151197848,11.785195192358549,9.571639629811523
working_memory,2,1,A4,0.3798680253379867,10.36520458729126,8.479261876180562
working_memory,2,1,A3,0.4056388467848737,10.446638489582936,8.408457625508074
working_memory,2,1,LF0,0.3730505288246283,10.377538680972512,8.536149246819548
working_memory,2,1,LF1,0.3919278653513373,10.20781684738105,8.450343958618769
working_memory,2,1,LF2,0.3921939701061982,10.214546374414864,8.44706606744501
working_memory,2,2,A4,0.2714956718480903,11.510851495725902,9.0531672989888
working_memory,2,2,A3,0.2373894105850687,12.255704964170278,9.57976712092652
working_memory,2,2,LF0,0.2747527387595511,11.66070861759317,9.1419419801695
working_memory,2,2,LF1,0.2541255813468849,11.618533512913553,9.055758076438591
