task,model,comparator,delta_0,delta_1,delta_2,mean,median,positive_count,negative_count,zero_count,consistent
working_memory,LF1,A4,-0.0004184974640191186,0.023437570577179656,0.008280886325497838,0.010433319812886125,0.008280886325497838,2,1,0,True
working_memory,LF2,A4,-0.003191293524505423,0.02880593760449124,0.00326598727290095,0.009626877117628921,0.00326598727290095,2,1,0,True
fluid_intelligence,LF1,LF0,0.011320000000000052,0.03083999999999998,0.005619999999999958,0.015926666666666662,0.011320000000000052,3,0,0,True
fluid_intelligence,LF2,LF0,0.005580000000000085,0.027719999999999967,0.005619999999999958,0.012973333333333337,0.005619999999999958,3,0,0,True
