task,seed,model,matched_alignment,unrelated_alignment,shuffled_alignment,random_alignment,rank_stability,top10_jaccard
working_memory,0,FC_no_prior,0.02448534246035948,0.060793627458544386,-0.12636052395929367,-0.03228847114904086,-0.008180525122054355,0.021052631578947368
working_memory,0,FP_matched,0.5994096465487536,0.39467314938373715,-0.1094696768776053,0.10723868834813363,0.08864337062238112,0.08571428571428572
working_memory,0,FP_unrelated,0.43158291623459644,0.6213523308951314,-0.20936294974565536,0.17653173413293352,-0.021214008380425177,0.13927125506072874
working_memory,0,FP_shuffled,-0.09032840947552254,-0.08878258938810274,0.5591798249647872,-0.025024410871487334,0.021046399876984583,0.0
working_memory,0,FP_random,0.07134794133735858,0.07631886933509677,0.015802182208745432,0.5619759351093685,0.0777149886595164,0.05380116959064327
working_memory,1,FC_no_prior,0.019703680138564224,0.06530449084614934,-0.10662145259517793,0.010290239495636799,0.04918002537192943,0.031578947368421054
working_memory,1,FP_matched,0.7382471162638886,0.5195866354728665,-0.16742819433946862,0.10183831161342408,0.06086956521739131,0.16290726817042606
working_memory,1,FP_unrelated,0.5559646090608801,0.7499894980527286,-0.24763394393279325,0.16697651174412792,0.003273747741513859,0.1285689714482284
working_memory,1,FP_shuffled,-0.11730960271173141,-0.12306592288127201,0.7035929514532205,0.010270249490639299,0.0028324299388767147,0.0
working_memory,1,FP_random,0.10331314238058105,0.11115863268326405,-0.008969367553900104,0.6919601737592742,0.011651097528158998,0.06432748538011696
working_memory,2,FC_no_prior,0.0028212961760294792,0.060129924718879665,-0.11713418533291091,-0.012001691461961329,0.03263137661938262,0.021052631578947368
working_memory,2,FP_matched,0.8014066051328858,0.580414219815766,-0.20262246002703135,0.08122554107561605,0.041862145850151855,0.2295739348370927
working_memory,2,FP_unrelated,0.6281050061008048,0.8124863719606218,-0.2642485855802862,0.14272094721869835,0.02693730058047899,0.21608187134502926
working_memory,2,FP_shuffled,-0.1038878651085587,-0.12163973373836459,0.7641119471462883,0.023698919770883786,0.01276592472994272,0.0
working_memory,2,FP_random,0.12313068994048489,0.1361022794840817,-0.03563203976014544,0.731863299119671,-0.008182062814746474,0.05380116959064327
working_memory,3,FC_no_prior,0.0145934949187148,0.05728526390678183,-0.10709307914437512,-0.0056402567946795875,0.0712889708991658,0.04327485380116959
working_memory,3,FP_matched,0.7277605422580851,0.5163777099013249,-0.16776364160773938,0.10310537039172721,0.04053819244224042,0.1289891395154553
working_memory,3,FP_unrelated,0.5501696805640559,0.7380752621283753,-0.24487958333552418,0.15399684772998118,-0.09036404874485834,0.16428325716251407
working_memory,3,FP_shuffled,-0.08262543229679138,-0.09639510546258265,0.6862681771712922,0.005615653711605736,0.027783031561142507,0.0
working_memory,3,FP_random,0.11318421681157594,0.11789675898560428,-0.00615268762468169,0.6546434475070158,0.03805789412985815,0.08771929824561403
working_memory,4,FC_no_prior,-0.009834913830974873,0.04477138027461517,-0.09782596367116128,-0.0022481067158728343,0.008497289816630149,0.031578947368421054
working_memory,4,FP_matched,0.6416790798487427,0.4371817663645188,-0.13137145987270515,0.09368085188175143,0.06844116403336793,0.10196078431372549
working_memory,4,FP_unrelated,0.4677950643439992,0.6631594295150348,-0.20987227564380956,0.15817629646715106,-0.0776150386345289,0.1482456140350877
working_memory,4,FP_shuffled,-0.11176702904057885,-0.11229310131966766,0.6325112136819667,-0.01503248375812094,-0.009632107023411376,0.0
working_memory,4,FP_random,0.07091247538818139,0.08279074279419943,0.010331929737632913,0.6032968131318955,0.037902587167954485,0.05497076023391813
working_memory,5,FC_no_prior,-0.00212501228202711,0.04823575422619063,-0.09962245305513426,-0.013125744819897745,0.03687387075692923,0.021052631578947368
working_memory,5,FP_matched,0.5909688392547207,0.3835839113997346,-0.10816020153219974,0.11264214046822743,0.012971975550686193,0.06666666666666667
working_memory,5,FP_unrelated,0.4189397855935568,0.6162040041784997,-0.20619158818645342,0.17130511667243303,-0.022584092569100076,0.08157894736842106
working_memory,5,FP_shuffled,-0.09822219152244441,-0.09152769478925087,0.5571756044743161,-0.02032368431169031,-0.04705032099334948,0.0
working_memory,5,FP_random,0.07152028121830502,0.07415643319958452,0.01967059703641825,0.5639610963748896,0.017369776650136476,0.042105263157894736
working_memory,6,FC_no_prior,-0.027715945853636764,0.020504555918781142,-0.11506302926367955,-0.0231238227040326,0.05395302348825587,0.010526315789473684
working_memory,6,FP_matched,0.5827819255352961,0.37494188433140263,-0.11595781177055775,0.11435666781993618,0.013828470380194519,0.06666666666666667
working_memory,6,FP_unrelated,0.42040852145394414,0.6119748285815666,-0.22425573133262092,0.1840003075385384,-0.028727174874101414,0.10380116959064327
working_memory,6,FP_shuffled,-0.09828297210545676,-0.0931282988381632,0.5606647176890132,-0.017437435128589557,-0.032454541959789335,0.0
working_memory,6,FP_random,0.0631140957753549,0.06864075473402206,0.009738742022411009,0.55406143082305,-0.008406565947795335,0.042105263157894736
working_memory,7,FC_no_prior,-0.0042515633129912465,0.029823405432096745,-0.08441422793607925,-0.00954753392534502,0.03264060277553531,0.010526315789473684
working_memory,7,FP_matched,0.6999499633448215,0.4797598406087536,-0.15307551362939775,0.09863068465767116,0.10055741360089188,0.15238095238095237
working_memory,7,FP_unrelated,0.5284494699435246,0.7164215743731281,-0.23723353986746284,0.16662745550301775,-0.009238457694229808,0.13771929824561405
working_memory,7,FP_shuffled,-0.1058574637479466,-0.11776479018504304,0.660572608671965,-0.001723753507861453,0.06106485218928996,0.0
working_memory,7,FP_random,0.08577679011981205,0.08891764517815079,-0.0008255388047121975,0.6551739514857957,-0.0012824357052243142,0.06687306501547988
working_memory,8,FC_no_prior,-0.009120164949728244,0.02795500504520341,-0.11022289448227748,-0.027240226040825738,-0.007651558835966628,0.021052631578947368
working_memory,8,FP_matched,0.6248797883288072,0.40972531012143565,-0.12505027923941958,0.10988505747126436,0.05487102602544881,0.021052631578947368
working_memory,8,FP_unrelated,0.4407253930439115,0.6447663744052335,-0.22110745100747434,0.17884442394187522,-0.06334986352977356,0.10079119367045064
working_memory,8,FP_shuffled,-0.10915269459657881,-0.10165919428496988,0.5904541277352867,-0.0237496636297236,-0.03179640948756392,0.0
working_memory,8,FP_random,0.0583516678152724,0.06010214181349836,0.015711396021461148,0.5732810517818014,0.006615153961480798,0.04327485380116959
working_memory,9,FC_no_prior,-0.0034668013551101286,0.03338424780513512,-0.0852097611365195,-0.03115672932764387,-0.052137008418867495,0.021052631578947368
working_memory,9,FP_matched,0.6921438899873099,0.47551059958015596,-0.16040919106324364,0.10831814861799868,0.029256141160189143,0.06804265565875472
working_memory,9,FP_unrelated,0.5321116924136364,0.7184404654975036,-0.25448137670254023,0.1803021566140007,-0.046705877830315615,0.08771929824561403
working_memory,9,FP_shuffled,-0.0883072627467444,-0.09769395628915908,0.6508230954069948,-2.6140775765963116e-05,-0.004651520393649333,0.0
working_memory,9,FP_random,0.1119824538917619,0.11719678411946952,-0.022074892250514823,0.6466074654980203,0.003362933917656563,0.042105263157894736
