Task,No-prior alignment,Matched alignment,Unrelated alignment,Shuffled alignment,Random alignment,Rank stability,Top-10 Jaccard
Working Memory,0.0005089412109199698,0.6699227396503311,0.49742521387529093,-0.10057409233523537,0.08726337546786876,0.05118394648829429,0.10839549855029726
Fluid Intelligence,0.1764047022533754,0.7615096797690903,0.5830915657976784,-0.07663235311748254,0.14316369076042837,0.07650774612693649,0.16190476190476188
