model,matched_alignment_mean,matched_alignment_std,unrelated_alignment_mean,shuffled_alignment_mean,random_alignment_mean,rank_stability_mean,rank_stability_std,top10_jaccard_mean
FC_no_prior,0.17640470225337543,0.013140304109675052,0.049031619378625026,-0.034762434261522604,-0.021838004074885637,0.038564410102640986,0.035699953974345715,0.05064327485380117
FP_matched,0.7615096797690903,0.09239594181072443,0.5484436658813985,-0.21498103485111786,0.11187913735439972,0.07650774612693653,0.04305313623857701,0.16190476190476188
FP_unrelated,0.5830915657976784,0.08769190314944236,0.7508523936810776,-0.16375514543326336,0.06363941106369893,0.04672309998846731,0.03519402511844529,0.2633150183150183
FP_shuffled,-0.0766323531174826,0.022734380025585196,-0.10750884910715841,0.7334548877887257,-0.009696843885749432,0.01122408026755853,0.033879931460191845,0.08456140350877192
FP_random,0.14316369076042842,0.026032631964942682,0.08354837390921706,-0.04342776810047998,0.6874582708645678,0.05760350593933803,0.04738151905633209,0.032301341589267285
