task,seed,model,matched_alignment,unrelated_alignment,shuffled_alignment,random_alignment,rank_stability,top10_jaccard
fluid_intelligence,0,FC_no_prior,0.17186428094143424,0.04266950802361467,-0.014128379133769669,-0.022108945527236388,-0.008278937454349749,0.0327485380116959
fluid_intelligence,0,FP_matched,0.7864622788394198,0.5753474600460752,-0.2144585618804748,0.11068311997847231,0.0740106869642102,0.18571428571428572
fluid_intelligence,0,FP_unrelated,0.6165049856534639,0.7813020808962273,-0.17803131418871415,0.06254411255910507,0.029926575173951486,0.3235653235653236
fluid_intelligence,0,FP_shuffled,-0.07864105717655157,-0.1053766047051273,0.7608032222250333,-0.000964133317956406,-0.022268865567216394,0.11111111111111112
fluid_intelligence,0,FP_random,0.15677198934040734,0.0894651713218533,-0.04976149878004778,0.7094975589128513,-0.011544996732403032,0.04327485380116959
fluid_intelligence,1,FC_no_prior,0.16971419276386926,0.05422166566830587,-0.03962922753695704,-0.023033098835197788,0.011123668934763386,0.08771929824561403
fluid_intelligence,1,FP_matched,0.8492470145169584,0.6470831661155633,-0.24119806481524578,0.08434551954791834,0.04067812247722293,0.26904761904761904
fluid_intelligence,1,FP_unrelated,0.664131059456009,0.8366924263822012,-0.20991142636639984,0.03781801406988814,0.10153692384576943,0.36507936507936506
fluid_intelligence,1,FP_shuffled,-0.10278285845816967,-0.12362385897480035,0.8192391614630246,0.016722408026755852,0.04726713566293776,0.05497076023391813
fluid_intelligence,1,FP_random,0.16628454744402046,0.10230910869917431,-0.05930106804167049,0.767002652519894,0.022334986352977364,0.04582043343653251
fluid_intelligence,2,FC_no_prior,0.18019452207159808,0.05396546397029175,-0.03079272013095592,-0.033567831468880954,0.04715642178910545,0.05263157894736842
fluid_intelligence,2,FP_matched,0.9223044794592374,0.714988926080804,-0.24813144320262692,0.09828162841656095,0.04864337062238112,0.35238095238095235
fluid_intelligence,2,FP_unrelated,0.7385460280251142,0.912138056138849,-0.23036350346390516,0.05683312190058817,0.09118978972052436,0.4624542124542124
fluid_intelligence,2,FP_shuffled,-0.11502740225761196,-0.14258586212572005,0.8942344840556504,0.05760811901741438,0.04802214277476647,0.07602339181286549
